"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"TEXRAIL","EQ","02-Jan-2017","        109.20","        111.85","        111.90","        109.75","        111.50","        111.25","        110.77","     203995","            22596105.45","       1902","      80380","         39.40"
"TEXRAIL","EQ","03-Jan-2017","        111.25","        112.10","        117.25","        111.40","        115.70","        115.35","        115.47","    1600702","           184834457.65","      13793","     579551","         36.21"
"TEXRAIL","EQ","04-Jan-2017","        115.35","        116.30","        117.50","        112.45","        114.30","        114.15","        115.19","     520839","            59993954.70","       5030","     214146","         41.12"
"TEXRAIL","EQ","05-Jan-2017","        114.15","        114.90","        115.30","        112.40","        113.00","        113.10","        113.40","     390739","            44308410.30","       4040","     157406","         40.28"
"TEXRAIL","EQ","06-Jan-2017","        113.10","        113.75","        115.05","        112.55","        113.50","        113.00","        113.45","     329428","            37371982.90","       3025","     128118","         38.89"
"TEXRAIL","EQ","09-Jan-2017","        113.00","        113.90","        114.50","        112.70","        113.30","        113.25","        113.72","     378988","            43098792.45","       3313","     165148","         43.58"
"TEXRAIL","EQ","10-Jan-2017","        113.25","        114.90","        116.05","        113.80","        114.70","        114.70","        114.95","     464373","            53381865.45","       4032","     207744","         44.74"
"TEXRAIL","EQ","11-Jan-2017","        114.70","        115.60","        115.75","        113.50","        113.70","        113.95","        114.28","     243012","            27772055.90","       1798","     129110","         53.13"
"TEXRAIL","EQ","12-Jan-2017","        113.95","        114.80","        115.50","        112.85","        113.55","        113.80","        114.00","     582376","            66388645.25","       3976","     240259","         41.25"
"TEXRAIL","EQ","13-Jan-2017","        113.80","        114.35","        114.50","        112.60","        112.75","        112.90","        113.09","     241532","            27313805.25","       1727","     125448","         51.94"
"TEXRAIL","EQ","16-Jan-2017","        112.90","        112.90","        113.60","        112.30","        112.85","        112.80","        112.97","     169608","            19161073.55","       1373","      80097","         47.22"
"TEXRAIL","EQ","17-Jan-2017","        112.80","        113.55","        113.55","        110.50","        110.55","        110.70","        111.58","     309245","            34505527.45","       2918","     155313","         50.22"
"TEXRAIL","EQ","18-Jan-2017","        110.70","        111.35","        111.35","        108.20","        108.40","        108.60","        109.69","     348136","            38187630.85","       3146","     223640","         64.24"
