"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"FEDERALBNK","EQ","02-Jan-2017","         66.85","         67.10","         67.55","         65.70","         66.40","         66.05","         66.25","    6869503","           455084835.60","      11630","    3760180","         54.74"
"FEDERALBNK","EQ","03-Jan-2017","         66.05","         66.50","         66.80","         65.70","         66.15","         66.15","         66.24","    3323564","           220144042.60","      15436","     893842","         26.89"
"FEDERALBNK","EQ","04-Jan-2017","         66.15","         66.35","         66.90","         65.50","         65.70","         65.75","         66.04","    3698802","           244259358.70","      42622","    1652411","         44.67"
"FEDERALBNK","EQ","05-Jan-2017","         65.75","         66.10","         68.00","         65.95","         67.35","         67.50","         67.02","   10842222","           726686727.55","      19959","    7084631","         65.34"
"FEDERALBNK","EQ","06-Jan-2017","         67.50","         67.75","         68.50","         66.95","         67.25","         67.20","         67.72","    4708592","           318870106.75","      20144","    1523266","         32.35"
"FEDERALBNK","EQ","09-Jan-2017","         67.20","         67.85","         68.50","         67.15","         68.40","         68.35","         67.94","    2886785","           196122427.10","      11451","    1019041","         35.30"
"FEDERALBNK","EQ","10-Jan-2017","         68.35","         68.85","         70.00","         68.40","         69.85","         69.90","         69.26","    6108650","           423098496.30","      18374","    2725632","         44.62"
"FEDERALBNK","EQ","11-Jan-2017","         69.90","         70.50","         73.70","         70.10","         72.60","         72.55","         72.29","   16348712","          1181883094.80","      33203","    9638147","         58.95"
"FEDERALBNK","EQ","12-Jan-2017","         72.55","         72.80","         73.75","         71.80","         72.45","         72.35","         72.53","    6726583","           487872632.65","      19351","    3093405","         45.99"
"FEDERALBNK","EQ","13-Jan-2017","         72.35","         72.90","         73.45","         71.20","         72.50","         72.55","         72.20","    6595497","           476163440.70","      16651","    2942324","         44.61"
"FEDERALBNK","EQ","16-Jan-2017","         72.55","         72.95","         75.15","         72.50","         74.80","         74.70","         74.35","    8724396","           648617567.50","      27306","    3535633","         40.53"
"FEDERALBNK","EQ","17-Jan-2017","         74.70","         75.00","         76.10","         74.65","         75.40","         75.55","         75.41","    9160548","           690834638.60","      28843","    3346057","         36.53"
"FEDERALBNK","EQ","18-Jan-2017","         75.55","         75.60","         77.00","         75.55","         76.90","         76.80","         76.26","    8962794","           683508218.50","      28332","    3532464","         39.41"
"FEDERALBNK","EQ","19-Jan-2017","         76.80","         77.25","         78.00","         74.30","         76.75","         77.10","         76.60","   28956770","          2217981596.95","      72224","    8751158","         30.22"
"FEDERALBNK","EQ","20-Jan-2017","         77.10","         77.00","         79.70","         76.75","         78.10","         78.05","         78.43","   22158057","          1737791355.30","      58067","    9127612","         41.19"
"FEDERALBNK","EQ","23-Jan-2017","         78.05","         78.25","         79.10","         77.45","         78.00","         78.00","         78.22","    9675460","           756790921.85","      20903","    3925419","         40.57"
"FEDERALBNK","EQ","24-Jan-2017","         78.00","         78.25","         80.00","         77.90","         78.55","         78.55","         78.91","   10442500","           823991947.75","      20973","    5137761","         49.20"
"FEDERALBNK","EQ","25-Jan-2017","         78.55","         79.70","         79.70","         77.95","         78.85","         78.80","         78.69","   12644279","           994938895.80","      20164","    6705867","         53.03"
"FEDERALBNK","EQ","27-Jan-2017","         78.80","         79.15","         79.80","         78.20","         78.50","         78.60","         78.92","    8489960","           669994555.70","      15609","    3519871","         41.46"
"FEDERALBNK","EQ","30-Jan-2017","         78.60","         78.50","         78.75","         77.25","         77.50","         77.45","         78.05","    4483892","           349985443.35","      10422","    2073302","         46.24"
"FEDERALBNK","EQ","31-Jan-2017","         77.45","         77.50","         77.60","         75.45","         76.05","         76.05","         76.39","    5736347","           438200713.95","      11352","    2433245","         42.42"
"FEDERALBNK","EQ","01-Feb-2017","         76.05","         76.50","         80.00","         76.30","         79.25","         79.35","         78.76","   12935817","          1018815135.15","      29791","    6197468","         47.91"
"FEDERALBNK","EQ","02-Feb-2017","         79.35","         79.60","         84.50","         78.80","         83.95","         83.90","         82.19","   19430128","          1596889264.30","      48786","    8258477","         42.50"
"FEDERALBNK","EQ","03-Feb-2017","         83.90","         85.45","         85.90","         84.00","         84.45","         84.55","         84.88","   14665583","          1244766992.75","      39894","    5157874","         35.17"
"FEDERALBNK","EQ","06-Feb-2017","         84.55","         85.50","         85.50","         83.15","         83.90","         84.00","         84.45","    9154207","           773105049.70","      37025","    4772808","         52.14"
"FEDERALBNK","EQ","07-Feb-2017","         84.00","         84.45","         84.45","         82.40","         83.05","         83.05","         83.12","    5880732","           488812102.80","      18694","    2509821","         42.68"
"FEDERALBNK","EQ","08-Feb-2017","         83.05","         83.20","         84.00","         81.80","         83.45","         83.40","         83.30","    8267416","           688668497.30","      19521","    3603984","         43.59"
"FEDERALBNK","EQ","09-Feb-2017","         83.40","         84.00","         85.60","         83.00","         84.00","         83.90","         84.34","   17910784","          1510602346.45","      49788","    8728426","         48.73"
"FEDERALBNK","EQ","10-Feb-2017","         83.90","         84.40","         84.90","         83.55","         84.30","         84.45","         84.34","   13089790","          1103965991.70","      31579","    7522510","         57.47"
"FEDERALBNK","EQ","13-Feb-2017","         84.45","         84.85","         85.00","         82.75","         83.75","         83.95","         83.87","    5544027","           465001724.60","      26242","    2862627","         51.63"
"FEDERALBNK","EQ","14-Feb-2017","         83.95","         84.00","         84.00","         82.80","         83.00","         83.15","         83.17","    3252373","           270490238.50","       8494","    1343792","         41.32"
"FEDERALBNK","EQ","15-Feb-2017","         83.15","         83.45","         83.55","         79.85","         80.65","         81.05","         81.44","    6613357","           538620408.30","      18098","    2891785","         43.73"
"FEDERALBNK","EQ","16-Feb-2017","         81.05","         80.95","         83.40","         80.40","         82.65","         82.60","         82.30","    5367104","           441686110.35","      15618","    1741784","         32.45"
"FEDERALBNK","EQ","17-Feb-2017","         82.60","         83.00","         85.10","         83.00","         83.35","         83.40","         84.12","   12809121","          1077467871.15","      25819","    6643605","         51.87"
"FEDERALBNK","EQ","20-Feb-2017","         83.40","         83.75","         86.50","         82.65","         85.75","         85.95","         84.42","   20619578","          1740608283.65","      40144","   10209334","         49.51"
"FEDERALBNK","EQ","21-Feb-2017","         85.95","         85.85","         87.25","         85.50","         85.95","         86.10","         86.33","   12978855","          1120439177.40","      45566","    5510908","         42.46"
"FEDERALBNK","EQ","22-Feb-2017","         86.10","         86.00","         86.25","         83.55","         84.30","         84.30","         84.99","    7316238","           621829533.55","      22073","    2914821","         39.84"
"FEDERALBNK","EQ","23-Feb-2017","         84.30","         84.90","         85.35","         83.65","         83.95","         84.10","         84.41","    8264166","           697592894.80","      30118","    5071416","         61.37"
"FEDERALBNK","EQ","27-Feb-2017","         84.10","         83.55","         83.95","         82.30","         83.55","         83.30","         83.10","    6370466","           529391808.40","      28793","    2609054","         40.96"
"FEDERALBNK","EQ","28-Feb-2017","         83.30","         83.35","         88.15","         82.80","         87.55","         87.35","         86.77","   23920035","          2075457958.75","      62102","    7912914","         33.08"
"FEDERALBNK","EQ","01-Mar-2017","         87.35","         88.20","         89.80","         86.70","         87.25","         88.05","         88.73","   17916708","          1589682357.05","      47901","    7501404","         41.87"
"FEDERALBNK","EQ","02-Mar-2017","         88.05","         88.15","         89.55","         84.40","         85.20","         84.85","         87.11","   14605152","          1272274851.65","      37923","    4709924","         32.25"
"FEDERALBNK","EQ","03-Mar-2017","         84.85","         85.20","         85.65","         83.60","         85.35","         85.30","         84.80","    8213427","           696519993.70","      29309","    2867861","         34.92"
"FEDERALBNK","EQ","06-Mar-2017","         85.30","         85.85","         85.90","         84.50","         85.30","         85.35","         85.15","    8550522","           728103134.30","      19191","    4249803","         49.70"
"FEDERALBNK","EQ","07-Mar-2017","         85.35","         85.45","         85.65","         84.25","         84.75","         84.65","         84.79","    3452546","           292730942.20","      10351","    1286673","         37.27"
"FEDERALBNK","EQ","08-Mar-2017","         84.65","         84.80","         85.45","         82.85","         84.20","         84.30","         84.14","    4694631","           394999833.25","      14686","    1378693","         29.37"
"FEDERALBNK","EQ","09-Mar-2017","         84.30","         84.75","         86.80","         83.95","         85.60","         85.60","         85.73","    7857869","           673672558.85","      28217","    2538717","         32.31"
"FEDERALBNK","EQ","10-Mar-2017","         85.60","         86.25","         86.80","         84.55","         84.60","         85.00","         85.42","    5344785","           456538303.35","      20195","    2021174","         37.82"
"FEDERALBNK","EQ","14-Mar-2017","         85.00","         87.25","         87.60","         85.70","         86.35","         86.35","         86.53","    8366261","           723924404.70","      25127","    4576632","         54.70"
"FEDERALBNK","EQ","15-Mar-2017","         86.35","         85.30","         87.70","         85.30","         86.10","         86.40","         86.77","    7212723","           625815683.85","      22540","    2628392","         36.44"
"FEDERALBNK","EQ","16-Mar-2017","         86.40","         86.60","         89.25","         86.60","         88.75","         88.45","         88.09","   11395845","          1003836297.95","      34099","    3692630","         32.40"
"FEDERALBNK","EQ","17-Mar-2017","         88.45","         88.90","         88.95","         86.75","         87.35","         87.30","         87.39","    5464673","           477563069.80","      23208","    2278982","         41.70"
"FEDERALBNK","EQ","20-Mar-2017","         87.30","         87.35","         87.75","         85.90","         86.90","         86.90","         86.95","    4625435","           402183816.60","      20190","    1751855","         37.87"
"FEDERALBNK","EQ","21-Mar-2017","         86.90","         87.00","         89.00","         86.05","         88.80","         88.75","         88.11","    9967617","           878235722.95","      40307","    5036222","         50.53"
"FEDERALBNK","EQ","22-Mar-2017","         88.75","         87.65","         88.65","         86.80","         87.00","         87.05","         87.54","    5306932","           464554343.55","      22728","    1849382","         34.85"
"FEDERALBNK","EQ","23-Mar-2017","         87.05","         87.10","         88.45","         87.10","         88.40","         88.25","         87.83","    5781680","           507828120.20","      33719","    2905676","         50.26"
"FEDERALBNK","EQ","24-Mar-2017","         88.25","         88.35","         90.65","         88.05","         89.70","         89.85","         89.99","   14152906","          1273605713.90","      44340","    7483645","         52.88"
"FEDERALBNK","EQ","27-Mar-2017","         89.85","         90.40","         91.15","         89.50","         89.70","         90.00","         90.36","    8532418","           770982555.75","      35198","    3678984","         43.12"
"FEDERALBNK","EQ","28-Mar-2017","         90.00","         90.75","         91.40","         90.30","         90.65","         90.55","         90.75","    9189684","           833960804.80","      27467","    4538624","         49.39"
"FEDERALBNK","EQ","29-Mar-2017","         90.55","         90.95","         91.50","         89.85","         91.00","         91.15","         90.81","    7031000","           638472945.00","      21671","    2506143","         35.64"
"FEDERALBNK","EQ","30-Mar-2017","         91.15","         91.50","         91.85","         90.40","         90.60","         90.75","         90.99","    8351438","           759885409.65","      47985","    4876232","         58.39"
"FEDERALBNK","EQ","31-Mar-2017","         90.75","         90.05","         92.00","         90.05","         90.95","         91.45","         91.33","    7827606","           714908753.05","      34477","    3265824","         41.72"
