"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"INDHOTEL","EQ","02-Jan-2017","         98.55","         98.85","         98.85","         97.00","         98.30","         98.35","         97.97","     169775","            16633001.10","       1139","     116813","         68.80"
"INDHOTEL","EQ","03-Jan-2017","         98.35","         97.65","         98.65","         96.50","         97.10","         97.15","         97.79","     315939","            30895553.60","       4416","     204625","         64.77"
"INDHOTEL","EQ","04-Jan-2017","         97.15","         97.30","         98.45","         95.90","         96.70","         96.70","         97.35","     265308","            25827519.60","       2385","     142024","         53.53"
"INDHOTEL","EQ","05-Jan-2017","         96.70","         97.00","         97.75","         94.90","         95.15","         95.00","         95.26","    1579684","           150485746.05","       4978","    1407359","         89.09"
"INDHOTEL","EQ","06-Jan-2017","         95.00","         95.50","         96.50","         95.05","         95.50","         95.75","         95.52","    2629996","           251211567.60","       3741","    2488229","         94.61"
"INDHOTEL","EQ","09-Jan-2017","         95.75","         96.35","         98.00","         95.05","         97.00","         97.30","         97.17","     413573","            40188487.75","       4816","     181217","         43.82"
"INDHOTEL","EQ","10-Jan-2017","         97.30","         98.00","         98.50","         96.40","         97.10","         97.35","         97.38","     607120","            59121015.85","       5676","     186541","         30.73"
"INDHOTEL","EQ","11-Jan-2017","         97.35","         98.00","         98.15","         96.90","         97.70","         97.75","         97.72","     319068","            31180083.00","       3927","     188773","         59.16"
"INDHOTEL","EQ","12-Jan-2017","         97.75","         98.00","        103.70","         97.50","        100.05","        100.45","        100.93","    1748089","           176430023.30","      17837","     690697","         39.51"
"INDHOTEL","EQ","13-Jan-2017","        100.45","        102.40","        104.60","        101.00","        102.50","        102.55","        102.58","    2053328","           210624653.65","      15058","    1380359","         67.23"
"INDHOTEL","EQ","16-Jan-2017","        102.55","        102.10","        102.85","        101.25","        102.00","        101.90","        101.98","    1921908","           195988753.50","       2576","    1843320","         95.91"
"INDHOTEL","EQ","17-Jan-2017","        101.90","        101.90","        104.60","        101.80","        102.50","        102.80","        102.63","    1360952","           139670174.70","       4264","    1154722","         84.85"
"INDHOTEL","EQ","18-Jan-2017","        102.80","        103.70","        107.50","        103.05","        107.25","        106.85","        105.37","    2474068","           260697096.50","       8472","    2104855","         85.08"
"INDHOTEL","EQ","19-Jan-2017","        106.85","        107.40","        108.90","        105.50","        108.40","        108.50","        107.44","     769691","            82699336.00","       7253","     445945","         57.94"
"INDHOTEL","EQ","20-Jan-2017","        108.50","        108.25","        109.00","        106.80","        107.00","        107.05","        107.41","     409318","            43965324.25","       3489","     273785","         66.89"
"INDHOTEL","EQ","23-Jan-2017","        107.05","        107.00","        109.65","        105.40","        109.00","        108.90","        108.72","    1828519","           198789861.85","       8233","    1594588","         87.21"
"INDHOTEL","EQ","24-Jan-2017","        108.90","        109.00","        109.80","        108.10","        109.00","        108.90","        108.85","     404874","            44068975.25","       8573","     275730","         68.10"
"INDHOTEL","EQ","25-Jan-2017","        108.90","        109.55","        110.00","        107.00","        109.55","        109.40","        108.74","     636409","            69203076.50","       7165","     488167","         76.71"
"INDHOTEL","EQ","27-Jan-2017","        109.40","        109.00","        112.35","        109.00","        111.40","        111.70","        110.88","     588881","            65295325.60","      11356","     392016","         66.57"
"INDHOTEL","EQ","30-Jan-2017","        111.70","        111.00","        111.00","        109.25","        110.00","        109.95","        110.02","     444434","            48897706.00","       2949","     352566","         79.33"
"INDHOTEL","EQ","31-Jan-2017","        109.95","        110.00","        110.45","        107.65","        108.50","        108.05","        108.53","     586834","            63686207.35","       7961","     482214","         82.17"
"INDHOTEL","EQ","01-Feb-2017","        108.05","        108.10","        112.00","        107.55","        111.65","        111.20","        109.00","     559662","            61005866.70","       4091","     482228","         86.16"
"INDHOTEL","EQ","02-Feb-2017","        111.20","        112.00","        112.00","        109.60","        110.10","        110.20","        110.48","     193588","            21388214.25","       2555","      97734","         50.49"
"INDHOTEL","EQ","03-Feb-2017","        110.20","        109.25","        112.85","        108.75","        109.90","        109.30","        110.37","     446562","            49286851.95","       7882","     249747","         55.93"
"INDHOTEL","EQ","06-Feb-2017","        109.30","        113.00","        119.00","        113.00","        115.00","        114.95","        115.08","    2016215","           232022713.60","       9400","    1405014","         69.69"
"INDHOTEL","EQ","07-Feb-2017","        114.95","        115.10","        116.00","        113.50","        114.20","        114.05","        114.70","     370433","            42487550.95","       3248","     227080","         61.30"
"INDHOTEL","EQ","08-Feb-2017","        114.05","        114.80","        116.00","        113.75","        115.50","        115.60","        114.91","     994219","           114244890.40","       4168","     835682","         84.05"
"INDHOTEL","EQ","09-Feb-2017","        115.60","        115.05","        119.50","        114.65","        117.50","        117.60","        116.32","    1364997","           158775880.25","       4425","    1218933","         89.30"
"INDHOTEL","EQ","10-Feb-2017","        117.60","        118.60","        119.00","        116.00","        117.75","        117.60","        117.75","     347005","            40860297.70","       4456","     213914","         61.65"
"INDHOTEL","EQ","13-Feb-2017","        117.60","        118.20","        118.75","        113.40","        115.85","        115.90","        116.04","     492574","            57158468.30","       4850","     310012","         62.94"
"INDHOTEL","EQ","14-Feb-2017","        115.90","        116.50","        118.45","        114.85","        116.80","        117.40","        117.62","    2053013","           241481341.00","       5260","    1908023","         92.94"
"INDHOTEL","EQ","15-Feb-2017","        117.40","        116.75","        119.85","        116.30","        118.55","        119.15","        117.68","    1497451","           176218182.55","       9220","    1335838","         89.21"
"INDHOTEL","EQ","16-Feb-2017","        119.15","        119.40","        120.90","        117.50","        120.80","        120.30","        119.10","    1302939","           155184309.25","       5990","    1193540","         91.60"
"INDHOTEL","EQ","17-Feb-2017","        120.30","        120.10","        121.45","        115.75","        116.00","        116.35","        117.57","     260402","            30615385.25","       4372","     168722","         64.79"
"INDHOTEL","EQ","20-Feb-2017","        116.35","        116.40","        120.85","        116.30","        120.85","        120.30","        118.83","     328116","            38991242.75","       6531","     214083","         65.25"
"INDHOTEL","EQ","21-Feb-2017","        120.30","        119.15","        127.70","        119.15","        124.15","        124.15","        124.15","     952796","           118286291.75","       7624","     412763","         43.32"
"INDHOTEL","EQ","22-Feb-2017","        124.15","        124.65","        124.65","        121.00","        122.35","        122.40","        122.38","     303141","            37098393.30","       4842","     212316","         70.04"
"INDHOTEL","EQ","23-Feb-2017","        122.40","        121.00","        122.85","        120.10","        121.80","        121.95","        121.70","     865514","           105330201.20","       6576","     707665","         81.76"
"INDHOTEL","EQ","27-Feb-2017","        121.95","        121.00","        123.00","        120.15","        120.90","        120.75","        121.08","     144010","            17436247.65","       5702","      86083","         59.78"
"INDHOTEL","EQ","28-Feb-2017","        120.75","        120.75","        126.90","        118.25","        126.60","        125.45","        120.72","    1699417","           205157274.20","       7109","    1468464","         86.41"
"INDHOTEL","EQ","01-Mar-2017","        125.45","        127.75","        128.15","        123.85","        124.00","        126.00","        126.06","     524088","            66064818.25","       6251","     324312","         61.88"
"INDHOTEL","EQ","02-Mar-2017","        126.00","        125.80","        126.00","        119.50","        123.65","        123.45","        122.88","     529292","            65038791.70","       5589","     154421","         29.18"
"INDHOTEL","EQ","03-Mar-2017","        123.45","        122.00","        122.90","        120.20","        120.25","        120.85","        121.45","     276579","            33589896.30","       6688","     144486","         52.24"
"INDHOTEL","EQ","06-Mar-2017","        120.85","        120.35","        122.05","        117.90","        119.95","        119.50","        119.33","    1337000","           159549048.25","       3396","    1173205","         87.75"
"INDHOTEL","EQ","07-Mar-2017","        119.50","        119.20","        123.40","        119.00","        121.65","        122.40","        120.61","     683680","            82455704.45","       6566","     599271","         87.65"
"INDHOTEL","EQ","08-Mar-2017","        122.40","        122.70","        123.50","        121.05","        123.35","        122.70","        122.40","     373846","            45757573.15","      10577","     261343","         69.91"
"INDHOTEL","EQ","09-Mar-2017","        122.70","        123.70","        123.70","        120.30","        121.00","        121.05","        121.09","     267825","            32431225.00","       4260","     225529","         84.21"
"INDHOTEL","EQ","10-Mar-2017","        121.05","        121.95","        122.20","        119.25","        121.00","        121.00","        120.86","     596702","            72117270.10","       4074","     487187","         81.65"
"INDHOTEL","EQ","14-Mar-2017","        121.00","        122.00","        123.40","        118.60","        120.90","        120.85","        120.57","     404350","            48753963.05","      12165","     300560","         74.33"
"INDHOTEL","EQ","15-Mar-2017","        120.85","        121.20","        122.60","        121.05","        122.05","        122.00","        121.96","     425738","            51924659.00","       7546","     359925","         84.54"
"INDHOTEL","EQ","16-Mar-2017","        122.00","        121.80","        123.50","        120.90","        122.05","        121.60","        121.81","     553843","            67465529.35","       5826","     404760","         73.08"
"INDHOTEL","EQ","17-Mar-2017","        121.60","        121.80","        124.00","        120.70","        124.00","        123.00","        122.16","     527861","            64481277.30","       4916","     390314","         73.94"
"INDHOTEL","EQ","20-Mar-2017","        123.00","        124.00","        124.95","        121.00","        122.50","        122.40","        122.27","     495303","            60559308.30","       7774","     322359","         65.08"
"INDHOTEL","EQ","21-Mar-2017","        122.40","        125.00","        125.00","        121.60","        123.00","        122.85","        122.25","    4297358","           525350347.45","      11882","    4018575","         93.51"
"INDHOTEL","EQ","22-Mar-2017","        122.85","        122.80","        123.40","        121.00","        122.05","        122.00","        122.00","    4611731","           562625356.50","       8401","    4508957","         97.77"
"INDHOTEL","EQ","23-Mar-2017","        122.00","        122.00","        128.50","        122.00","        124.00","        124.35","        126.18","     857735","           108226963.65","      10735","     354487","         41.33"
"INDHOTEL","EQ","24-Mar-2017","        124.35","        124.80","        125.65","        122.40","        123.95","        123.70","        123.76","     211196","            26138453.75","       4203","     116040","         54.94"
"INDHOTEL","EQ","27-Mar-2017","        123.70","        124.00","        124.70","        121.75","        123.00","        123.00","        122.79","     469004","            57586766.00","       7998","     357639","         76.25"
"INDHOTEL","EQ","28-Mar-2017","        123.00","        124.90","        125.25","        122.50","        125.20","        124.70","        123.37","     838056","           103389376.20","       5122","     643520","         76.79"
"INDHOTEL","EQ","29-Mar-2017","        124.70","        124.15","        126.65","        123.80","        124.75","        125.25","        125.04","     396696","            49603884.25","       9310","     311833","         78.61"
"INDHOTEL","EQ","30-Mar-2017","        125.25","        126.00","        127.00","        124.70","        126.75","        126.55","        125.73","     462843","            58195137.10","      10231","     340605","         73.59"
"INDHOTEL","EQ","31-Mar-2017","        126.55","        125.80","        128.65","        125.50","        127.40","        126.90","        126.93","     357326","            45354606.20","       6652","     237415","         66.44"
