"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"PKTEA","EQ","03-Jul-2017","        146.30","        143.65","        152.00","        143.05","        144.30","        144.55","        145.63","        549","               79953.00","         11","        300","         54.64"
"PKTEA","EQ","04-Jul-2017","        144.55","        151.90","        152.00","        151.90","        152.00","        152.00","        151.97","        150","               22795.00","          3","        150","        100.00"
"PKTEA","EQ","05-Jul-2017","        152.00","        152.00","        152.00","        147.50","        148.30","        148.30","        148.95","       1571","              233995.00","         37","       1151","         73.27"
"PKTEA","EQ","06-Jul-2017","        148.30","        148.30","        152.00","        148.30","        152.00","        152.00","        150.70","        750","              113022.00","          5","        750","        100.00"
"PKTEA","EQ","07-Jul-2017","        152.00","        152.00","        152.35","        144.00","        146.05","        149.00","        147.06","       3821","              561908.60","        144","       2492","         65.22"
"PKTEA","EQ","10-Jul-2017","        149.00","        167.50","        167.50","        150.05","        150.05","        152.50","        153.65","        125","               19206.25","         15","         46","         36.80"
"PKTEA","EQ","11-Jul-2017","        152.50","        154.00","        154.00","        147.50","        147.50","        147.75","        149.86","        765","              114642.10","         19","        560","         73.20"
"PKTEA","EQ","12-Jul-2017","        147.75","        146.05","        146.20","        145.00","        145.00","        145.95","        145.99","       1265","              184676.80","         27","        845","         66.80"
"PKTEA","EQ","13-Jul-2017","        145.95","        146.00","        162.00","        144.50","        147.25","        147.25","        150.39","        455","               68428.00","         15","        177","         38.90"
"PKTEA","EQ","14-Jul-2017","        147.25","        154.00","        156.50","        145.10","        149.95","        149.95","        150.58","        295","               44419.80","         36","        151","         51.19"
"PKTEA","EQ","17-Jul-2017","        149.95","        150.00","        150.00","        147.10","        150.00","        147.25","        149.18","        818","              122028.40","         24","        620","         75.79"
"PKTEA","EQ","18-Jul-2017","        147.25","        153.85","        155.90","        149.10","        155.90","        153.75","        153.09","        646","               98893.75","         16","        390","         60.37"
"PKTEA","EQ","19-Jul-2017","        153.75","        153.00","        155.00","        149.00","        153.20","        149.35","        149.75","        347","               51962.55","         15","        294","         84.73"
"PKTEA","EQ","20-Jul-2017","        149.35","        148.55","        152.90","        145.00","        148.00","        146.55","        147.05","       2362","              347329.15","         55","       1560","         66.05"
"PKTEA","EQ","21-Jul-2017","        146.55","        150.90","        150.95","        145.15","        146.25","        146.80","        147.93","        972","              143783.20","         66","        802","         82.51"
"PKTEA","EQ","24-Jul-2017","        146.80","        152.90","        152.95","        148.00","        151.65","        151.65","        152.67","        185","               28243.55","         10","        184","         99.46"
"PKTEA","EQ","25-Jul-2017","        151.65","        152.25","        154.00","        148.20","        148.20","        148.90","        150.18","        150","               22527.25","          7","        150","        100.00"
"PKTEA","EQ","26-Jul-2017","        148.90","        153.50","        154.00","        146.00","        151.90","        151.90","        149.84","        322","               48248.70","         18","        175","         54.35"
