"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"TINPLATE","EQ","03-Apr-2017","         77.50","         78.00","         79.80","         78.00","         79.40","         79.40","         79.11","     213612","            16898487.20","       1536","     122240","         57.23"
"TINPLATE","EQ","05-Apr-2017","         79.40","         80.20","         82.30","         79.75","         81.90","         81.70","         81.32","     370084","            30095191.30","       2499","     212630","         57.45"
"TINPLATE","EQ","06-Apr-2017","         81.70","         81.70","         81.85","         80.25","         81.10","         80.95","         80.91","     187432","            15164686.25","       1237","     113934","         60.79"
"TINPLATE","EQ","07-Apr-2017","         80.95","         80.70","         84.80","         80.30","         83.30","         83.15","         82.97","     694737","            57643654.65","       4565","     302183","         43.50"
"TINPLATE","EQ","10-Apr-2017","         83.15","         84.65","         90.00","         83.55","         87.05","         87.25","         87.08","    2588480","           225395897.80","      17994","     693774","         26.80"
"TINPLATE","EQ","11-Apr-2017","         87.25","         87.60","         90.70","         86.40","         87.60","         87.40","         88.77","    1390903","           123464207.65","       8759","     407245","         29.28"
"TINPLATE","EQ","12-Apr-2017","         87.40","         87.90","         88.40","         84.40","         86.40","         86.05","         86.03","     371078","            31923550.80","       2543","     148361","         39.98"
"TINPLATE","EQ","13-Apr-2017","         86.05","         86.15","         90.40","         85.20","         86.80","         86.75","         88.15","     660955","            58260373.45","       4653","     234259","         35.44"
"TINPLATE","EQ","17-Apr-2017","         86.75","         86.15","         91.75","         85.80","         89.00","         88.95","         89.63","     989932","            88729263.10","       8081","     321315","         32.46"
"TINPLATE","EQ","18-Apr-2017","         88.95","         89.00","         90.70","         85.55","         85.65","         86.00","         88.02","     344360","            30309626.20","       3112","     207666","         60.30"
"TINPLATE","EQ","19-Apr-2017","         86.00","         86.25","         86.70","         84.50","         85.85","         85.70","         85.62","     266941","            22854862.95","       3552","     131640","         49.31"
"TINPLATE","EQ","20-Apr-2017","         85.70","         86.10","         88.50","         86.00","         87.00","         86.95","         87.05","     291324","            25359986.20","       2302","     149962","         51.48"
"TINPLATE","EQ","21-Apr-2017","         86.95","         87.60","         90.40","         87.00","         88.30","         88.55","         89.01","     786564","            70009170.30","       7063","     348066","         44.25"
"TINPLATE","EQ","24-Apr-2017","         88.55","         93.90","         94.80","         90.55","         90.80","         90.95","         92.24","    1643223","           151569308.50","      11466","     701289","         42.68"
"TINPLATE","EQ","25-Apr-2017","         90.95","         91.90","         92.65","         89.90","         90.40","         90.45","         91.05","     602821","            54889201.65","       5739","     257544","         42.72"
"TINPLATE","EQ","26-Apr-2017","         90.45","         90.80","         91.75","         87.20","         88.05","         88.20","         90.06","     521520","            46965794.40","       4250","     297115","         56.97"
"TINPLATE","EQ","27-Apr-2017","         88.20","         88.60","         89.35","         86.70","         87.00","         86.85","         87.46","     212259","            18563512.10","       1764","     112496","         53.00"
"TINPLATE","EQ","28-Apr-2017","         86.85","         86.75","         89.50","         86.40","         87.75","         87.90","         87.83","     364943","            32054347.25","       3154","     135241","         37.06"
"TINPLATE","EQ","02-May-2017","         87.90","         88.30","         88.80","         87.00","         87.50","         87.25","         87.62","     166632","            14600102.65","       1279","      90749","         54.46"
"TINPLATE","EQ","03-May-2017","         87.25","         87.65","         88.35","         86.50","         86.85","         86.75","         87.28","     159787","            13946579.90","       1212","      82269","         51.49"
"TINPLATE","EQ","04-May-2017","         86.75","         87.35","         89.55","         87.25","         88.50","         88.55","         88.53","     420762","            37250219.50","       3579","     154179","         36.64"
"TINPLATE","EQ","05-May-2017","         88.55","         88.15","         89.90","         86.25","         86.70","         86.70","         87.86","     250366","            21995996.85","       1908","     110935","         44.31"
"TINPLATE","EQ","08-May-2017","         86.70","         87.30","         88.50","         86.70","         87.15","         87.30","         87.56","     248851","            21789509.80","       1705","      83751","         33.66"
"TINPLATE","EQ","09-May-2017","         87.30","         87.90","         87.90","         86.65","         87.05","         86.95","         87.15","     153710","            13395291.85","       1041","      61390","         39.94"
"TINPLATE","EQ","10-May-2017","         86.95","         87.40","         89.35","         87.05","         88.90","         88.70","         88.32","     242543","            21421060.90","       1716","     141803","         58.47"
"TINPLATE","EQ","11-May-2017","         88.70","         88.95","         92.25","         88.50","         90.40","         90.20","         90.90","     751651","            68325561.60","       5555","     334708","         44.53"
"TINPLATE","EQ","12-May-2017","         90.20","         90.85","         90.85","         87.90","         88.60","         88.75","         89.04","     200324","            17837245.55","       1885","      81843","         40.86"
"TINPLATE","EQ","15-May-2017","         88.75","         88.75","         94.35","         88.75","         93.20","         93.10","         92.52","     987937","            91403097.30","       7455","     445792","         45.12"
"TINPLATE","EQ","16-May-2017","         93.10","         93.75","         95.20","         92.70","         93.00","         93.15","         93.85","     614858","            57702109.15","       6132","     306589","         49.86"
"TINPLATE","EQ","17-May-2017","         93.15","         93.00","         97.30","         92.00","         94.75","         94.95","         95.55","    1266390","           121001100.50","       8732","     480671","         37.96"
"TINPLATE","EQ","18-May-2017","         94.95","         94.70","         98.90","         93.75","         95.10","         95.55","         96.88","    1928740","           186853294.00","      13049","     592165","         30.70"
"TINPLATE","EQ","19-May-2017","         95.55","         96.05","         97.70","         93.15","         93.50","         93.55","         95.16","     542662","            51641670.85","       3567","     178296","         32.86"
"TINPLATE","EQ","22-May-2017","         93.55","         94.20","         94.25","         90.90","         91.05","         91.10","         92.53","     297735","            27550080.80","       2182","     117293","         39.40"
"TINPLATE","EQ","23-May-2017","         91.10","         91.50","         91.50","         87.50","         88.25","         88.55","         89.23","     316693","            28259618.40","       2203","     142803","         45.09"
"TINPLATE","EQ","24-May-2017","         88.55","         88.50","         91.30","         84.75","         85.75","         85.65","         88.21","     530338","            46781322.60","       3877","     207731","         39.17"
"TINPLATE","EQ","25-May-2017","         85.65","         86.45","         87.40","         85.60","         86.50","         86.60","         86.44","     259014","            22388895.70","       2453","     126739","         48.93"
"TINPLATE","EQ","26-May-2017","         86.60","         86.70","         91.50","         86.45","         89.00","         88.90","         89.37","     321300","            28713376.25","       2401","     124203","         38.66"
"TINPLATE","EQ","29-May-2017","         88.90","         89.40","         90.25","         86.00","         88.15","         88.00","         87.99","     243491","            21425696.85","       1731","     128073","         52.60"
"TINPLATE","EQ","30-May-2017","         88.00","         87.65","         88.70","         86.50","         87.50","         87.50","         87.49","     105936","             9267850.00","       1011","      36658","         34.60"
"TINPLATE","EQ","31-May-2017","         87.50","         87.75","         88.50","         86.50","         87.00","         87.00","         87.53","     136201","            11921731.50","       1254","      77175","         56.66"
"TINPLATE","EQ","01-Jun-2017","         87.00","         87.00","         91.00","         87.00","         89.45","         89.15","         89.11","     288058","            25670284.25","       2450","     130243","         45.21"
"TINPLATE","EQ","02-Jun-2017","         89.15","         89.95","         90.20","         88.10","         88.25","         88.30","         88.97","     165632","            14736053.85","       1526","      73365","         44.29"
"TINPLATE","EQ","05-Jun-2017","         88.30","         88.00","         90.90","         88.00","         90.00","         89.65","         89.84","     301633","            27099400.55","       2134","      95528","         31.67"
"TINPLATE","EQ","06-Jun-2017","         89.65","         90.05","         91.50","         87.75","         88.40","         88.35","         89.59","     238727","            21387222.40","       1532","     103142","         43.20"
"TINPLATE","EQ","07-Jun-2017","         88.35","         88.90","         89.45","         87.75","         88.70","         88.45","         88.58","     112511","             9966747.55","        919","      64306","         57.16"
"TINPLATE","EQ","08-Jun-2017","         88.45","         88.90","         93.70","         88.50","         92.40","         92.20","         91.66","     666574","            61096690.75","       4995","     267416","         40.12"
"TINPLATE","EQ","09-Jun-2017","         92.20","         92.00","         92.50","         90.55","         90.65","         90.85","         91.13","     316258","            28820365.35","       2287","     139493","         44.11"
"TINPLATE","EQ","12-Jun-2017","         90.85","         90.70","         90.70","         88.10","         88.30","         88.40","         89.08","     200856","            17891911.45","       2183","     103474","         51.52"
"TINPLATE","EQ","13-Jun-2017","         88.40","         88.55","         90.20","         87.50","         87.60","         87.65","         88.65","     202845","            17981990.10","       1640","      89212","         43.98"
