"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"WIPL","BE","03-Jul-2017","         62.85","         59.75","         65.50","         59.75","         65.50","         65.50","         62.60","         20","                1252.00","          3","-","-"
"WIPL","BE","05-Jul-2017","         65.50","         62.25","         62.25","         62.25","         62.25","         62.25","         62.25","         51","                3174.75","          3","-","-"
"WIPL","BE","06-Jul-2017","         62.25","         59.40","         63.90","         59.40","         60.00","         60.10","         59.70","         95","                5671.70","          4","-","-"
"WIPL","BE","07-Jul-2017","         60.10","         57.25","         61.90","         57.25","         61.90","         61.90","         57.67","         56","                3229.25","          3","-","-"
"WIPL","BE","10-Jul-2017","         61.90","         61.90","         61.90","         60.00","         60.00","         60.00","         61.89","        322","               19928.00","          4","-","-"
"WIPL","BE","11-Jul-2017","         60.00","         60.00","         60.00","         57.00","         57.00","         57.00","         58.18","       2583","              150267.85","         22","-","-"
"WIPL","BE","12-Jul-2017","         57.00","         54.55","         59.00","         54.15","         58.90","         58.90","         55.06","       1888","              103945.65","         13","-","-"
"WIPL","BE","13-Jul-2017","         58.90","         58.50","         59.35","         56.00","         56.00","         56.00","         57.55","       2549","              146698.70","         20","-","-"
"WIPL","BE","14-Jul-2017","         56.00","         53.55","         53.55","         53.55","         53.55","         53.55","         53.55","          5","                 267.75","          1","-","-"
"WIPL","BE","17-Jul-2017","         53.55","         55.90","         56.00","         50.95","         55.00","         55.00","         53.49","       1740","               93068.00","         43","-","-"
"WIPL","BE","18-Jul-2017","         55.00","         52.50","         54.00","         52.25","         54.00","         54.00","         52.43","        711","               37278.25","          4","-","-"
"WIPL","BE","19-Jul-2017","         54.00","         51.30","         54.00","         51.30","         53.90","         53.90","         51.60","       3023","              155982.70","         15","-","-"
"WIPL","BE","20-Jul-2017","         53.90","         53.00","         54.75","         52.00","         52.95","         52.95","         53.33","        426","               22718.00","          7","-","-"
"WIPL","BE","21-Jul-2017","         52.95","         55.50","         55.50","         50.35","         52.90","         50.35","         51.39","       1815","               93273.90","         29","-","-"
"WIPL","BE","24-Jul-2017","         50.35","         49.00","         49.00","         47.85","         47.85","         47.85","         48.71","         40","                1948.50","          2","-","-"
"WIPL","BE","25-Jul-2017","         47.85","         47.00","         47.00","         45.50","         45.50","         45.50","         46.00","       6576","              302470.55","         29","-","-"
"WIPL","BE","26-Jul-2017","         45.50","         43.25","         46.00","         43.25","         46.00","         46.00","         44.63","         10","                 446.25","          2","-","-"
"WIPL","BE","27-Jul-2017","         46.00","         46.20","         47.95","         44.60","         47.85","         47.85","         45.43","       8064","              366327.25","         25","-","-"
"WIPL","BE","28-Jul-2017","         47.85","         48.00","         48.00","         48.00","         48.00","         48.00","         48.00","        100","                4800.00","          1","-","-"
"WIPL","BE","31-Jul-2017","         48.00","         49.85","         49.85","         49.85","         49.85","         49.85","         49.85","         50","                2492.50","          1","-","-"
"WIPL","BE","01-Aug-2017","         49.85","         51.95","         51.95","         50.90","         50.90","         50.90","         51.19","         41","                2098.95","          3","-","-"
"WIPL","BE","02-Aug-2017","         50.90","         53.40","         53.40","         48.40","         49.00","         48.65","         50.63","        360","               18227.50","          9","-","-"
"WIPL","BE","03-Aug-2017","         48.65","         46.25","         49.00","         46.25","         47.00","         46.35","         47.91","         27","                1293.50","          5","-","-"
"WIPL","BE","04-Aug-2017","         46.35","         44.25","         48.65","         44.25","         48.65","         47.05","         47.06","        314","               14777.25","          4","-","-"
"WIPL","BE","07-Aug-2017","         47.05","         49.30","         49.30","         45.00","         45.00","         48.55","         48.81","        905","               44175.00","          5","-","-"
"WIPL","BE","08-Aug-2017","         48.55","         50.00","         50.00","         46.15","         49.20","         46.75","         47.30","          6","                 283.80","          3","-","-"
"WIPL","BE","14-Aug-2017","         46.75","         49.00","         49.00","         48.50","         48.50","         48.50","         48.64","        350","               17025.00","          2","-","-"
"WIPL","BE","17-Aug-2017","         48.50","         48.50","         48.50","         48.50","         48.50","         48.50","         48.50","         25","                1212.50","          1","-","-"
"WIPL","BE","21-Aug-2017","         48.50","         50.00","         50.00","         50.00","         50.00","         50.00","         50.00","         10","                 500.00","          1","-","-"
"WIPL","BE","23-Aug-2017","         50.00","         52.00","         52.00","         50.00","         52.00","         51.95","         51.12","        401","               20499.00","          9","-","-"
"WIPL","BE","24-Aug-2017","         51.95","         49.55","         50.00","         49.40","         49.40","         49.40","         49.56","         56","                2775.25","          6","-","-"
"WIPL","BE","28-Aug-2017","         49.40","         49.40","         49.40","         49.00","         49.00","         49.00","         49.01","        499","               24454.20","          3","-","-"
"WIPL","BE","29-Aug-2017","         49.00","         47.00","         51.40","         47.00","         51.40","         51.40","         49.20","          8","                 393.60","          2","-","-"
"WIPL","BE","30-Aug-2017","         51.40","         53.90","         53.90","         48.85","         48.85","         48.85","         49.31","         11","                 542.40","          2","-","-"
"WIPL","BE","31-Aug-2017","         48.85","         47.00","         51.00","         46.45","         51.00","         51.00","         47.20","         86","                4059.50","          8","-","-"
"WIPL","BE","01-Sep-2017","         51.00","         51.00","         53.55","         48.70","         53.50","         53.50","         52.66","         62","                3264.95","          6","-","-"
"WIPL","BE","04-Sep-2017","         53.50","         56.15","         56.15","         50.90","         50.90","         50.90","         51.40","        105","                5397.00","          6","-","-"
"WIPL","BE","05-Sep-2017","         50.90","         52.90","         52.90","         50.90","         50.90","         50.90","         51.01","        214","               10915.70","          4","-","-"
"WIPL","BE","06-Sep-2017","         50.90","         53.40","         53.40","         48.40","         53.20","         53.20","         51.48","       2455","              126377.40","         41","-","-"
"WIPL","BE","07-Sep-2017","         53.20","         55.60","         55.60","         50.55","         53.00","         53.00","         52.87","        420","               22206.05","         17","-","-"
"WIPL","BE","08-Sep-2017","         53.00","         50.35","         52.90","         50.35","         50.35","         50.35","         50.37","        114","                5742.45","          8","-","-"
"WIPL","BE","11-Sep-2017","         50.35","         50.35","         50.35","         47.85","         47.85","         47.85","         48.59","        716","               34788.60","         16","-","-"
"WIPL","BE","12-Sep-2017","         47.85","         45.50","         47.85","         45.50","         47.85","         47.85","         46.91","        251","               11775.00","          7","-","-"
"WIPL","BE","13-Sep-2017","         47.85","         45.50","         48.95","         45.50","         48.95","         48.95","         46.83","         52","                2435.00","          4","-","-"
"WIPL","BE","14-Sep-2017","         48.95","         51.35","         51.35","         48.95","         48.95","         48.95","         51.04","        170","                8676.75","          5","-","-"
"WIPL","BE","15-Sep-2017","         48.95","         48.95","         48.95","         47.95","         47.95","         47.95","         48.34","         51","                2465.45","          3","-","-"
"WIPL","BE","18-Sep-2017","         47.95","         50.25","         50.30","         45.60","         45.60","         49.35","         49.64","       5769","              286399.50","         60","-","-"
"WIPL","BE","19-Sep-2017","         49.35","         51.80","         51.80","         51.80","         51.80","         51.80","         51.80","       3861","              199999.80","         14","-","-"
