"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"THIRUSUGAR","EQ","03-Apr-2017","         57.70","         58.75","         61.90","         57.15","         61.20","         61.25","         60.35","      65949","             3979865.80","        576","      48844","         74.06"
"THIRUSUGAR","EQ","05-Apr-2017","         61.25","         61.20","         63.75","         61.20","         62.65","         62.45","         62.72","      15276","              958159.20","        249","       9639","         63.10"
"THIRUSUGAR","EQ","06-Apr-2017","         62.45","         63.00","         63.45","         59.60","         61.85","         61.50","         61.75","      18244","             1126575.05","        283","      10594","         58.07"
"THIRUSUGAR","EQ","07-Apr-2017","         61.50","         61.05","         62.25","         60.30","         60.40","         60.65","         61.28","       8566","              524887.25","         84","       6896","         80.50"
"THIRUSUGAR","EQ","10-Apr-2017","         60.65","         62.85","         62.85","         60.00","         61.60","         61.95","         61.93","      17965","             1112614.75","        192","      13906","         77.41"
"THIRUSUGAR","EQ","11-Apr-2017","         61.95","         62.90","         62.90","         60.50","         60.90","         60.75","         61.35","      18270","             1120778.90","        223","       9710","         53.15"
"THIRUSUGAR","EQ","12-Apr-2017","         60.75","         61.00","         65.30","         59.60","         63.40","         63.60","         63.51","      81761","             5192676.40","        794","      29709","         36.34"
"THIRUSUGAR","EQ","13-Apr-2017","         63.60","         64.00","         64.95","         63.30","         64.00","         63.90","         64.23","      31234","             2006264.00","        236","      24519","         78.50"
"THIRUSUGAR","EQ","17-Apr-2017","         63.90","         64.00","         64.95","         63.00","         63.95","         63.30","         63.76","      11473","              731521.60","        122","       9354","         81.53"
"THIRUSUGAR","EQ","18-Apr-2017","         63.30","         63.50","         64.85","         62.50","         63.00","         63.05","         63.80","      18661","             1190491.00","        179","      13734","         73.60"
"THIRUSUGAR","EQ","19-Apr-2017","         63.05","         64.10","         65.00","         62.00","         63.65","         63.20","         63.73","      13256","              844848.10","        244","       5864","         44.24"
"THIRUSUGAR","EQ","20-Apr-2017","         63.20","         62.10","         64.50","         62.10","         64.45","         64.15","         63.66","      20428","             1300394.00","        341","       8383","         41.04"
"THIRUSUGAR","EQ","21-Apr-2017","         64.15","         66.60","         67.00","         64.60","         64.70","         64.90","         65.81","      53827","             3542516.55","        506","      27319","         50.75"
