"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"TIMETECHNO","EQ","03-Jul-2017","        159.45","        160.00","        164.90","        159.65","        163.60","        163.75","        163.31","     403764","            65936920.10","       4764","     164963","         40.86"
"TIMETECHNO","EQ","04-Jul-2017","        163.75","        163.70","        167.00","        162.70","        163.80","        163.95","        164.49","     192097","            31598967.70","       2809","      87548","         45.57"
"TIMETECHNO","EQ","05-Jul-2017","        163.95","        165.40","        165.40","        159.25","        162.80","        163.15","        162.44","     171541","            27865278.65","       2629","      83111","         48.45"
"TIMETECHNO","EQ","06-Jul-2017","        163.15","        164.70","        164.70","        160.20","        160.90","        160.80","        161.65","     260582","            42123441.30","       4020","     143166","         54.94"
"TIMETECHNO","EQ","07-Jul-2017","        160.80","        160.50","        164.00","        158.00","        161.10","        161.30","        161.31","     282126","            45509036.30","       3974","     144759","         51.31"
"TIMETECHNO","EQ","10-Jul-2017","        161.30","        163.90","        163.90","        160.00","        161.00","        161.55","        161.82","      20632","             3338772.55","        311","      14566","         70.60"
"TIMETECHNO","EQ","11-Jul-2017","        161.55","        163.00","        163.00","        155.00","        156.65","        156.40","        159.36","     205450","            32740844.80","       3422","     113533","         55.26"
"TIMETECHNO","EQ","12-Jul-2017","        156.40","        157.75","        160.00","        156.30","        157.70","        158.05","        158.00","     161352","            25493535.95","       2408","      73788","         45.73"
"TIMETECHNO","EQ","13-Jul-2017","        158.05","        161.20","        161.20","        155.90","        156.00","        156.55","        157.85","     163959","            25880899.65","       2026","     112758","         68.77"
"TIMETECHNO","EQ","14-Jul-2017","        156.55","        159.50","        159.50","        155.30","        156.50","        156.50","        157.01","     148638","            23336964.20","       3019","      68590","         46.15"
"TIMETECHNO","EQ","17-Jul-2017","        156.50","        157.00","        159.75","        153.00","        153.40","        153.55","        156.00","     332748","            51909123.05","       3898","     236696","         71.13"
"TIMETECHNO","EQ","18-Jul-2017","        153.55","        154.95","        156.10","        152.10","        154.70","        154.95","        154.20","     149353","            23029880.20","       2516","      68035","         45.55"
"TIMETECHNO","EQ","19-Jul-2017","        154.95","        154.95","        160.15","        154.10","        156.90","        156.75","        156.99","     841720","           132143749.00","       5201","     598673","         71.12"
"TIMETECHNO","EQ","20-Jul-2017","        156.75","        157.95","        171.05","        155.20","        166.25","        166.55","        159.22","    7919427","          1260904111.05","      31771","    6165371","         77.85"
"TIMETECHNO","EQ","21-Jul-2017","        166.55","        168.70","        169.00","        163.10","        165.00","        165.30","        165.91","     736078","           122120849.30","      15404","     350367","         47.60"
"TIMETECHNO","EQ","24-Jul-2017","        165.30","        166.65","        168.00","        162.00","        162.10","        162.55","        164.45","     280674","            46156724.00","       5114","     154357","         55.00"
"TIMETECHNO","EQ","25-Jul-2017","        162.55","        163.55","        166.30","        161.10","        163.50","        164.00","        163.87","     323750","            53051978.70","       6273","     121995","         37.68"
"TIMETECHNO","EQ","26-Jul-2017","        164.00","        165.00","        170.35","        162.45","        167.40","        167.60","        167.82","     609080","           102218041.00","      11149","     258173","         42.39"
"TIMETECHNO","EQ","27-Jul-2017","        167.60","        168.45","        177.25","        167.65","        169.80","        169.85","        173.49","    1276159","           221400464.90","      14844","     539868","         42.30"
"TIMETECHNO","EQ","28-Jul-2017","        169.85","        166.15","        173.00","        165.50","        166.50","        166.45","        168.37","     371343","            62522433.05","       3979","     147977","         39.85"
"TIMETECHNO","EQ","31-Jul-2017","        166.45","        167.80","        167.85","        163.50","        164.00","        164.15","        165.56","     180678","            29913487.00","       2288","      79329","         43.91"
"TIMETECHNO","EQ","01-Aug-2017","        164.15","        165.90","        166.70","        162.35","        166.20","        165.70","        163.83","     327626","            53675053.40","       1997","     237342","         72.44"
"TIMETECHNO","EQ","02-Aug-2017","        165.70","        166.25","        172.00","        163.10","        170.50","        170.70","        169.90","     456714","            77595200.05","      11559","     206815","         45.28"
"TIMETECHNO","EQ","03-Aug-2017","        170.70","        170.90","        176.95","        167.35","        175.95","        174.70","        173.59","     715834","           124259843.65","      11233","     322188","         45.01"
"TIMETECHNO","EQ","04-Aug-2017","        174.70","        175.50","        175.55","        168.35","        171.30","        171.55","        170.26","     768993","           130929990.15","      10634","     489810","         63.69"
"TIMETECHNO","EQ","07-Aug-2017","        171.55","        173.70","        179.20","        169.00","        174.40","        174.80","        175.70","     496829","            87290467.00","       6623","     188115","         37.86"
"TIMETECHNO","EQ","08-Aug-2017","        174.80","        176.25","        179.20","        170.90","        175.10","        174.60","        175.28","     337589","            59173507.40","       4338","     163787","         48.52"
"TIMETECHNO","EQ","09-Aug-2017","        174.60","        174.35","        177.30","        171.50","        172.50","        174.85","        174.80","     353036","            61712104.55","       4353","     168796","         47.81"
"TIMETECHNO","EQ","10-Aug-2017","        174.85","        172.00","        174.00","        159.35","        167.00","        164.95","        167.60","     646594","           108369345.40","       5837","     426199","         65.91"
"TIMETECHNO","EQ","11-Aug-2017","        164.95","        160.00","        171.00","        156.00","        165.20","        164.35","        164.08","     588554","            96568823.65","       8409","     316462","         53.77"
"TIMETECHNO","EQ","14-Aug-2017","        164.35","        167.00","        177.35","        165.35","        175.50","        175.60","        172.75","     505591","            87339014.75","       6784","     305392","         60.40"
"TIMETECHNO","EQ","16-Aug-2017","        175.60","        175.00","        183.35","        172.05","        179.80","        180.20","        178.70","     567304","           101378492.75","       6377","     233910","         41.23"
"TIMETECHNO","EQ","17-Aug-2017","        180.20","        180.00","        192.40","        180.00","        191.60","        191.25","        187.78","     758750","           142478742.70","       7188","     300234","         39.57"
"TIMETECHNO","EQ","18-Aug-2017","        191.25","        189.80","        190.80","        183.30","        188.30","        188.30","        187.50","     347181","            65095937.70","       3749","     113419","         32.67"
"TIMETECHNO","EQ","21-Aug-2017","        188.30","        189.90","        194.40","        178.60","        180.00","        180.10","        185.57","     427180","            79271670.25","       7944","     202562","         47.42"
"TIMETECHNO","EQ","22-Aug-2017","        180.10","        182.15","        183.30","        172.55","        178.00","        177.90","        178.59","     342815","            61223680.90","       4932","     127990","         37.34"
"TIMETECHNO","EQ","23-Aug-2017","        177.90","        179.60","        188.65","        178.50","        186.70","        187.40","        184.91","     491504","            90883767.20","       4848","     259829","         52.86"
"TIMETECHNO","EQ","24-Aug-2017","        187.40","        186.95","        187.10","        181.25","        184.00","        184.30","        184.30","     357392","            65868507.45","       4583","     196272","         54.92"
"TIMETECHNO","EQ","28-Aug-2017","        184.30","        185.05","        186.00","        182.40","        184.85","        184.40","        184.41","     313724","            57854836.70","       5106","     183032","         58.34"
"TIMETECHNO","EQ","29-Aug-2017","        184.40","        182.70","        186.90","        180.75","        183.05","        183.35","        184.48","     591471","           109113487.85","       8051","     423987","         71.68"
"TIMETECHNO","EQ","30-Aug-2017","        183.35","        185.05","        186.90","        183.00","        184.15","        184.35","        184.86","     138042","            25517786.40","       2769","      68954","         49.95"
