"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"TIMESGTY","BE","03-Apr-2017","         34.50","         34.40","         34.40","         34.40","         34.40","         34.40","         34.40","         72","                2476.80","          1","-","-"
"TIMESGTY","BE","05-Apr-2017","         34.40","         32.70","         35.70","         32.70","         34.95","         33.00","         32.81","       1547","               50758.15","         11","-","-"
"TIMESGTY","BE","06-Apr-2017","         33.00","         33.00","         34.65","         33.00","         34.65","         34.65","         34.29","        759","               26026.75","          5","-","-"
"TIMESGTY","BE","07-Apr-2017","         34.65","         33.05","         34.55","         33.05","         34.50","         34.50","         34.34","        457","               15694.25","          8","-","-"
"TIMESGTY","BE","10-Apr-2017","         34.50","         36.10","         36.10","         34.50","         34.50","         34.50","         34.81","        255","                8877.50","          6","-","-"
"TIMESGTY","BE","11-Apr-2017","         34.50","         34.00","         36.00","         32.80","         36.00","         36.00","         33.04","       1695","               56005.50","         15","-","-"
"TIMESGTY","BE","13-Apr-2017","         36.00","         37.70","         37.70","         35.00","         35.90","         35.90","         37.06","        700","               25940.00","          3","-","-"
"TIMESGTY","BE","18-Apr-2017","         35.90","         36.50","         37.45","         34.15","         34.15","         34.15","         35.33","        975","               34442.80","         12","-","-"
"TIMESGTY","BE","19-Apr-2017","         34.15","         32.50","         35.85","         32.50","         35.85","         35.85","         35.66","       1626","               57981.30","         14","-","-"
"TIMESGTY","BE","20-Apr-2017","         35.85","         35.85","         37.50","         35.50","         35.50","         35.50","         36.42","       1636","               59582.75","         12","-","-"
"TIMESGTY","BE","21-Apr-2017","         35.50","         37.25","         37.25","         35.50","         37.25","         37.25","         37.05","        900","               33346.50","         12","-","-"
"TIMESGTY","BE","24-Apr-2017","         37.25","         39.00","         39.10","         35.50","         38.00","         38.05","         37.53","       9003","              337854.85","         46","-","-"
"TIMESGTY","BE","25-Apr-2017","         38.05","         37.75","         37.75","         36.15","         37.05","         37.05","         36.71","       1936","               71080.00","         21","-","-"
"TIMESGTY","BE","26-Apr-2017","         37.05","         37.05","         38.60","         35.35","         37.80","         37.80","         36.99","       2257","               83489.95","         12","-","-"
"TIMESGTY","BE","27-Apr-2017","         37.80","         38.80","         38.80","         36.00","         37.35","         37.35","         36.58","        512","               18728.70","          6","-","-"
"TIMESGTY","BE","28-Apr-2017","         37.35","         36.90","         36.90","         36.90","         36.90","         36.90","         36.90","        100","                3690.00","          1","-","-"
"TIMESGTY","BE","03-May-2017","         36.90","         37.10","         37.10","         37.10","         37.10","         37.10","         37.10","        100","                3710.00","          1","-","-"
"TIMESGTY","BE","04-May-2017","         37.10","         36.00","         36.00","         36.00","         36.00","         36.00","         36.00","         20","                 720.00","          2","-","-"
"TIMESGTY","BE","05-May-2017","         36.00","         36.40","         36.40","         35.50","         36.00","         35.75","         35.97","          3","                 107.90","          3","-","-"
"TIMESGTY","BE","08-May-2017","         35.75","         34.00","         35.00","         34.00","         34.00","         34.00","         34.34","        589","               20226.60","          8","-","-"
"TIMESGTY","BE","09-May-2017","         34.00","         34.00","         34.00","         33.15","         33.15","         33.20","         33.19","        500","               16592.90","          7","-","-"
"TIMESGTY","BE","10-May-2017","         33.20","         33.00","         33.30","         33.00","         33.30","         33.30","         33.01","         42","                1386.60","          2","-","-"
"TIMESGTY","BE","11-May-2017","         33.30","         32.05","         32.05","         32.05","         32.05","         32.05","         32.05","         50","                1602.50","          1","-","-"
"TIMESGTY","BE","12-May-2017","         32.05","         32.10","         33.65","         32.10","         33.65","         33.65","         32.88","          8","                 263.00","          2","-","-"
"TIMESGTY","BE","15-May-2017","         33.65","         35.30","         35.30","         32.45","         35.20","         35.20","         34.79","       1040","               36184.00","         13","-","-"
"TIMESGTY","BE","16-May-2017","         35.20","         35.20","         36.95","         35.20","         36.95","         36.45","         36.40","        852","               31014.15","         11","-","-"
"TIMESGTY","BE","17-May-2017","         36.45","         36.85","         36.85","         36.85","         36.85","         36.85","         36.85","        100","                3685.00","          1","-","-"
