"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"TWL","EQ","03-Jul-2017","        116.70","        117.25","        119.75","        116.55","        118.95","        118.65","        118.58","     457315","            54227942.05","       4189","     219925","         48.09"
"TWL","EQ","04-Jul-2017","        118.65","        118.95","        119.65","        117.60","        118.20","        118.00","        118.62","     199137","            23622441.65","       1947","     119214","         59.87"
"TWL","EQ","05-Jul-2017","        118.00","        120.10","        123.40","        119.20","        119.50","        119.60","        121.10","    1015490","           122975375.60","       7177","     403039","         39.69"
"TWL","EQ","06-Jul-2017","        119.60","        120.00","        120.40","        118.00","        118.05","        118.20","        119.16","     380210","            45304456.95","       3584","     206390","         54.28"
"TWL","EQ","07-Jul-2017","        118.20","        117.70","        118.75","        117.00","        117.30","        117.20","        117.51","     358550","            42134967.30","       7070","     184377","         51.42"
"TWL","EQ","10-Jul-2017","        117.20","        117.35","        118.00","        117.00","        117.30","        117.25","        117.40","      80472","             9447287.40","        646","      56163","         69.79"
"TWL","EQ","11-Jul-2017","        117.25","        117.60","        118.85","        116.50","        116.75","        116.85","        117.51","     366636","            43081660.10","       7787","     187996","         51.28"
"TWL","EQ","12-Jul-2017","        116.85","        117.65","        117.80","        116.50","        116.65","        116.85","        117.17","     346873","            40641709.45","       2815","     193420","         55.76"
"TWL","EQ","13-Jul-2017","        116.85","        117.70","        118.15","        116.65","        116.90","        116.90","        117.41","     253780","            29797282.10","       4930","     149217","         58.80"
"TWL","EQ","14-Jul-2017","        116.90","        116.90","        117.50","        115.10","        115.85","        115.95","        116.08","     314236","            36477722.60","       2732","     206311","         65.65"
"TWL","EQ","17-Jul-2017","        115.95","        117.40","        117.80","        116.35","        116.85","        116.65","        116.89","     263869","            30843341.35","       2604","     139423","         52.84"
"TWL","EQ","18-Jul-2017","        116.65","        115.00","        116.60","        114.80","        115.35","        115.65","        115.52","     238396","            27538393.55","       2309","     133629","         56.05"
"TWL","EQ","19-Jul-2017","        115.65","        115.90","        120.35","        115.65","        117.90","        117.75","        118.15","     475818","            56218710.35","       3790","     223442","         46.96"
"TWL","EQ","20-Jul-2017","        117.75","        117.25","        122.90","        117.05","        121.75","        121.75","        121.39","    1586314","           192570092.25","      10755","     599580","         37.80"
"TWL","EQ","21-Jul-2017","        121.75","        122.25","        123.10","        118.65","        119.70","        120.00","        120.89","     413317","            49966966.60","       3241","     201271","         48.70"
"TWL","EQ","24-Jul-2017","        120.00","        120.35","        126.90","        120.35","        125.10","        124.75","        124.43","    1384828","           172310955.55","       9844","     720714","         52.04"
"TWL","EQ","25-Jul-2017","        124.75","        125.15","        126.10","        122.10","        123.00","        122.75","        123.49","     434889","            53704295.30","       2976","     263587","         60.61"
"TWL","EQ","26-Jul-2017","        122.75","        123.00","        123.95","        120.05","        121.10","        120.75","        121.87","     404513","            49297683.30","       3085","     235178","         58.14"
"TWL","EQ","27-Jul-2017","        120.75","        121.00","        123.35","        119.45","        120.00","        119.90","        121.07","     418985","            50724510.60","       6009","     205250","         48.99"
"TWL","EQ","28-Jul-2017","        119.90","        118.80","        122.00","        118.80","        120.85","        120.95","        120.87","     383333","            46333215.60","       3008","     167818","         43.78"
"TWL","EQ","31-Jul-2017","        120.95","        121.00","        123.50","        120.65","        122.10","        122.15","        122.15","     485487","            59299875.45","       3777","     179750","         37.02"
"TWL","EQ","01-Aug-2017","        122.15","        122.50","        122.70","        120.00","        120.10","        120.15","        120.90","     313405","            37890045.55","       2547","     174059","         55.54"
"TWL","EQ","02-Aug-2017","        120.15","        120.15","        120.65","        118.15","        118.15","        118.65","        119.34","     219296","            26170932.05","       2046","     125549","         57.25"
"TWL","EQ","03-Aug-2017","        118.65","        118.70","        119.85","        117.10","        118.00","        118.10","        118.55","     265363","            31458983.60","       2281","     141189","         53.21"
"TWL","EQ","04-Aug-2017","        118.10","        118.30","        118.30","        114.50","        116.60","        116.30","        116.29","     444022","            51635697.40","       3859","     210302","         47.36"
"TWL","EQ","07-Aug-2017","        116.30","        116.70","        118.70","        116.00","        117.95","        117.85","        117.70","     278974","            32834137.90","       2380","     147636","         52.92"
"TWL","EQ","08-Aug-2017","        117.85","        118.10","        118.30","        115.40","        115.80","        115.80","        116.33","     337045","            39209713.30","       2347","     195696","         58.06"
"TWL","EQ","09-Aug-2017","        115.80","        115.10","        115.80","        113.55","        114.50","        114.65","        114.65","     441163","            50581438.05","       3914","     258724","         58.65"
"TWL","EQ","10-Aug-2017","        114.65","        113.70","        115.50","        110.10","        113.40","        111.80","        113.16","     360856","            40835644.65","       3330","     212222","         58.81"
"TWL","EQ","11-Aug-2017","        111.80","        111.00","        111.00","        105.55","        107.70","        107.55","        108.18","     693954","            75075260.95","       6706","     328180","         47.29"
"TWL","EQ","14-Aug-2017","        107.55","        110.00","        110.55","        107.75","        109.00","        108.70","        109.07","     373884","            40779151.40","       3380","     186640","         49.92"
"TWL","EQ","16-Aug-2017","        108.70","        109.90","        111.80","        108.75","        109.90","        109.80","        110.06","     441267","            48564286.15","       4951","     236167","         53.52"
"TWL","EQ","17-Aug-2017","        109.80","        110.60","        112.00","        109.50","        109.65","        109.65","        110.43","     534901","            59069266.00","       4399","     281539","         52.63"
"TWL","EQ","18-Aug-2017","        109.65","        108.95","        109.70","        108.35","        109.50","        109.35","        109.02","     209598","            22850449.40","       2063","     112094","         53.48"
"TWL","EQ","21-Aug-2017","        109.35","        110.00","        110.65","        107.90","        108.15","        108.10","        108.77","     268358","            29188496.55","       2596","     146147","         54.46"
"TWL","EQ","22-Aug-2017","        108.10","        109.00","        109.40","        106.25","        107.40","        107.40","        107.67","     168484","            18140673.15","       1928","      75638","         44.89"
"TWL","EQ","23-Aug-2017","        107.40","        108.95","        108.95","        107.20","        107.95","        108.00","        108.08","     213522","            23078226.70","       2145","     112628","         52.75"
"TWL","EQ","24-Aug-2017","        108.00","        110.10","        111.90","        109.05","        109.50","        109.50","        110.32","     655850","            72356380.80","       5696","     279453","         42.61"
"TWL","EQ","28-Aug-2017","        109.50","        110.70","        112.00","        109.50","        109.80","        109.95","        110.25","     340533","            37544343.60","       2961","     187547","         55.07"
"TWL","EQ","29-Aug-2017","        109.95","        109.45","        109.50","        108.00","        108.35","        108.20","        108.53","     222297","            24126867.60","       1933","     120659","         54.28"
"TWL","EQ","30-Aug-2017","        108.20","        109.40","        111.45","        108.80","        109.80","        109.80","        109.97","     301799","            33188535.30","       2589","     132023","         43.75"
"TWL","EQ","31-Aug-2017","        109.80","        110.50","        111.20","        109.40","        110.85","        110.80","        110.40","     274183","            30270430.60","       2029","     126505","         46.14"
"TWL","EQ","01-Sep-2017","        110.80","        111.30","        115.50","        111.30","        114.50","        114.35","        113.94","     712407","            81172544.45","       5056","     329993","         46.32"
"TWL","EQ","04-Sep-2017","        114.35","        116.30","        118.00","        114.00","        115.55","        115.35","        116.01","     870540","           100989947.20","       6537","     345698","         39.71"
"TWL","EQ","05-Sep-2017","        115.35","        116.05","        120.40","        115.80","        119.60","        119.50","        118.40","    1048853","           124182960.15","       7418","     558486","         53.25"
"TWL","EQ","06-Sep-2017","        119.50","        117.30","        120.60","        117.00","        118.40","        118.15","        118.68","     545920","            64787333.05","       4612","     192757","         35.31"
"TWL","EQ","07-Sep-2017","        118.15","        118.95","        119.30","        115.25","        115.50","        115.60","        116.77","     345325","            40322581.50","       2888","     179473","         51.97"
"TWL","EQ","08-Sep-2017","        115.60","        116.50","        116.90","        114.80","        115.85","        115.85","        115.81","     239097","            27689455.80","       2411","     120355","         50.34"
"TWL","EQ","11-Sep-2017","        115.85","        116.70","        117.45","        115.15","        115.45","        115.50","        116.15","     236063","            27417748.85","       2146","     131258","         55.60"
"TWL","EQ","12-Sep-2017","        115.50","        116.30","        118.50","        116.00","        116.85","        117.00","        117.14","     355290","            41619062.10","       2531","     176049","         49.55"
"TWL","EQ","13-Sep-2017","        117.00","        117.45","        117.65","        115.30","        115.40","        115.55","        116.29","     276562","            32162287.25","       2331","     151741","         54.87"
"TWL","EQ","14-Sep-2017","        115.55","        116.30","        118.35","        115.35","        115.50","        115.65","        116.71","     475951","            55547219.25","       3392","     156770","         32.94"
"TWL","EQ","15-Sep-2017","        115.65","        115.90","        117.15","        114.50","        115.30","        115.35","        115.66","     336413","            38910910.90","       2832","     136831","         40.67"
"TWL","EQ","18-Sep-2017","        115.35","        116.25","        118.30","        115.50","        117.70","        117.05","        116.99","     728328","            85207179.65","       5770","     257958","         35.42"
"TWL","EQ","19-Sep-2017","        117.05","        117.70","        119.20","        116.00","        117.80","        117.75","        117.58","     495335","            58242275.65","       3954","     172750","         34.88"
