"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"TRIL","EQ","02-Jan-2017","        338.20","        361.00","        362.00","        345.50","        354.50","        353.75","        354.38","      68470","            24264401.30","       2007","      12313","         17.98"
"TRIL","EQ","03-Jan-2017","        353.75","        354.00","        356.40","        349.85","        350.55","        351.00","        352.68","       5160","             1819852.10","        286","       3870","         75.00"
"TRIL","EQ","04-Jan-2017","        351.00","        348.00","        355.00","        348.00","        352.25","        354.00","        352.48","       3386","             1193494.45","        165","       2707","         79.95"
"TRIL","EQ","05-Jan-2017","        354.00","        364.00","        367.00","        356.00","        362.85","        362.90","        362.98","      18873","             6850565.20","        656","      14028","         74.33"
"TRIL","EQ","06-Jan-2017","        362.90","        359.90","        362.45","        355.00","        356.50","        355.75","        358.04","       3900","             1396365.90","        206","       2481","         63.62"
"TRIL","EQ","09-Jan-2017","        355.75","        352.00","        358.70","        352.00","        354.90","        354.35","        354.87","       1699","              602922.75","         88","       1402","         82.52"
"TRIL","EQ","10-Jan-2017","        354.35","        356.00","        373.80","        354.00","        369.40","        366.85","        367.06","      37233","            13666887.75","       1240","      16494","         44.30"
"TRIL","EQ","11-Jan-2017","        366.85","        373.00","        383.80","        369.60","        377.00","        378.00","        377.44","      44889","            16942913.60","       1517","      20853","         46.45"
"TRIL","EQ","12-Jan-2017","        378.00","        375.00","        380.00","        371.15","        375.50","        376.40","        375.75","       6620","             2487458.25","        444","       4186","         63.23"
"TRIL","EQ","13-Jan-2017","        376.40","        373.00","        385.00","        371.10","        375.70","        377.30","        379.36","      14535","             5513981.55","        659","       9108","         62.66"
"TRIL","EQ","16-Jan-2017","        377.30","        371.50","        378.90","        371.15","        373.25","        374.45","        375.19","       3102","             1163846.75","        226","       2304","         74.27"
"TRIL","EQ","17-Jan-2017","        374.45","        372.30","        382.90","        370.20","        380.00","        379.40","        378.93","       7220","             2735897.50","        476","       3837","         53.14"
"TRIL","EQ","18-Jan-2017","        379.40","        380.05","        455.25","        374.65","        439.85","        437.90","        436.53","     932696","           407147264.55","      25401","     156732","         16.80"
"TRIL","EQ","19-Jan-2017","        437.90","        437.00","        448.00","        420.50","        429.00","        425.15","        433.35","     157515","            68259087.00","       5528","      34948","         22.19"
"TRIL","EQ","20-Jan-2017","        425.15","        424.95","        471.90","        424.00","        431.95","        431.10","        451.90","     473053","           213774937.85","      17678","      86020","         18.18"
"TRIL","EQ","23-Jan-2017","        431.10","        433.00","        444.00","        421.75","        426.00","        424.90","        431.17","      87233","            37612112.90","       3777","      27084","         31.05"
"TRIL","EQ","24-Jan-2017","        424.90","        429.00","        436.90","        412.95","        419.60","        419.45","        426.40","      72217","            30793687.95","       2840","      21051","         29.15"
"TRIL","EQ","25-Jan-2017","        419.45","        419.25","        427.05","        411.00","        415.95","        414.95","        418.36","      31222","            13062063.30","       1452","      15677","         50.21"
"TRIL","EQ","27-Jan-2017","        414.95","        418.25","        426.00","        409.40","        412.55","        412.45","        417.11","      44326","            18488683.65","       1616","      27148","         61.25"
"TRIL","EQ","30-Jan-2017","        412.45","        416.05","        423.00","        411.00","        415.05","        414.40","        417.05","      24302","            10135044.55","       1278","      12720","         52.34"
"TRIL","EQ","31-Jan-2017","        414.40","        412.35","        418.70","        405.00","        406.90","        407.35","        410.54","      22069","             9060168.45","        868","      13492","         61.14"
"TRIL","EQ","01-Feb-2017","        407.35","        406.05","        424.20","        399.05","        417.50","        418.95","        412.84","      46222","            19082433.05","       2069","      17726","         38.35"
"TRIL","EQ","02-Feb-2017","        418.95","        425.00","        429.80","        414.00","        424.00","        424.50","        424.22","      26468","            11228158.50","       1279","      13613","         51.43"
"TRIL","EQ","03-Feb-2017","        424.50","        424.30","        455.00","        390.50","        391.00","        393.50","        418.68","     397223","           166309522.85","      12592","      98916","         24.90"
"TRIL","EQ","06-Feb-2017","        393.50","        393.20","        398.50","        375.50","        394.40","        392.95","        390.90","      59576","            23288253.40","       2906","      29776","         49.98"
"TRIL","EQ","07-Feb-2017","        392.95","        390.00","        397.90","        379.00","        389.00","        387.20","        390.35","      25444","             9931947.55","        965","      16103","         63.29"
"TRIL","EQ","08-Feb-2017","        387.20","        386.05","        397.00","        386.05","        389.75","        389.55","        392.41","      28283","            11098586.65","       1355","       9408","         33.26"
"TRIL","EQ","09-Feb-2017","        389.55","        393.00","        393.00","        380.60","        386.00","        383.70","        384.73","      22548","             8674946.95","        950","      12902","         57.22"
"TRIL","EQ","10-Feb-2017","        383.70","        381.15","        388.40","        376.20","        378.00","        379.55","        383.03","      12769","             4890965.95","        614","       6117","         47.91"
"TRIL","EQ","13-Feb-2017","        379.55","        378.00","        382.65","        371.00","        371.00","        372.35","        376.47","      12707","             4783740.95","        743","       7072","         55.65"
"TRIL","EQ","14-Feb-2017","        372.35","        380.00","        380.00","        371.00","        371.65","        372.25","        373.41","       8354","             3119494.85","        441","       5202","         62.27"
"TRIL","EQ","15-Feb-2017","        372.25","        371.25","        373.75","        358.05","        358.05","        360.85","        365.37","      16688","             6097241.20","        661","      11836","         70.93"
"TRIL","EQ","16-Feb-2017","        360.85","        361.05","        363.75","        353.10","        358.10","        356.75","        357.99","      18882","             6759482.95","        888","       9876","         52.30"
"TRIL","EQ","17-Feb-2017","        356.75","        364.90","        404.80","        357.05","        380.50","        380.10","        391.10","     291855","           114144388.25","      11267","      46519","         15.94"
"TRIL","EQ","20-Feb-2017","        380.10","        380.10","        388.80","        375.40","        384.00","        383.85","        383.98","      27423","            10529993.05","       1217","      10173","         37.10"
"TRIL","EQ","21-Feb-2017","        383.85","        383.05","        388.00","        380.20","        382.00","        381.70","        384.08","      10024","             3849998.50","        520","       4594","         45.83"
"TRIL","EQ","22-Feb-2017","        381.70","        382.15","        387.80","        375.00","        377.50","        376.70","        380.44","      10034","             3817373.85","        595","       5285","         52.67"
"TRIL","EQ","23-Feb-2017","        376.70","        382.00","        387.85","        375.50","        378.15","        376.40","        380.35","      12524","             4763512.05","        702","       4796","         38.29"
"TRIL","EQ","27-Feb-2017","        376.40","        389.90","        395.00","        385.00","        390.80","        392.00","        389.19","      47049","            18310783.30","       1706","      21967","         46.69"
"TRIL","EQ","28-Feb-2017","        392.00","        402.40","        420.00","        395.00","        399.30","        398.95","        407.70","     244931","            99857739.85","       9336","      38811","         15.85"
"TRIL","EQ","01-Mar-2017","        398.95","        399.40","        407.50","        394.60","        394.75","        396.05","        399.41","      28256","            11285789.05","       1148","      10845","         38.38"
"TRIL","EQ","02-Mar-2017","        396.05","        396.05","        398.80","        380.65","        385.00","        383.85","        388.43","      18902","             7342098.35","        819","      10852","         57.41"
"TRIL","EQ","03-Mar-2017","        383.85","        383.85","        389.00","        381.00","        381.05","        382.60","        383.64","      12478","             4787121.50","        561","       5363","         42.98"
"TRIL","EQ","06-Mar-2017","        382.60","        382.60","        393.35","        381.00","        386.00","        385.60","        387.60","      19771","             7663320.90","       1461","       5869","         29.68"
"TRIL","EQ","07-Mar-2017","        385.60","        393.00","        393.00","        382.05","        386.00","        385.45","        385.36","       8977","             3459372.90","        836","       3923","         43.70"
"TRIL","EQ","08-Mar-2017","        385.45","        388.90","        388.90","        378.00","        381.00","        384.45","        382.64","      11173","             4275213.00","       1062","       5760","         51.55"
"TRIL","EQ","09-Mar-2017","        384.45","        379.00","        400.00","        379.00","        390.00","        390.85","        394.02","      52005","            20490949.70","       2560","      15727","         30.24"
"TRIL","EQ","10-Mar-2017","        390.85","        398.00","        405.40","        388.05","        388.50","        392.80","        400.14","      84359","            33755455.50","       3018","      19767","         23.43"
"TRIL","EQ","14-Mar-2017","        392.80","        415.00","        415.00","        401.00","        405.80","        405.85","        405.89","      61639","            25018837.60","       2043","      36606","         59.39"
"TRIL","EQ","15-Mar-2017","        405.85","        406.55","        408.80","        403.05","        403.10","        403.55","        404.46","       8691","             3515125.05","        475","       4455","         51.26"
