"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"TREEHOUSE","EQ","03-Apr-2017","         18.80","         19.05","         19.25","         18.75","         19.00","         19.10","         18.94","      79977","             1514814.50","        282","      63432","         79.31"
"TREEHOUSE","EQ","05-Apr-2017","         19.10","         19.25","         19.40","         18.95","         19.15","         19.05","         19.08","     135655","             2588301.65","        324","     117479","         86.60"
"TREEHOUSE","EQ","06-Apr-2017","         19.05","         19.40","         19.40","         19.05","         19.10","         19.15","         19.23","      39869","              766484.95","        201","      30047","         75.36"
"TREEHOUSE","EQ","07-Apr-2017","         19.15","         18.85","         19.30","         18.85","         19.30","         19.20","         19.10","      70134","             1339836.20","        229","      57529","         82.03"
"TREEHOUSE","EQ","10-Apr-2017","         19.20","         19.30","         19.65","         18.70","         18.95","         18.90","         19.14","     121494","             2325273.65","        449","      78268","         64.42"
"TREEHOUSE","EQ","11-Apr-2017","         18.90","         19.15","         19.15","         18.75","         19.10","         18.95","         18.92","      82464","             1560540.95","        334","      54182","         65.70"
"TREEHOUSE","EQ","12-Apr-2017","         18.95","         18.75","         19.20","         18.65","         18.70","         18.75","         18.87","      53300","             1005601.15","        306","      31543","         59.18"
"TREEHOUSE","EQ","13-Apr-2017","         18.75","         19.00","         19.50","         18.75","         19.45","         19.35","         19.21","     181527","             3487513.90","        493","     144746","         79.74"
"TREEHOUSE","EQ","17-Apr-2017","         19.35","         19.40","         19.85","         18.95","         19.85","         19.65","         19.47","     175298","             3412664.90","        412","     145715","         83.12"
"TREEHOUSE","EQ","18-Apr-2017","         19.65","         19.80","         20.05","         19.60","         19.85","         19.95","         19.93","     180028","             3587675.65","        473","     158584","         88.09"
"TREEHOUSE","EQ","19-Apr-2017","         19.95","         19.95","         20.10","         19.50","         20.00","         19.95","         19.90","      72655","             1446072.55","        252","      54178","         74.57"
"TREEHOUSE","EQ","20-Apr-2017","         19.95","         18.05","         19.50","         18.05","         18.95","         18.90","         18.61","     380611","             7083383.75","       1051","     222815","         58.54"
"TREEHOUSE","EQ","21-Apr-2017","         18.90","         19.40","         19.40","         18.50","         19.00","         18.80","         18.89","      87370","             1650477.55","        314","      73365","         83.97"
"TREEHOUSE","EQ","24-Apr-2017","         18.80","         19.00","         19.00","         18.80","         18.85","         18.85","         18.87","      44848","              846343.75","        166","      35652","         79.50"
"TREEHOUSE","EQ","25-Apr-2017","         18.85","         18.95","         19.20","         18.60","         18.80","         18.75","         18.82","      73357","             1380862.15","        337","      39681","         54.09"
"TREEHOUSE","EQ","26-Apr-2017","         18.75","         18.85","         19.00","         18.50","         18.70","         18.55","         18.72","      77878","             1457758.65","        301","      61364","         78.80"
"TREEHOUSE","EQ","27-Apr-2017","         18.55","         18.60","         18.90","         18.55","         18.55","         18.60","         18.75","      62668","             1174963.55","        251","      41227","         65.79"
"TREEHOUSE","EQ","28-Apr-2017","         18.60","         18.95","         18.95","         18.40","         18.45","         18.50","         18.55","      44874","              832399.55","        216","      29864","         66.55"
"TREEHOUSE","EQ","02-May-2017","         18.50","         18.85","         18.85","         18.30","         18.50","         18.45","         18.47","      64687","             1194509.05","        259","      51721","         79.96"
"TREEHOUSE","EQ","03-May-2017","         18.45","         18.45","         18.70","         17.90","         18.00","         18.00","         18.21","      94068","             1712706.40","        357","      71961","         76.50"
"TREEHOUSE","EQ","04-May-2017","         18.00","         18.05","         18.25","         17.85","         18.00","         17.95","         18.01","      63365","             1141072.85","        298","      46093","         72.74"
"TREEHOUSE","EQ","05-May-2017","         17.95","         18.00","         18.15","         17.20","         17.30","         17.30","         17.56","     121627","             2135454.75","        463","      91307","         75.07"
"TREEHOUSE","EQ","08-May-2017","         17.30","         17.50","         18.30","         17.25","         17.45","         17.35","         17.56","      91272","             1602895.55","        335","      62271","         68.23"
"TREEHOUSE","EQ","09-May-2017","         17.35","         17.80","         17.80","         17.30","         17.45","         17.35","         17.46","      51045","              891254.20","        191","      43483","         85.19"
"TREEHOUSE","EQ","10-May-2017","         17.35","         17.65","         18.20","         17.25","         17.45","         17.45","         17.68","      52250","              923722.25","        245","      31112","         59.54"
"TREEHOUSE","EQ","11-May-2017","         17.45","         17.45","         17.95","         17.45","         17.95","         17.75","         17.72","      50640","              897422.15","        226","      34217","         67.57"
"TREEHOUSE","EQ","12-May-2017","         17.75","         17.95","         18.00","         17.30","         17.75","         17.80","         17.59","      69626","             1224988.05","        260","      52028","         74.72"
