"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"GOLDSHARE","EQ","03-Apr-2017","       2584.20","       2586.00","       2598.65","       2572.60","       2576.00","       2579.75","       2585.19","       1700","             4394828.75","        271","       1187","         69.82"
"GOLDSHARE","EQ","05-Apr-2017","       2579.75","       2588.50","       2610.00","       2586.05","       2596.00","       2595.80","       2601.34","       2343","             6094930.65","        275","       1490","         63.59"
"GOLDSHARE","EQ","06-Apr-2017","       2595.80","       2586.20","       2603.40","       2582.60","       2598.40","       2593.80","       2594.37","       1279","             3318193.30","        178","        726","         56.76"
"GOLDSHARE","EQ","07-Apr-2017","       2593.80","       2610.00","       2612.00","       2595.05","       2604.50","       2600.30","       2603.67","       1593","             4147651.70","        220","        914","         57.38"
"GOLDSHARE","EQ","10-Apr-2017","       2600.30","       2597.75","       2603.90","       2582.05","       2582.50","       2586.65","       2589.48","       1871","             4844923.15","        231","       1356","         72.47"
"GOLDSHARE","EQ","11-Apr-2017","       2586.65","       2587.00","       2594.60","       2578.75","       2584.00","       2584.20","       2585.13","       2290","             5919942.00","        210","       1267","         55.33"
"GOLDSHARE","EQ","12-Apr-2017","       2584.20","       2601.30","       2638.40","       2600.05","       2620.00","       2621.55","       2621.05","       4354","            11412053.50","        329","       2737","         62.86"
"GOLDSHARE","EQ","13-Apr-2017","       2621.55","       2630.00","       2646.00","       2624.10","       2644.40","       2640.65","       2638.38","       3569","             9416366.40","        227","       2642","         74.03"
"GOLDSHARE","EQ","17-Apr-2017","       2640.65","       2640.05","       2657.90","       2612.00","       2653.90","       2653.45","       2643.30","       3020","             7982776.15","        340","       1946","         64.44"
"GOLDSHARE","EQ","18-Apr-2017","       2653.45","       2647.45","       2647.45","       2627.10","       2640.00","       2636.00","       2635.42","       1556","             4100708.15","        161","        974","         62.60"
"GOLDSHARE","EQ","19-Apr-2017","       2636.00","       2638.05","       2644.85","       2630.10","       2630.10","       2632.55","       2636.86","        389","             1025738.60","         76","        283","         72.75"
"GOLDSHARE","EQ","20-Apr-2017","       2632.55","       2625.00","       2629.50","       2616.15","       2626.00","       2627.05","       2623.26","        638","             1673638.85","        113","        456","         71.47"
"GOLDSHARE","EQ","21-Apr-2017","       2627.05","       2620.00","       2639.00","       2620.00","       2636.85","       2632.70","       2628.28","       1800","             4730911.25","        131","       1220","         67.78"
"GOLDSHARE","EQ","24-Apr-2017","       2632.70","       2638.50","       2638.50","       2606.30","       2617.70","       2613.65","       2617.97","       2516","             6586806.35","        209","       1563","         62.12"
"GOLDSHARE","EQ","25-Apr-2017","       2613.65","       2602.00","       2619.80","       2602.00","       2614.80","       2613.95","       2612.16","       2104","             5495981.70","        154","       1606","         76.33"
"GOLDSHARE","EQ","26-Apr-2017","       2613.95","       2609.95","       2609.95","       2590.10","       2604.00","       2605.60","       2600.53","       1896","             4930612.50","        259","       1215","         64.08"
"GOLDSHARE","EQ","27-Apr-2017","       2605.60","       2606.00","       2606.00","       2586.05","       2604.80","       2602.40","       2599.32","       1282","             3332329.65","        134","        991","         77.30"
"GOLDSHARE","EQ","28-Apr-2017","       2602.40","       2603.80","       2624.90","       2601.00","       2616.00","       2615.25","       2616.60","       5039","            13185032.95","        987","       3216","         63.82"
"GOLDSHARE","EQ","02-May-2017","       2615.25","       2613.50","       2613.50","       2587.10","       2600.00","       2593.95","       2595.24","       1551","             4025214.90","        305","       1129","         72.79"
"GOLDSHARE","EQ","03-May-2017","       2593.95","       2593.95","       2595.00","       2584.95","       2585.00","       2587.45","       2590.96","        618","             1601214.90","        118","        516","         83.50"
"GOLDSHARE","EQ","04-May-2017","       2587.45","       2587.70","       2587.70","       2555.00","       2569.00","       2561.50","       2565.81","       1036","             2658177.40","        219","        752","         72.59"
"GOLDSHARE","EQ","05-May-2017","       2561.50","       2560.00","       2573.45","       2555.00","       2565.00","       2563.75","       2561.44","        761","             1949252.30","        164","        561","         73.72"
"GOLDSHARE","EQ","08-May-2017","       2563.75","       2564.50","       2564.50","       2545.00","       2546.05","       2545.90","       2551.98","        789","             2013513.10","        214","        571","         72.37"
