"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"UCALFUEL","EQ","03-Apr-2017","        217.15","        216.15","        222.90","        210.35","        212.00","        212.15","        215.69","     215819","            46549021.70","       4432","      79964","         37.05"
"UCALFUEL","EQ","05-Apr-2017","        212.15","        212.80","        222.00","        212.80","        214.40","        214.25","        217.08","     177632","            38559705.15","       3221","      57892","         32.59"
"UCALFUEL","EQ","06-Apr-2017","        214.25","        214.00","        219.90","        213.00","        213.95","        213.95","        215.98","     107528","            23224015.65","       2681","      28582","         26.58"
"UCALFUEL","EQ","07-Apr-2017","        213.95","        220.30","        231.70","        218.75","        221.05","        221.30","        226.27","     709752","           160599053.85","      11872","     171141","         24.11"
"UCALFUEL","EQ","10-Apr-2017","        221.30","        222.00","        223.20","        217.10","        219.50","        218.70","        219.49","      92888","            20387934.80","       3029","      52998","         57.06"
"UCALFUEL","EQ","11-Apr-2017","        218.70","        220.00","        222.40","        216.00","        217.00","        216.85","        218.95","      93717","            20519074.05","       1964","      57856","         61.73"
"UCALFUEL","EQ","12-Apr-2017","        216.85","        217.00","        219.60","        213.90","        215.20","        215.50","        216.54","      74897","            16218245.20","       1700","      29835","         39.83"
"UCALFUEL","EQ","13-Apr-2017","        215.50","        215.80","        222.00","        213.00","        214.70","        214.05","        216.87","     116887","            25348766.65","       2098","      45030","         38.52"
"UCALFUEL","EQ","17-Apr-2017","        214.05","        213.00","        218.90","        212.25","        212.80","        213.60","        214.89","      70768","            15207161.05","       1454","      34437","         48.66"
"UCALFUEL","EQ","18-Apr-2017","        213.60","        212.85","        218.00","        207.50","        208.00","        208.75","        212.93","      63557","            13533107.70","       1858","      27704","         43.59"
"UCALFUEL","EQ","19-Apr-2017","        208.75","        209.80","        210.50","        204.10","        207.50","        206.50","        206.12","      55884","            11519029.55","       1263","      26342","         47.14"
"UCALFUEL","EQ","20-Apr-2017","        206.50","        206.80","        220.90","        206.80","        215.70","        215.40","        216.16","     214162","            46294213.05","       3640","      58023","         27.09"
"UCALFUEL","EQ","21-Apr-2017","        215.40","        217.45","        227.90","        215.50","        224.60","        225.40","        224.36","     451031","           101194709.05","       6410","     154547","         34.27"
