"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"UNIVCABLES","EQ","03-Apr-2017","        100.95","        102.00","        108.80","        101.95","        104.65","        104.55","        105.32","     129597","            13648968.55","       1204","      98410","         75.94"
"UNIVCABLES","EQ","05-Apr-2017","        104.55","        106.80","        107.90","        103.25","        104.05","        103.90","        105.97","      88938","             9424416.65","        897","      69675","         78.34"
"UNIVCABLES","EQ","06-Apr-2017","        103.90","        101.05","        105.40","        101.05","        103.00","        103.20","        102.59","      52432","             5379139.55","        565","      33880","         64.62"
"UNIVCABLES","EQ","07-Apr-2017","        103.20","        102.00","        106.90","        101.10","        101.75","        101.70","        103.56","      75990","             7869459.80","        708","      51408","         67.65"
"UNIVCABLES","EQ","10-Apr-2017","        101.70","        104.00","        107.85","        102.00","        104.50","        105.25","        105.54","     148318","            15652777.50","       1191","      89343","         60.24"
"UNIVCABLES","EQ","11-Apr-2017","        105.25","        105.05","        114.90","        105.00","        110.30","        109.80","        110.84","     466533","            51711604.80","       3777","     225166","         48.26"
"UNIVCABLES","EQ","12-Apr-2017","        109.80","        110.80","        111.40","        101.25","        105.05","        105.75","        105.85","     229910","            24336381.05","       2130","     136641","         59.43"
"UNIVCABLES","EQ","13-Apr-2017","        105.75","        106.40","        112.40","        106.00","        107.00","        107.35","        108.84","     188139","            20477739.15","       1782","     112035","         59.55"
"UNIVCABLES","EQ","17-Apr-2017","        107.35","        107.80","        110.60","        101.90","        107.20","        107.50","        106.96","     115309","            12333670.75","       1155","      68145","         59.10"
"UNIVCABLES","EQ","18-Apr-2017","        107.50","        107.85","        110.00","        103.15","        104.80","        103.75","        107.16","     123670","            13253022.20","        947","      92098","         74.47"
"UNIVCABLES","EQ","19-Apr-2017","        103.75","        104.05","        105.75","        102.30","        105.00","        104.60","        104.31","      46330","             4832684.55","        434","      26635","         57.49"
"UNIVCABLES","EQ","20-Apr-2017","        104.60","        106.85","        106.85","        103.50","        104.00","        104.65","        104.98","      51302","             5385888.60","        509","      31261","         60.94"
"UNIVCABLES","EQ","21-Apr-2017","        104.65","        104.15","        105.10","        102.55","        103.90","        103.55","        103.77","      65666","             6814324.80","        661","      43144","         65.70"
"UNIVCABLES","EQ","24-Apr-2017","        103.55","        105.15","        105.50","        103.50","        104.00","        103.90","        104.65","      57185","             5984221.70","        525","      42749","         74.76"
"UNIVCABLES","EQ","25-Apr-2017","        103.90","        105.25","        110.40","        104.10","        107.75","        107.60","        107.84","     142846","            15404056.10","       1538","      83302","         58.32"
"UNIVCABLES","EQ","26-Apr-2017","        107.60","        108.10","        108.45","        104.40","        105.60","        105.50","        106.13","      64000","             6792419.20","        653","      42764","         66.82"
"UNIVCABLES","EQ","27-Apr-2017","        105.50","        105.05","        106.90","        104.10","        104.20","        104.45","        105.35","      24044","             2533110.20","        381","      12417","         51.64"
"UNIVCABLES","EQ","28-Apr-2017","        104.45","        104.15","        107.20","        104.15","        105.15","        105.30","        105.98","      25556","             2708491.45","        264","      20273","         79.33"
"UNIVCABLES","EQ","02-May-2017","        105.30","        105.30","        107.85","        102.30","        103.70","        104.00","        104.17","      56389","             5874204.65","        462","      42015","         74.51"
"UNIVCABLES","EQ","03-May-2017","        104.00","        104.00","        105.75","        102.70","        103.50","        103.90","        104.52","      25970","             2714362.30","        302","      18230","         70.20"
"UNIVCABLES","EQ","04-May-2017","        103.90","        104.95","        110.00","        104.90","        109.00","        108.70","        108.49","     131109","            14223896.55","       1303","      86280","         65.81"
"UNIVCABLES","EQ","05-May-2017","        108.70","        111.00","        111.00","         88.90","         90.80","         93.00","         96.90","     844118","            81796147.10","       5681","     415453","         49.22"
"UNIVCABLES","EQ","08-May-2017","         93.00","         92.90","         95.50","         88.55","         93.35","         92.60","         91.16","     613484","            55926770.75","       4118","     245263","         39.98"
"UNIVCABLES","EQ","09-May-2017","         92.60","         94.00","         94.90","         92.60","         93.90","         93.70","         93.52","      54470","             5094153.60","        513","      27332","         50.18"
"UNIVCABLES","EQ","10-May-2017","         93.70","         94.70","         95.40","         93.05","         94.00","         94.35","         94.65","      98310","             9305302.55","        610","      59122","         60.14"
"UNIVCABLES","EQ","11-May-2017","         94.35","         95.00","         95.25","         93.00","         94.45","         93.90","         93.86","      55582","             5216978.20","        442","      33524","         60.31"
"UNIVCABLES","EQ","12-May-2017","         93.90","         95.00","         95.70","         90.90","         91.75","         91.35","         92.23","      37397","             3449035.35","        427","      25722","         68.78"
"UNIVCABLES","EQ","15-May-2017","         91.35","         91.75","         93.65","         91.75","         92.65","         92.90","         92.63","      29560","             2738171.60","        281","      22447","         75.94"
"UNIVCABLES","EQ","16-May-2017","         92.90","         95.00","        104.00","         94.95","        101.70","        102.00","        101.29","     687085","            69597517.10","       6023","     272361","         39.64"
"UNIVCABLES","EQ","17-May-2017","        102.00","        102.00","        104.15","         98.15","        100.10","        101.05","        101.53","     218728","            22206400.70","       2388","      77904","         35.62"
"UNIVCABLES","EQ","18-May-2017","        101.05","         99.35","        100.20","         95.50","         96.75","         96.55","         97.80","      81120","             7933849.65","        788","      51482","         63.46"
"UNIVCABLES","EQ","19-May-2017","         96.55","         97.70","        100.50","         95.00","         95.90","         96.35","         97.32","      75533","             7350828.80","        688","      41429","         54.85"
"UNIVCABLES","EQ","22-May-2017","         96.35","         96.80","        100.25","         93.20","         93.20","         93.65","         95.09","      43302","             4117525.65","        392","      34007","         78.53"
"UNIVCABLES","EQ","23-May-2017","         93.65","         94.50","         94.60","         90.20","         91.35","         92.60","         92.65","      63332","             5867838.60","        636","      32721","         51.67"
"UNIVCABLES","EQ","24-May-2017","         92.60","         93.60","         93.60","         88.75","         89.55","         89.05","         90.05","      65324","             5882212.70","        571","      48496","         74.24"
"UNIVCABLES","EQ","25-May-2017","         89.05","         90.00","         92.70","         89.10","         92.00","         92.00","         90.91","      52094","             4736007.80","        353","      35988","         69.08"
"UNIVCABLES","EQ","26-May-2017","         92.00","         92.90","         94.45","         90.25","         93.90","         93.35","         92.76","      61329","             5688700.20","        481","      39645","         64.64"
"UNIVCABLES","EQ","29-May-2017","         93.35","         94.90","         94.90","         91.00","         91.00","         91.45","         92.29","      14659","             1352813.30","        197","       9680","         66.03"
"UNIVCABLES","EQ","30-May-2017","         91.45","         91.25","         92.05","         90.50","         91.95","         91.70","         91.39","      14494","             1324553.70","        190","       7344","         50.67"
"UNIVCABLES","EQ","31-May-2017","         91.70","         92.25","         93.75","         90.75","         92.15","         92.50","         92.12","      21451","             1976053.80","        353","      11320","         52.77"
"UNIVCABLES","EQ","01-Jun-2017","         92.50","         93.00","         95.30","         92.15","         94.05","         94.05","         94.30","      44418","             4188446.55","        386","      34840","         78.44"
"UNIVCABLES","EQ","02-Jun-2017","         94.05","         93.30","         95.75","         91.85","         92.00","         92.05","         93.20","      67462","             6287606.45","        300","      60709","         89.99"
"UNIVCABLES","EQ","05-Jun-2017","         92.05","         93.55","         99.25","         92.45","         96.35","         95.95","         96.77","     193132","            18690135.55","       1649","      83069","         43.01"
"UNIVCABLES","EQ","06-Jun-2017","         95.95","         97.80","         97.85","         93.25","         94.50","         94.70","         94.87","      40324","             3825638.55","        483","      33573","         83.26"
"UNIVCABLES","EQ","07-Jun-2017","         94.70","         95.60","         96.55","         93.70","         94.00","         94.00","         94.88","      21864","             2074423.15","        200","      14751","         67.47"
"UNIVCABLES","EQ","08-Jun-2017","         94.00","         95.00","         95.80","         93.35","         94.70","         94.30","         94.72","      60675","             5747173.80","        360","      44622","         73.54"
