"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"VLSFINANCE","EQ","03-Apr-2017","         61.90","         62.70","         63.80","         62.30","         62.70","         62.60","         63.03","      45765","             2884600.50","        427","      27834","         60.82"
"VLSFINANCE","EQ","05-Apr-2017","         62.60","         63.40","         63.75","         61.70","         63.20","         63.00","         62.87","      87388","             5493659.75","        468","      54980","         62.91"
"VLSFINANCE","EQ","06-Apr-2017","         63.00","         63.00","         63.10","         61.85","         62.00","         62.15","         62.25","      44169","             2749334.05","        282","      28620","         64.80"
"VLSFINANCE","EQ","07-Apr-2017","         62.15","         62.00","         65.50","         61.40","         63.00","         63.20","         63.65","     183095","            11653320.20","       1183","      74346","         40.61"
"VLSFINANCE","EQ","10-Apr-2017","         63.20","         65.00","         65.00","         63.05","         63.20","         63.20","         63.70","      67929","             4326783.25","        380","      40630","         59.81"
"VLSFINANCE","EQ","11-Apr-2017","         63.20","         63.80","         64.65","         63.10","         63.30","         63.35","         63.56","      66538","             4229210.20","        474","      35977","         54.07"
"VLSFINANCE","EQ","12-Apr-2017","         63.35","         63.05","         63.65","         61.50","         62.50","         62.45","         62.45","      52331","             3267932.50","        371","      32166","         61.47"
"VLSFINANCE","EQ","13-Apr-2017","         62.45","         62.90","         64.20","         62.00","         62.50","         62.45","         62.99","      73316","             4618163.70","        513","      39021","         53.22"
"VLSFINANCE","EQ","17-Apr-2017","         62.45","         62.00","         62.45","         61.40","         61.55","         61.60","         61.90","      47903","             2965340.80","        280","      33852","         70.67"
"VLSFINANCE","EQ","18-Apr-2017","         61.60","         62.00","         66.50","         61.55","         64.00","         63.70","         64.74","     578991","            37482018.30","       3072","     191466","         33.07"
"VLSFINANCE","EQ","19-Apr-2017","         63.70","         64.50","         67.50","         64.10","         66.20","         65.70","         66.15","     359840","            23804425.15","       2574","     132390","         36.79"
"VLSFINANCE","EQ","20-Apr-2017","         65.70","         66.00","         66.60","         64.55","         65.20","         65.00","         65.70","     110625","             7267701.60","        990","      61484","         55.58"
"VLSFINANCE","EQ","21-Apr-2017","         65.00","         66.00","         69.00","         65.60","         67.00","         67.10","         67.86","     376630","            25557088.90","       2525","     168414","         44.72"
"VLSFINANCE","EQ","24-Apr-2017","         67.10","         67.75","         71.35","         67.45","         69.50","         69.75","         69.84","     895696","            62559571.20","       7163","     284257","         31.74"
"VLSFINANCE","EQ","25-Apr-2017","         69.75","         70.00","         74.00","         69.50","         72.25","         71.85","         72.46","     472519","            34240937.70","       3144","     213709","         45.23"
"VLSFINANCE","EQ","26-Apr-2017","         71.85","         72.55","         73.30","         67.40","         69.00","         69.15","         71.03","     174894","            12423063.20","       1386","     102832","         58.80"
"VLSFINANCE","EQ","27-Apr-2017","         69.15","         69.15","         69.15","         67.35","         67.70","         67.60","         67.95","      52898","             3594388.15","        476","      30518","         57.69"
"VLSFINANCE","EQ","28-Apr-2017","         67.60","         67.95","         68.55","         64.00","         65.60","         65.25","         66.35","     113520","             7532012.20","        685","      79033","         69.62"
"VLSFINANCE","EQ","02-May-2017","         65.25","         66.20","         67.85","         64.20","         64.70","         64.75","         65.45","      86599","             5667845.40","        670","      51237","         59.17"
