"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"VSCL","SM","03-Jul-2017","        104.55","        104.05","        108.80","        103.40","        103.50","        103.75","        105.18","      51000","             5364300.00","         17","      33000","         64.71"
"VSCL","SM","04-Jul-2017","        103.75","        102.15","        108.90","        100.30","        105.10","        105.40","        106.49","     156000","            16613100.00","         46","     111000","         71.15"
"VSCL","SM","05-Jul-2017","        105.40","        104.50","        109.55","        104.50","        108.00","        108.00","        107.93","      42000","             4533150.00","         14","      33000","         78.57"
"VSCL","SM","06-Jul-2017","        108.00","        105.05","        110.00","        105.00","        110.00","        110.00","        107.83","      81000","             8734200.00","         26","      66000","         81.48"
"VSCL","SM","07-Jul-2017","        110.00","        112.00","        114.00","        110.05","        110.05","        110.05","        111.62","      57000","             6362100.00","         13","      54000","         94.74"
"VSCL","SM","10-Jul-2017","        110.05","        108.55","        111.95","        108.55","        111.95","        111.95","        110.82","       9000","              997350.00","          3","       6000","         66.67"
"VSCL","SM","11-Jul-2017","        111.95","        114.50","        116.90","        112.00","        112.90","        112.90","        114.25","     132000","            15080700.00","         21","      72000","         54.55"
"VSCL","SM","12-Jul-2017","        112.90","        111.00","        114.95","        110.00","        114.95","        113.00","        113.07","      78000","             8819550.00","         17","      72000","         92.31"
"VSCL","SM","13-Jul-2017","        113.00","        115.40","        115.40","        111.85","        115.00","        113.30","        113.81","      12000","             1365750.00","          4","       9000","         75.00"
"VSCL","SM","14-Jul-2017","        113.30","        111.70","        111.70","        107.65","        107.65","        107.65","        108.51","      72000","             7812600.00","         24","      48000","         66.67"
"VSCL","SM","17-Jul-2017","        107.65","        102.35","        109.00","        102.35","        107.00","        107.00","        105.93","      21000","             2224500.00","          7","      18000","         85.71"
"VSCL","SM","18-Jul-2017","        107.00","        111.95","        111.95","        109.35","        110.00","        110.00","        110.28","      18000","             1985100.00","          6","      12000","         66.67"
"VSCL","SM","19-Jul-2017","        110.00","        110.00","        110.00","        107.00","        107.00","        107.00","        109.00","       9000","              981000.00","          3","       9000","        100.00"
"VSCL","SM","20-Jul-2017","        107.00","        109.00","        109.00","        109.00","        109.00","        109.00","        109.00","       3000","              327000.00","          1","       3000","        100.00"
"VSCL","SM","21-Jul-2017","        109.00","        106.00","        109.50","        106.00","        109.50","        109.50","        107.75","       6000","              646500.00","          2","       6000","        100.00"
"VSCL","SM","24-Jul-2017","        109.50","        110.50","        110.50","        110.00","        110.00","        110.00","        110.25","       6000","              661500.00","          2","       6000","        100.00"
"VSCL","SM","25-Jul-2017","        110.00","        106.00","        106.00","        105.40","        105.40","        105.40","        105.80","       9000","              952200.00","          3","       6000","         66.67"
"VSCL","SM","26-Jul-2017","        105.40","        107.90","        107.90","        105.00","        105.00","        105.50","        106.30","       9000","              956700.00","          3","       9000","        100.00"
"VSCL","SM","27-Jul-2017","        105.50","        105.50","        110.75","        105.50","        110.00","        109.15","        109.23","      33000","             3604500.00","         10","      24000","         72.73"
"VSCL","SM","28-Jul-2017","        109.15","        111.50","        114.60","        111.50","        114.60","        113.80","        113.17","      36000","             4074000.00","         10","      33000","         91.67"
"VSCL","SM","31-Jul-2017","        113.80","        111.30","        111.50","        110.10","        110.10","        110.85","        110.98","      12000","             1331700.00","          4","       9000","         75.00"
"VSCL","SM","01-Aug-2017","        110.85","        110.00","        110.00","        108.00","        108.00","        108.00","        109.25","      12000","             1311000.00","          4","      12000","        100.00"
"VSCL","SM","02-Aug-2017","        108.00","        113.15","        113.20","        113.15","        113.20","        113.20","        113.18","       6000","              679050.00","          2","       6000","        100.00"
"VSCL","SM","03-Aug-2017","        113.20","        113.10","        117.95","        113.00","        117.00","        114.55","        115.09","      51000","             5869500.00","         15","      30000","         58.82"
"VSCL","SM","04-Aug-2017","        114.55","        112.00","        118.50","        112.00","        118.50","        115.60","        115.60","      15000","             1734000.00","          4","      15000","        100.00"
"VSCL","SM","07-Aug-2017","        115.60","        109.00","        124.00","        109.00","        115.00","        115.00","        117.62","      81000","             9527400.00","          8","      27000","         33.33"
"VSCL","SM","08-Aug-2017","        115.00","        111.00","        116.00","        111.00","        111.00","        111.60","        113.08","      57000","             6445350.00","          9","      30000","         52.63"
"VSCL","SM","10-Aug-2017","        111.60","        106.00","        113.95","        101.10","        109.00","        109.00","        107.58","      84000","             9036300.00","         28","      60000","         71.43"
"VSCL","SM","11-Aug-2017","        109.00","        105.00","        105.00","        105.00","        105.00","        105.00","        105.00","       3000","              315000.00","          1","       3000","        100.00"
"VSCL","SM","14-Aug-2017","        105.00","        115.00","        115.50","        103.05","        115.00","        111.40","        112.33","      96000","            10783800.00","         27","      72000","         75.00"
"VSCL","SM","16-Aug-2017","        111.40","        112.00","        122.50","        109.00","        116.15","        116.15","        120.01","     123000","            14761500.00","         31","     102000","         82.93"
"VSCL","SM","17-Aug-2017","        116.15","        121.95","        126.00","        121.95","        124.75","        124.75","        124.17","      48000","             5960100.00","         13","      42000","         87.50"
"VSCL","SM","22-Aug-2017","        124.75","        122.50","        122.50","        117.00","        117.00","        117.00","        119.75","       6000","              718500.00","          2","       6000","        100.00"
"VSCL","SM","23-Aug-2017","        117.00","        119.00","        128.50","        119.00","        127.00","        127.40","        126.47","      39000","             4932150.00","         12","      39000","        100.00"
"VSCL","SM","24-Aug-2017","        127.40","        119.00","        138.00","        119.00","        137.00","        137.00","        129.66","      27000","             3500700.00","          8","      21000","         77.78"
"VSCL","SM","28-Aug-2017","        137.00","        137.00","        137.00","        137.00","        137.00","        137.00","        137.00","       3000","              411000.00","          1","       3000","        100.00"
"VSCL","SM","29-Aug-2017","        137.00","        130.00","        130.00","        130.00","        130.00","        130.00","        130.00","      36000","             4680000.00","          6","      36000","        100.00"
"VSCL","SM","30-Aug-2017","        130.00","        138.00","        138.00","        138.00","        138.00","        138.00","        138.00","       3000","              414000.00","          1","       3000","        100.00"
"VSCL","SM","01-Sep-2017","        138.00","        137.00","        137.00","        134.00","        134.00","        134.00","        135.50","       6000","              813000.00","          2","       6000","        100.00"
"VSCL","SM","04-Sep-2017","        134.00","        139.95","        139.95","        134.00","        138.70","        138.55","        136.34","      57000","             7771650.00","         13","      36000","         63.16"
"VSCL","SM","05-Sep-2017","        138.55","        135.10","        141.00","        135.10","        141.00","        138.90","        138.27","      18000","             2488800.00","          6","      18000","        100.00"
"VSCL","SM","06-Sep-2017","        138.90","        142.00","        142.00","        142.00","        142.00","        142.00","        142.00","       3000","              426000.00","          1","       3000","        100.00"
"VSCL","SM","07-Sep-2017","        142.00","        144.00","        144.00","        144.00","        144.00","        144.00","        144.00","       3000","              432000.00","          1","       3000","        100.00"
"VSCL","SM","12-Sep-2017","        144.00","        136.00","        142.00","        136.00","        142.00","        142.00","        139.13","      12000","             1669500.00","          4","       6000","         50.00"
"VSCL","SM","14-Sep-2017","        142.00","        136.00","        136.00","        136.00","        136.00","        136.00","        136.00","       3000","              408000.00","          1","       3000","        100.00"
