"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"VALUEIND","EQ","03-Jul-2017","          8.20","          7.85","          8.40","          7.85","          8.20","          8.10","          8.04","      30480","              245169.90","         80","      22829","         74.90"
"VALUEIND","EQ","04-Jul-2017","          8.10","          8.20","          8.30","          8.00","          8.25","          8.25","          8.11","      24424","              198139.85","         64","      20550","         84.14"
"VALUEIND","EQ","05-Jul-2017","          8.25","          8.05","          8.95","          8.05","          8.95","          8.80","          8.64","      20039","              173057.45","        116","      19039","         95.01"
"VALUEIND","EQ","06-Jul-2017","          8.80","          8.80","          8.85","          8.45","          8.55","          8.55","          8.64","       8598","               74288.65","         46","       6111","         71.07"
"VALUEIND","EQ","07-Jul-2017","          8.55","          8.55","          8.95","          8.35","          8.55","          8.55","          8.58","      24049","              206344.00","         60","      15371","         63.92"
"VALUEIND","EQ","10-Jul-2017","          8.55","          9.30","          9.30","          7.75","          8.35","          8.55","          8.46","      11708","               99103.50","         36","       7008","         59.86"
"VALUEIND","EQ","11-Jul-2017","          8.55","          8.35","          8.85","          8.20","          8.80","          8.60","          8.66","      29246","              253247.85","         62","      20876","         71.38"
"VALUEIND","EQ","12-Jul-2017","          8.60","          8.40","          8.75","          7.80","          8.55","          8.55","          8.32","      17285","              143839.25","         67","      12015","         69.51"
"VALUEIND","EQ","13-Jul-2017","          8.55","          8.55","          8.80","          8.35","          8.35","          8.45","          8.55","      12226","              104508.00","         55","      11391","         93.17"
"VALUEIND","EQ","14-Jul-2017","          8.45","          8.35","          8.35","          7.80","          7.90","          7.90","          8.04","      13770","              110649.75","         90","       9387","         68.17"
"VALUEIND","EQ","17-Jul-2017","          7.90","          8.20","          8.65","          7.85","          8.15","          8.20","          8.33","      22585","              188024.75","         88","      14505","         64.22"
"VALUEIND","EQ","18-Jul-2017","          8.20","          8.05","          8.35","          7.45","          8.05","          8.05","          8.06","      28600","              230502.75","         92","      13167","         46.04"
"VALUEIND","EQ","19-Jul-2017","          8.05","          8.05","          8.30","          7.65","          8.30","          8.25","          8.02","      11777","               94506.15","         37","       4927","         41.84"
"VALUEIND","EQ","20-Jul-2017","          8.25","          8.00","          8.50","          8.00","          8.00","          8.00","          8.06","      11222","               90485.70","         31","      10816","         96.38"
"VALUEIND","EQ","21-Jul-2017","          8.00","          8.20","          8.25","          8.05","          8.25","          8.20","          8.19","       6357","               52056.80","         37","       5246","         82.52"
"VALUEIND","EQ","24-Jul-2017","          8.20","          8.00","          8.40","          7.90","          7.90","          8.00","          8.09","      15925","              128831.05","         52","      14961","         93.95"
"VALUEIND","EQ","25-Jul-2017","          8.00","          7.80","          8.35","          7.75","          7.90","          7.90","          7.99","       5109","               40845.90","         43","       3962","         77.55"
"VALUEIND","EQ","26-Jul-2017","          7.90","          7.90","          8.20","          7.90","          8.00","          8.05","          8.06","       9468","               76333.35","         31","       7368","         77.82"
"VALUEIND","EQ","27-Jul-2017","          8.05","          8.25","          8.25","          7.90","          8.10","          7.95","          8.08","      10451","               84400.95","         32","      10201","         97.61"
"VALUEIND","EQ","28-Jul-2017","          7.95","          8.00","          8.05","          7.80","          8.05","          8.00","          7.85","       6603","               51865.35","         24","       6000","         90.87"
"VALUEIND","EQ","31-Jul-2017","          8.00","          7.70","          8.00","          7.65","          8.00","          7.70","          7.76","      10399","               80689.55","         53","       7958","         76.53"
"VALUEIND","EQ","01-Aug-2017","          7.70","          8.00","          8.00","          7.05","          7.75","          7.70","          7.67","       7435","               57027.35","         47","       5758","         77.44"
"VALUEIND","EQ","02-Aug-2017","          7.70","          7.90","          7.90","          7.50","          7.50","          7.50","          7.64","       4248","               32464.55","         37","       3884","         91.43"
"VALUEIND","EQ","03-Aug-2017","          7.50","          7.75","          7.75","          7.50","          7.55","          7.50","          7.53","       7886","               59353.90","         29","       6183","         78.40"
"VALUEIND","EQ","04-Aug-2017","          7.50","          7.65","          7.65","          7.10","          7.30","          7.40","          7.31","       7350","               53707.55","         33","       6484","         88.22"
"VALUEIND","EQ","07-Aug-2017","          7.40","          7.75","          7.75","          7.30","          7.40","          7.45","          7.48","       4120","               30836.10","         33","       3734","         90.63"
"VALUEIND","EQ","08-Aug-2017","          7.45","          7.40","          7.60","          7.00","          7.00","          7.15","          7.18","      18959","              136192.35","         64","      18192","         95.95"
"VALUEIND","EQ","09-Aug-2017","          7.15","          7.40","          7.40","          6.25","          7.20","          7.00","          6.95","      10898","               75714.10","         64","       8979","         82.39"
"VALUEIND","EQ","10-Aug-2017","          7.00","          6.95","          6.95","          6.35","          6.50","          6.50","          6.68","      28909","              193083.05","        114","      19723","         68.22"
"VALUEIND","EQ","11-Aug-2017","          6.50","          6.25","          6.65","          6.15","          6.50","          6.45","          6.29","      19032","              119768.10","         70","      15199","         79.86"
"VALUEIND","EQ","14-Aug-2017","          6.45","          6.75","          6.80","          6.40","          6.80","          6.80","          6.69","       8611","               57598.25","         32","       7368","         85.56"
"VALUEIND","EQ","16-Aug-2017","          6.80","          7.00","          7.00","          6.75","          6.85","          6.90","          6.93","       8979","               62265.80","         28","       6954","         77.45"
"VALUEIND","EQ","17-Aug-2017","          6.90","          6.70","          7.10","          6.50","          7.00","          7.00","          6.83","      18461","              126173.40","         76","       7406","         40.12"
"VALUEIND","EQ","18-Aug-2017","          7.00","          6.80","          7.00","          6.50","          6.75","          6.80","          6.68","       2979","               19898.05","         29","       2236","         75.06"
"VALUEIND","EQ","21-Aug-2017","          6.80","          6.60","          6.80","          6.60","          6.65","          6.65","          6.64","       2628","               17453.90","         14","       2344","         89.19"
"VALUEIND","EQ","22-Aug-2017","          6.65","          6.65","          6.80","          6.60","          6.75","          6.75","          6.61","       2012","               13302.70","         15","       1912","         95.03"
"VALUEIND","EQ","23-Aug-2017","          6.75","          6.60","          6.90","          6.50","          6.50","          6.75","          6.74","       5881","               39662.35","         22","       5779","         98.27"
"VALUEIND","EQ","24-Aug-2017","          6.75","          6.55","          6.95","          6.50","          6.95","          6.95","          6.70","       9600","               64360.45","         43","       5792","         60.33"
"VALUEIND","EQ","28-Aug-2017","          6.95","          6.80","          7.00","          6.55","          7.00","          7.00","          6.96","       3142","               21872.80","         26","       2965","         94.37"
"VALUEIND","EQ","29-Aug-2017","          7.00","          6.95","          6.95","          6.50","          6.60","          6.55","          6.60","      17537","              115829.95","         64","      14335","         81.74"
