"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"VARDMNPOLY","EQ","03-Jul-2017","         53.50","         53.40","         55.00","         53.40","         53.60","         54.15","         54.18","      36320","             1967689.35","        509","      21400","         58.92"
"VARDMNPOLY","EQ","04-Jul-2017","         54.15","         53.65","         55.00","         53.50","         54.05","         54.20","         54.17","      50282","             2723566.95","        650","      22772","         45.29"
"VARDMNPOLY","EQ","05-Jul-2017","         54.20","         54.15","         54.50","         53.60","         54.15","         54.20","         54.12","      36756","             1989240.10","        419","      21766","         59.22"
"VARDMNPOLY","EQ","06-Jul-2017","         54.20","         54.15","         56.70","         54.15","         55.75","         55.35","         55.66","      95305","             5304922.85","       1207","      39761","         41.72"
"VARDMNPOLY","EQ","07-Jul-2017","         55.35","         55.40","         56.40","         54.25","         54.50","         54.65","         55.14","      59384","             3274231.80","        655","      34477","         58.06"
"VARDMNPOLY","EQ","10-Jul-2017","         54.65","         54.10","         54.90","         53.50","         54.90","         54.55","         54.32","      11994","              651573.55","        151","       8308","         69.27"
"VARDMNPOLY","EQ","11-Jul-2017","         54.55","         54.95","         56.20","         54.50","         54.70","         54.90","         55.22","      49228","             2718198.25","        651","      22704","         46.12"
"VARDMNPOLY","EQ","12-Jul-2017","         54.90","         54.65","         55.35","         54.10","         54.40","         54.35","         54.57","      47486","             2591112.15","        583","      32684","         68.83"
"VARDMNPOLY","EQ","13-Jul-2017","         54.35","         54.50","         56.00","         54.35","         54.70","         54.60","         54.89","      51809","             2843927.60","        446","      32911","         63.52"
"VARDMNPOLY","EQ","14-Jul-2017","         54.60","         55.95","         55.95","         54.05","         54.35","         54.30","         54.47","      43501","             2369430.40","        401","      31049","         71.38"
"VARDMNPOLY","EQ","17-Jul-2017","         54.30","         54.30","         55.00","         54.10","         54.10","         54.10","         54.22","      20762","             1125714.70","        268","      14078","         67.81"
"VARDMNPOLY","EQ","18-Jul-2017","         54.10","         54.75","         54.90","         54.00","         54.00","         54.00","         54.12","      25446","             1377123.05","        252","      18250","         71.72"
"VARDMNPOLY","EQ","19-Jul-2017","         54.00","         54.50","         55.00","         54.05","         54.35","         54.20","         54.33","      27684","             1504161.65","        228","      20070","         72.50"
"VARDMNPOLY","EQ","20-Jul-2017","         54.20","         54.40","         54.90","         54.00","         54.10","         54.25","         54.30","      35865","             1947403.95","        304","      16627","         46.36"
"VARDMNPOLY","EQ","21-Jul-2017","         54.25","         54.40","         54.75","         53.70","         53.85","         53.85","         54.05","      31743","             1715574.70","        355","      20275","         63.87"
"VARDMNPOLY","EQ","24-Jul-2017","         53.85","         53.85","         54.95","         52.70","         53.10","         53.15","         53.82","      61204","             3293733.20","        600","      35326","         57.72"
"VARDMNPOLY","EQ","25-Jul-2017","         53.15","         53.10","         53.95","         52.60","         52.70","         52.80","         52.94","      52123","             2759211.70","        431","      35134","         67.41"
"VARDMNPOLY","EQ","26-Jul-2017","         52.80","         54.00","         54.00","         52.05","         52.35","         52.20","         52.66","      53113","             2796766.05","        469","      35876","         67.55"
"VARDMNPOLY","EQ","27-Jul-2017","         52.20","         52.95","         53.00","         52.00","         52.20","         52.20","         52.43","      46863","             2457125.95","        435","      25870","         55.20"
"VARDMNPOLY","EQ","28-Jul-2017","         52.20","         52.00","         52.30","         50.65","         50.90","         50.90","         51.10","      54627","             2791527.55","        652","      34328","         62.84"
"VARDMNPOLY","EQ","31-Jul-2017","         50.90","         50.90","         51.00","         49.75","         50.05","         49.95","         50.20","      63995","             3212780.15","        601","      42926","         67.08"
"VARDMNPOLY","EQ","01-Aug-2017","         49.95","         50.00","         50.25","         48.05","         48.40","         48.40","         48.61","      64613","             3141031.20","        642","      40789","         63.13"
"VARDMNPOLY","EQ","02-Aug-2017","         48.40","         49.00","         49.50","         47.50","         48.00","         47.85","         48.26","      43806","             2113926.50","        457","      28602","         65.29"
"VARDMNPOLY","EQ","03-Aug-2017","         47.85","         48.00","         48.35","         44.00","         45.65","         45.80","         45.68","      83620","             3819843.60","        692","      47865","         57.24"
"VARDMNPOLY","EQ","04-Aug-2017","         45.80","         46.00","         46.00","         45.10","         45.40","         45.25","         45.36","      37993","             1723511.70","        351","      25035","         65.89"
"VARDMNPOLY","EQ","07-Aug-2017","         45.25","         45.75","         46.00","         45.15","         46.00","         45.85","         45.67","      27433","             1252819.15","        285","      18550","         67.62"
"VARDMNPOLY","EQ","08-Aug-2017","         45.85","         45.85","         47.25","         44.70","         44.80","         45.05","         45.63","      43720","             1994904.70","        392","      24756","         56.62"
"VARDMNPOLY","EQ","09-Aug-2017","         45.05","         44.50","         44.60","         42.10","         42.50","         42.55","         42.79","      45916","             1964782.90","        595","      26908","         58.60"
"VARDMNPOLY","EQ","10-Aug-2017","         42.55","         42.20","         42.20","         38.70","         39.50","         39.30","         40.02","      97265","             3892188.40","        738","      61789","         63.53"
"VARDMNPOLY","EQ","11-Aug-2017","         39.30","         39.90","         40.25","         37.00","         40.05","         39.55","         38.55","      63031","             2430110.60","        537","      40231","         63.83"
"VARDMNPOLY","EQ","14-Aug-2017","         39.55","         43.80","         47.45","         40.60","         46.60","         46.45","         46.09","     213542","             9841485.50","       1736","      75892","         35.54"
"VARDMNPOLY","EQ","16-Aug-2017","         46.45","         47.00","         49.80","         45.10","         46.00","         46.35","         47.66","     171911","             8192811.45","       1409","      65507","         38.11"
"VARDMNPOLY","EQ","17-Aug-2017","         46.35","         47.00","         47.35","         45.15","         46.50","         45.90","         46.29","      48271","             2234371.85","        367","      22783","         47.20"
"VARDMNPOLY","EQ","18-Aug-2017","         45.90","         45.50","         45.50","         43.60","         43.85","         44.35","         44.29","      51334","             2273517.85","        469","      23977","         46.71"
"VARDMNPOLY","EQ","21-Aug-2017","         44.35","         43.65","         44.80","         42.15","         42.70","         42.40","         43.17","      27213","             1174667.95","        359","      18296","         67.23"
"VARDMNPOLY","EQ","22-Aug-2017","         42.40","         42.30","         43.45","         41.15","         42.15","         41.50","         41.86","      44231","             1851349.25","        359","      30719","         69.45"
"VARDMNPOLY","EQ","23-Aug-2017","         41.50","         41.85","         42.25","         41.15","         41.60","         41.75","         41.71","      32451","             1353654.70","        297","      14521","         44.75"
"VARDMNPOLY","EQ","24-Aug-2017","         41.75","         41.60","         42.40","         41.20","         41.50","         41.85","         41.98","      22818","              957986.90","        302","      12217","         53.54"
"VARDMNPOLY","EQ","28-Aug-2017","         41.85","         42.25","         44.75","         42.25","         44.00","         43.65","         44.08","      77684","             3423931.40","        769","      27833","         35.83"
"VARDMNPOLY","EQ","29-Aug-2017","         43.65","         43.50","         44.40","         42.30","         43.20","         43.65","         43.74","      36832","             1610923.30","        382","      20413","         55.42"
"VARDMNPOLY","EQ","30-Aug-2017","         43.65","         43.30","         44.90","         43.30","         43.80","         43.75","         43.90","      27597","             1211415.15","        216","      15792","         57.22"
"VARDMNPOLY","EQ","31-Aug-2017","         43.75","         43.50","         45.00","         43.00","         43.80","         43.95","         44.36","      51770","             2296467.65","        478","      32467","         62.71"
"VARDMNPOLY","EQ","01-Sep-2017","         43.95","         43.60","         44.75","         43.60","         44.35","         44.40","         44.36","      26959","             1196018.05","        212","      16461","         61.06"
"VARDMNPOLY","EQ","04-Sep-2017","         44.40","         44.50","         44.75","         43.25","         43.45","         43.70","         43.89","      20819","              913839.65","        226","      11058","         53.11"
"VARDMNPOLY","EQ","05-Sep-2017","         43.70","         44.00","         44.40","         43.40","         44.40","         44.10","         44.10","      30776","             1357263.30","        315","      17582","         57.13"
"VARDMNPOLY","EQ","06-Sep-2017","         44.10","         43.90","         44.00","         43.20","         43.95","         43.70","         43.63","      17253","              752826.95","        192","      10460","         60.63"
"VARDMNPOLY","EQ","07-Sep-2017","         43.70","         43.45","         44.60","         43.40","         44.20","         44.00","         43.90","      27423","             1203825.90","        199","      18788","         68.51"
"VARDMNPOLY","EQ","08-Sep-2017","         44.00","         43.60","         45.00","         42.40","         42.40","         43.30","         43.76","      45050","             1971300.55","        322","      30211","         67.06"
"VARDMNPOLY","EQ","11-Sep-2017","         43.30","         43.80","         44.50","         42.80","         43.00","         43.25","         43.69","      32066","             1401101.45","        286","      19198","         59.87"
"VARDMNPOLY","EQ","12-Sep-2017","         43.25","         43.45","         44.00","         43.10","         43.40","         43.45","         43.54","      22069","              960900.55","        242","      12785","         57.93"
"VARDMNPOLY","EQ","13-Sep-2017","         43.45","         43.50","         43.70","         42.50","         42.85","         42.90","         43.10","      25874","             1115102.60","        211","      19191","         74.17"
"VARDMNPOLY","EQ","14-Sep-2017","         42.90","         42.60","         42.90","         41.40","         41.50","         41.55","         41.90","      82293","             3448069.85","        492","      61187","         74.35"
"VARDMNPOLY","EQ","15-Sep-2017","         41.55","         42.10","         42.25","         41.00","         41.50","         41.55","         41.63","      35567","             1480545.00","        210","      25476","         71.63"
"VARDMNPOLY","EQ","18-Sep-2017","         41.55","         41.20","         42.45","         40.70","         41.00","         40.90","         41.22","      47480","             1957242.40","        396","      32424","         68.29"
"VARDMNPOLY","EQ","19-Sep-2017","         40.90","         41.00","         41.00","         39.50","         39.80","         40.00","         40.15","      62303","             2501282.15","        489","      48569","         77.96"
