"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"VASCONEQ","EQ","03-Apr-2017","         37.80","         37.95","         39.25","         37.45","         38.95","         38.90","         38.45","     839351","            32272915.30","       1954","     438263","         52.21"
"VASCONEQ","EQ","05-Apr-2017","         38.90","         39.15","         39.30","         37.80","         38.10","         38.10","         38.59","     697928","            26936135.80","       2125","     450000","         64.48"
"VASCONEQ","EQ","06-Apr-2017","         38.10","         39.65","         40.50","         39.05","         39.15","         39.20","         39.78","    5291066","           210501482.65","      13265","    3003119","         56.76"
"VASCONEQ","EQ","07-Apr-2017","         39.20","         39.00","         39.55","         37.90","         38.25","         38.15","         38.97","    1227379","            47836888.85","       2939","     726856","         59.22"
"VASCONEQ","EQ","10-Apr-2017","         38.15","         38.40","         44.70","         38.40","         43.30","         43.35","         42.39","    7564436","           320668338.60","      22207","    2931958","         38.76"
"VASCONEQ","EQ","11-Apr-2017","         43.35","         43.50","         45.25","         42.70","         43.65","         43.65","         43.96","    2651908","           116567678.80","       9366","    1048447","         39.54"
"VASCONEQ","EQ","12-Apr-2017","         43.65","         43.95","         44.05","         40.60","         42.55","         42.30","         42.16","    1790746","            75493921.20","       5920","     736407","         41.12"
"VASCONEQ","EQ","13-Apr-2017","         42.30","         42.15","         43.35","         41.90","         42.05","         42.15","         42.52","    1073475","            45642422.15","       3177","     501226","         46.69"
"VASCONEQ","EQ","17-Apr-2017","         42.15","         42.15","         48.40","         42.15","         47.05","         47.15","         45.99","    5884335","           270632824.60","      17813","    2449388","         41.63"
"VASCONEQ","EQ","18-Apr-2017","         47.15","         47.75","         50.00","         46.00","         46.45","         46.35","         48.22","    4249909","           204930635.05","      12493","    2038500","         47.97"
"VASCONEQ","EQ","19-Apr-2017","         46.35","         46.70","         48.45","         45.80","         48.10","         47.95","         47.23","    1454029","            68674743.20","       4796","     564136","         38.80"
"VASCONEQ","EQ","20-Apr-2017","         47.95","         48.35","         51.35","         48.25","         50.75","         50.35","         50.26","    4254657","           213829700.65","      12700","    1716360","         40.34"
"VASCONEQ","EQ","21-Apr-2017","         50.35","         51.00","         51.20","         49.15","         50.10","         49.90","         50.12","    1780162","            89228835.05","       5787","     832819","         46.78"
"VASCONEQ","EQ","24-Apr-2017","         49.90","         50.20","         53.65","         50.20","         50.65","         50.75","         51.97","    3192706","           165935599.95","      10137","    1685644","         52.80"
"VASCONEQ","EQ","25-Apr-2017","         50.75","         51.40","         53.40","         51.20","         51.90","         51.95","         52.20","    2901206","           151441159.50","       8865","    1399400","         48.24"
"VASCONEQ","EQ","26-Apr-2017","         51.95","         54.20","         54.90","         51.95","         54.45","         54.15","         53.55","    6530395","           349687202.25","      20173","    2608447","         39.94"
"VASCONEQ","EQ","27-Apr-2017","         54.15","         55.00","         55.45","         50.70","         51.15","         51.00","         52.19","    3104124","           162019198.50","      10277","    1350154","         43.50"
"VASCONEQ","EQ","28-Apr-2017","         51.00","         51.55","         52.00","         48.10","         48.75","         48.55","         49.64","    4060135","           201564718.40","      12478","    1773769","         43.69"
"VASCONEQ","EQ","02-May-2017","         48.55","         49.10","         49.50","         46.50","         46.80","         46.95","         47.56","    1285069","            61118081.70","       4254","     504587","         39.27"
"VASCONEQ","EQ","03-May-2017","         46.95","         47.25","         48.60","         44.80","         45.30","         45.10","         46.35","    2466611","           114330921.85","       7165","    1285311","         52.11"
"VASCONEQ","EQ","04-May-2017","         45.10","         45.40","         47.65","         45.10","         47.50","         47.20","         46.72","    1874879","            87595981.35","       5865","     774980","         41.33"
"VASCONEQ","EQ","05-May-2017","         47.20","         47.10","         47.30","         44.40","         45.15","         45.00","         45.36","    1569526","            71196607.15","       4763","     835165","         53.21"
