"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"VICEROY","EQ","03-Jul-2017","         19.00","         18.95","         19.20","         18.90","         19.05","         19.00","         19.07","      30869","              588708.10","        125","      19429","         62.94"
"VICEROY","EQ","04-Jul-2017","         19.00","         19.00","         19.25","         18.95","         19.05","         19.00","         19.11","      18608","              355531.20","         77","      14670","         78.84"
"VICEROY","EQ","05-Jul-2017","         19.00","         18.90","         19.40","         18.90","         19.15","         19.10","         19.13","      65254","             1248340.65","        180","      24879","         38.13"
"VICEROY","EQ","06-Jul-2017","         19.10","         19.05","         19.30","         19.00","         19.00","         19.05","         19.14","      54885","             1050265.25","        171","      43983","         80.14"
"VICEROY","EQ","07-Jul-2017","         19.05","         19.15","         19.50","         18.95","         19.30","         19.30","         19.28","      92049","             1775075.85","        293","      49989","         54.31"
"VICEROY","EQ","10-Jul-2017","         19.30","         19.50","         20.10","         19.10","         19.30","         19.35","         19.47","     132599","             2581746.95","        274","      85820","         64.72"
"VICEROY","EQ","11-Jul-2017","         19.35","         19.35","         19.60","         19.10","         19.20","         19.15","         19.28","      89671","             1728797.35","        268","      76036","         84.79"
"VICEROY","EQ","12-Jul-2017","         19.15","         19.20","         19.30","         19.00","         19.10","         19.10","         19.13","      46955","              898140.40","        204","      25804","         54.95"
"VICEROY","EQ","13-Jul-2017","         19.10","         19.30","         19.30","         19.05","         19.10","         19.10","         19.15","      40348","              772603.50","        170","      26371","         65.36"
"VICEROY","EQ","14-Jul-2017","         19.10","         19.10","         19.10","         18.70","         18.90","         18.95","         18.92","      81609","             1543908.50","        260","      56391","         69.10"
"VICEROY","EQ","17-Jul-2017","         18.95","         19.05","         19.50","         19.00","         19.30","         19.30","         19.23","     143949","             2768153.65","        355","     119393","         82.94"
"VICEROY","EQ","18-Jul-2017","         19.30","         19.05","         20.40","         19.00","         20.10","         20.00","         19.88","     415978","             8271482.60","       1145","     251062","         60.35"
"VICEROY","EQ","19-Jul-2017","         20.00","         20.20","         20.45","         19.60","         19.95","         19.90","         19.86","     222611","             4420954.50","        683","     108794","         48.87"
"VICEROY","EQ","20-Jul-2017","         19.90","         19.95","         20.20","         19.55","         19.75","         19.70","         19.80","      42710","              845512.60","        189","      24612","         57.63"
"VICEROY","EQ","21-Jul-2017","         19.70","         19.65","         20.05","         19.65","         19.85","         19.85","         19.81","      50064","              991697.15","        178","      32654","         65.22"
"VICEROY","EQ","24-Jul-2017","         19.85","         19.90","         20.70","         19.60","         20.45","         20.40","         20.33","     323527","             6577370.10","        722","     200055","         61.84"
"VICEROY","EQ","25-Jul-2017","         20.40","         20.55","         20.80","         19.95","         20.10","         20.05","         20.16","      60420","             1217958.60","        253","      45370","         75.09"
"VICEROY","EQ","26-Jul-2017","         20.05","         20.20","         21.25","         20.05","         20.55","         20.55","         20.74","     563553","            11689556.95","       1501","     323100","         57.33"
"VICEROY","EQ","27-Jul-2017","         20.55","         20.65","         20.85","         19.80","         19.95","         19.95","         20.35","     189271","             3851370.55","        406","     140805","         74.39"
"VICEROY","EQ","28-Jul-2017","         19.95","         19.90","         20.10","         19.15","         19.35","         19.35","         19.62","     153830","             3018297.60","        520","     121819","         79.19"
