"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"VIJAYABANK","EQ","03-Jul-2017","         72.35","         72.45","         72.90","         71.65","         72.25","         72.30","         72.33","     787374","            56948020.50","       4944","     162434","         20.63"
"VIJAYABANK","EQ","04-Jul-2017","         72.30","         72.70","         75.55","         72.10","         74.20","         74.10","         73.80","    1695521","           125124076.65","       8607","     401246","         23.67"
"VIJAYABANK","EQ","05-Jul-2017","         74.10","         74.20","         75.35","         73.05","         74.50","         74.65","         74.41","    1046748","            77888261.35","       7193","     363984","         34.77"
"VIJAYABANK","EQ","06-Jul-2017","         74.65","         75.15","         78.25","         74.70","         76.00","         76.35","         76.82","    2612946","           200720358.95","      12458","    1130571","         43.27"
"VIJAYABANK","EQ","07-Jul-2017","         76.35","         76.50","         77.50","         74.60","         75.00","         74.85","         76.32","    1134847","            86616967.90","       6394","     503259","         44.35"
"VIJAYABANK","EQ","10-Jul-2017","         74.85","         75.20","         77.50","         74.90","         74.90","         75.35","         75.66","     316805","            23969032.20","       1222","     224255","         70.79"
"VIJAYABANK","EQ","11-Jul-2017","         75.35","         75.60","         76.40","         74.00","         74.15","         74.25","         75.22","    1186192","            89226761.05","       5421","     475409","         40.08"
"VIJAYABANK","EQ","12-Jul-2017","         74.25","         74.25","         76.80","         74.25","         74.85","         74.85","         75.20","    1636325","           123052163.10","       7825","     552372","         33.76"
"VIJAYABANK","EQ","13-Jul-2017","         74.85","         75.95","         76.40","         74.40","         74.60","         74.50","         75.26","    1083364","            81536479.15","       5508","     522694","         48.25"
"VIJAYABANK","EQ","14-Jul-2017","         74.50","         75.35","         76.00","         73.80","         74.90","         74.75","         74.91","    1762842","           132062990.35","       9009","     764979","         43.39"
"VIJAYABANK","EQ","17-Jul-2017","         74.75","         75.65","         76.40","         74.50","         74.75","         74.95","         75.50","    1464690","           110577383.35","       6696","     557156","         38.04"
"VIJAYABANK","EQ","18-Jul-2017","         74.95","         75.15","         75.95","         73.65","         73.95","         74.10","         75.08","    1274393","            95675704.75","       5611","     438532","         34.41"
"VIJAYABANK","EQ","19-Jul-2017","         74.10","         75.30","         75.80","         74.30","         74.75","         74.85","         74.85","    1862939","           139431785.95","      10766","     809554","         43.46"
"VIJAYABANK","EQ","20-Jul-2017","         74.85","         74.85","         75.90","         73.80","         74.00","         74.00","         74.65","    1074323","            80194791.70","       4626","     501143","         46.65"
"VIJAYABANK","EQ","21-Jul-2017","         74.00","         74.40","         74.85","         72.65","         72.65","         73.00","         73.66","    1070820","            78873876.50","       8256","     584771","         54.61"
"VIJAYABANK","EQ","24-Jul-2017","         73.00","         75.60","         76.50","         72.00","         72.90","         72.65","         74.25","    3728838","           276852886.00","      15519","    1673591","         44.88"
"VIJAYABANK","EQ","25-Jul-2017","         72.65","         73.25","         73.80","         71.20","         71.60","         71.60","         72.23","    1631198","           117826180.75","       9906","     776749","         47.62"
"VIJAYABANK","EQ","26-Jul-2017","         71.60","         71.90","         72.25","         70.40","         70.50","         70.65","         71.03","    1271944","            90340517.80","       8282","     622276","         48.92"
"VIJAYABANK","EQ","27-Jul-2017","         70.65","         70.90","         71.90","         70.25","         70.60","         70.65","         70.97","     900968","            63943499.35","       4922","     355455","         39.45"
