"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"VIPULLTD","EQ","03-Apr-2017","         62.00","         63.00","         63.30","         61.85","         62.80","         62.35","         62.87","      74000","             4652516.05","        712","      19666","         26.58"
"VIPULLTD","EQ","05-Apr-2017","         62.35","         63.25","         66.00","         62.35","         63.10","         63.25","         63.86","      79569","             5081583.80","        813","      19401","         24.38"
"VIPULLTD","EQ","06-Apr-2017","         63.25","         63.20","         65.50","         63.20","         64.90","         64.90","         64.69","      98374","             6363989.65","        637","      49341","         50.16"
"VIPULLTD","EQ","07-Apr-2017","         64.90","         65.00","         66.25","         63.50","         64.00","         64.00","         64.79","      58712","             3804109.60","        527","       7815","         13.31"
"VIPULLTD","EQ","10-Apr-2017","         64.00","         64.00","         65.50","         63.45","         63.45","         64.00","         65.02","      60095","             3907277.15","        579","       7538","         12.54"
"VIPULLTD","EQ","11-Apr-2017","         64.00","         64.25","         65.20","         62.80","         62.90","         63.30","         64.21","      60854","             3907223.35","        319","       9838","         16.17"
"VIPULLTD","EQ","12-Apr-2017","         63.30","         64.80","         64.80","         60.00","         60.80","         60.10","         61.26","     203279","            12452816.35","        645","     140841","         69.28"
"VIPULLTD","EQ","13-Apr-2017","         60.10","         62.50","         62.50","         59.80","         60.00","         60.00","         60.78","     284128","            17269161.80","        683","     127962","         45.04"
"VIPULLTD","EQ","17-Apr-2017","         60.00","         60.20","         63.20","         59.95","         63.00","         62.75","         60.88","     267705","            16298869.45","        695","     158653","         59.26"
"VIPULLTD","EQ","18-Apr-2017","         62.75","         65.25","         74.00","         63.95","         68.90","         68.45","         69.47","     327077","            22720827.95","       3211","     111701","         34.15"
"VIPULLTD","EQ","19-Apr-2017","         68.45","         69.40","         69.40","         66.45","         67.10","         67.25","         67.78","     141882","             9616357.60","        884","      43102","         30.38"
"VIPULLTD","EQ","20-Apr-2017","         67.25","         67.30","         74.20","         67.30","         74.00","         73.20","         71.83","     233767","            16790318.70","       1974","      64298","         27.51"
"VIPULLTD","EQ","21-Apr-2017","         73.20","         74.20","         74.70","         69.30","         74.70","         73.35","         72.73","     141893","            10319472.15","        887","      39697","         27.98"
"VIPULLTD","EQ","24-Apr-2017","         73.35","         72.70","         80.50","         70.40","         80.30","         79.60","         78.28","     551170","            43146458.75","       2086","     141873","         25.74"
"VIPULLTD","EQ","25-Apr-2017","         79.60","         80.90","         82.00","         80.00","         80.30","         80.60","         80.91","     486600","            39373108.65","       1509","     114942","         23.62"
"VIPULLTD","EQ","26-Apr-2017","         80.60","         80.60","         84.75","         77.35","         83.00","         83.40","         81.98","     452871","            37126413.75","       1876","     112506","         24.84"
"VIPULLTD","EQ","27-Apr-2017","         83.40","         83.00","         88.00","         82.55","         85.50","         85.45","         86.09","     420949","            36238580.50","       1805","     151843","         36.07"
"VIPULLTD","EQ","28-Apr-2017","         85.45","         85.90","         88.50","         80.30","         86.85","         87.60","         85.33","     477017","            40704187.80","       2786","     125304","         26.27"
"VIPULLTD","EQ","02-May-2017","         87.60","         87.60","         89.20","         85.25","         86.20","         87.10","         87.61","     271104","            23750084.90","       1436","      57748","         21.30"
"VIPULLTD","EQ","03-May-2017","         87.10","         88.80","         88.80","         84.35","         87.25","         86.85","         86.58","     273579","            23685901.05","       1258","      44317","         16.20"
"VIPULLTD","EQ","04-May-2017","         86.85","         87.00","         95.00","         87.00","         94.75","         94.30","         92.93","    1108044","           102973286.20","       5046","     238669","         21.54"
"VIPULLTD","EQ","05-May-2017","         94.30","         93.80","         94.50","         86.75","         89.95","         89.75","         91.89","     448320","            41197086.85","       2872","     118200","         26.37"
"VIPULLTD","EQ","08-May-2017","         89.75","         90.40","         93.25","         88.90","         92.20","         92.80","         90.86","     567512","            51563475.30","       2598","     122606","         21.60"
"VIPULLTD","EQ","09-May-2017","         92.80","         93.00","         94.00","         90.85","         93.70","         93.75","         92.88","     503671","            46779322.50","       2083","      77094","         15.31"
"VIPULLTD","EQ","10-May-2017","         93.75","         93.50","         97.90","         89.25","         90.35","         90.75","         92.94","     623661","            57962036.05","       2803","      92373","         14.81"
"VIPULLTD","EQ","11-May-2017","         90.75","         92.45","         92.45","         90.00","         91.00","         90.80","         90.70","     170902","            15500745.95","        521","      43822","         25.64"
