"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"VOLTAMP","EQ","03-Apr-2017","       1051.05","       1049.95","       1158.90","       1049.95","       1113.95","       1118.05","       1110.82","     111212","           123536782.45","       7077","      41040","         36.90"
"VOLTAMP","EQ","05-Apr-2017","       1118.05","       1126.95","       1149.95","       1100.00","       1122.00","       1120.45","       1128.13","      37339","            42123209.80","       2586","      14884","         39.86"
"VOLTAMP","EQ","06-Apr-2017","       1120.45","       1120.00","       1124.00","       1087.15","       1089.10","       1092.95","       1103.92","      17676","            19512847.80","       1404","       9526","         53.89"
"VOLTAMP","EQ","07-Apr-2017","       1092.95","       1102.00","       1173.00","       1085.10","       1152.20","       1149.35","       1145.30","      58961","            67528140.75","       3957","      25824","         43.80"
"VOLTAMP","EQ","10-Apr-2017","       1149.35","       1149.35","       1217.00","       1142.25","       1177.10","       1172.80","       1188.56","      65848","            78264526.65","       4257","      20407","         30.99"
"VOLTAMP","EQ","11-Apr-2017","       1172.80","       1179.95","       1224.00","       1171.50","       1220.00","       1212.00","       1200.77","      32773","            39352816.90","       1695","      17665","         53.90"
"VOLTAMP","EQ","12-Apr-2017","       1212.00","       1225.00","       1278.00","       1205.70","       1224.95","       1229.25","       1235.74","      64417","            79602716.20","       3245","      26679","         41.42"
"VOLTAMP","EQ","13-Apr-2017","       1229.25","       1220.05","       1305.60","       1215.00","       1260.00","       1259.85","       1273.23","      79106","           100719923.60","       4940","      23112","         29.22"
"VOLTAMP","EQ","17-Apr-2017","       1259.85","       1258.00","       1317.00","       1235.00","       1303.00","       1304.10","       1279.92","      41909","            53639977.70","       3034","      19278","         46.00"
"VOLTAMP","EQ","18-Apr-2017","       1304.10","       1313.70","       1314.95","       1255.10","       1262.10","       1262.60","       1290.37","      21570","            27833268.60","       1590","       8572","         39.74"
"VOLTAMP","EQ","19-Apr-2017","       1262.60","       1277.40","       1277.40","       1235.00","       1245.40","       1242.55","       1251.45","      13883","            17373931.95","        870","       6653","         47.92"
"VOLTAMP","EQ","20-Apr-2017","       1242.55","       1244.80","       1270.00","       1223.60","       1235.00","       1231.85","       1261.08","      63419","            79976668.30","       1035","      56389","         88.91"
"VOLTAMP","EQ","21-Apr-2017","       1231.85","       1234.95","       1253.00","       1225.00","       1238.00","       1234.50","       1238.30","       9606","            11895107.10","        780","       5016","         52.22"
"VOLTAMP","EQ","24-Apr-2017","       1234.50","       1238.05","       1250.00","       1225.60","       1230.00","       1228.00","       1236.38","       7046","             8711502.00","        674","       3025","         42.93"
"VOLTAMP","EQ","25-Apr-2017","       1228.00","       1239.85","       1267.00","       1230.00","       1233.05","       1236.20","       1242.14","      10510","            13054942.90","        910","       4934","         46.95"
"VOLTAMP","EQ","26-Apr-2017","       1236.20","       1240.00","       1245.00","       1201.80","       1208.05","       1209.55","       1221.05","      20412","            24924155.30","       1786","      14432","         70.70"
"VOLTAMP","EQ","27-Apr-2017","       1209.55","       1210.15","       1227.00","       1188.00","       1197.00","       1193.45","       1202.41","      11397","            13703903.00","       1021","       4577","         40.16"
"VOLTAMP","EQ","28-Apr-2017","       1193.45","       1207.95","       1224.00","       1192.10","       1206.00","       1208.00","       1206.71","       8760","            10570812.30","        714","       3907","         44.60"
"VOLTAMP","EQ","02-May-2017","       1208.00","       1208.00","       1245.00","       1201.25","       1222.85","       1225.10","       1225.55","      11772","            14427162.50","       1076","       5447","         46.27"
"VOLTAMP","EQ","03-May-2017","       1225.10","       1230.00","       1231.15","       1200.00","       1200.00","       1201.50","       1211.95","       7785","             9435055.65","        695","       4101","         52.68"
"VOLTAMP","EQ","04-May-2017","       1201.50","       1205.05","       1223.95","       1200.05","       1205.00","       1208.00","       1214.19","       6207","             7536462.40","        566","       2867","         46.19"
"VOLTAMP","EQ","05-May-2017","       1208.00","       1211.00","       1218.00","       1174.00","       1185.00","       1181.75","       1192.24","       6508","             7759088.50","        625","       3553","         54.59"
"VOLTAMP","EQ","08-May-2017","       1181.75","       1185.00","       1194.00","       1167.10","       1170.25","       1171.20","       1178.41","       9951","            11726387.60","        583","       6165","         61.95"
"VOLTAMP","EQ","09-May-2017","       1171.20","       1162.05","       1215.00","       1162.05","       1205.20","       1197.75","       1199.74","      10152","            12179724.30","        951","       4191","         41.28"
"VOLTAMP","EQ","10-May-2017","       1197.75","       1200.10","       1263.00","       1199.20","       1220.00","       1220.80","       1231.00","      17473","            21509325.15","       1276","       5045","         28.87"
"VOLTAMP","EQ","11-May-2017","       1220.80","       1230.05","       1237.95","       1206.00","       1209.00","       1210.30","       1218.14","       5813","             7081069.60","        535","       3145","         54.10"
"VOLTAMP","EQ","12-May-2017","       1210.30","       1213.40","       1216.90","       1190.60","       1208.75","       1204.65","       1206.73","       5076","             6125371.55","        561","       2580","         50.83"
"VOLTAMP","EQ","15-May-2017","       1204.65","       1219.00","       1238.00","       1202.20","       1204.00","       1208.40","       1220.58","      19056","            23259466.85","       1308","       8011","         42.04"
"VOLTAMP","EQ","16-May-2017","       1208.40","       1290.00","       1368.40","       1261.20","       1287.00","       1294.40","       1314.37","     314368","           413197224.95","      17928","      64904","         20.65"
"VOLTAMP","EQ","17-May-2017","       1294.40","       1300.00","       1320.50","       1266.30","       1300.00","       1304.00","       1301.55","      52420","            68227331.75","       3915","      16559","         31.59"
"VOLTAMP","EQ","18-May-2017","       1304.00","       1288.00","       1325.00","       1267.00","       1290.50","       1286.00","       1294.70","      44229","            57263470.75","       3559","      12917","         29.20"
"VOLTAMP","EQ","19-May-2017","       1286.00","       1292.00","       1315.70","       1273.80","       1286.90","       1284.25","       1291.68","      16302","            21057017.95","       1478","       6178","         37.90"
"VOLTAMP","EQ","22-May-2017","       1284.25","       1299.95","       1310.00","       1275.10","       1276.00","       1277.85","       1291.90","      13156","            16996204.30","       1074","       5330","         40.51"
"VOLTAMP","EQ","23-May-2017","       1277.85","       1282.45","       1282.45","       1251.15","       1259.75","       1258.10","       1260.67","      14277","            17998594.05","        935","       9176","         64.27"
"VOLTAMP","EQ","24-May-2017","       1258.10","       1259.95","       1274.25","       1202.10","       1223.00","       1216.65","       1238.71","      24380","            30199844.65","       1649","      13773","         56.49"
"VOLTAMP","EQ","25-May-2017","       1216.65","       1205.65","       1263.95","       1202.30","       1240.00","       1235.70","       1238.55","      15554","            19264382.15","       1292","       5825","         37.45"
"VOLTAMP","EQ","26-May-2017","       1235.70","       1230.05","       1280.00","       1221.80","       1234.05","       1236.10","       1247.01","      20534","            25606094.60","       1691","       7869","         38.32"
"VOLTAMP","EQ","29-May-2017","       1236.10","       1230.15","       1247.10","       1217.00","       1221.00","       1220.50","       1231.93","       5621","             6924676.55","        574","       3214","         57.18"
"VOLTAMP","EQ","30-May-2017","       1220.50","       1215.05","       1226.70","       1181.50","       1204.90","       1202.30","       1202.07","       9786","            11763471.70","        811","       6604","         67.48"
"VOLTAMP","EQ","31-May-2017","       1202.30","       1202.00","       1315.00","       1202.00","       1261.00","       1256.55","       1268.85","      83148","           105502606.25","       5539","      11636","         13.99"
"VOLTAMP","EQ","01-Jun-2017","       1256.55","       1256.55","       1280.00","       1250.95","       1259.95","       1258.45","       1264.53","      11412","            14430779.10","       1011","       4447","         38.97"
"VOLTAMP","EQ","02-Jun-2017","       1258.45","       1265.10","       1272.45","       1250.00","       1259.75","       1261.20","       1261.08","       8124","            10245030.45","        601","       4550","         56.01"
"VOLTAMP","EQ","05-Jun-2017","       1261.20","       1261.25","       1272.05","       1251.50","       1259.25","       1257.80","       1264.63","      51205","            64755543.80","        401","      48491","         94.70"
"VOLTAMP","EQ","06-Jun-2017","       1257.80","       1257.05","       1265.95","       1241.00","       1255.00","       1247.35","       1249.37","       3210","             4010492.35","        401","       1560","         48.60"
"VOLTAMP","EQ","07-Jun-2017","       1247.35","       1251.50","       1293.00","       1239.00","       1273.00","       1269.15","       1272.38","      19358","            24630766.00","       1807","       5616","         29.01"
"VOLTAMP","EQ","08-Jun-2017","       1269.15","       1252.05","       1286.95","       1252.05","       1268.00","       1268.35","       1271.96","       6776","             8618783.65","        640","       2066","         30.49"
"VOLTAMP","EQ","09-Jun-2017","       1268.35","       1275.00","       1303.90","       1260.40","       1290.25","       1297.25","       1292.02","      41223","            53260827.25","       1398","      24939","         60.50"
"VOLTAMP","EQ","12-Jun-2017","       1297.25","       1295.00","       1305.00","       1249.25","       1272.00","       1268.25","       1284.32","      20773","            26679097.20","       1331","      13320","         64.12"
"VOLTAMP","EQ","13-Jun-2017","       1268.25","       1277.35","       1282.05","       1258.00","       1268.85","       1264.85","       1272.70","       4866","             6192967.10","        487","       2581","         53.04"
"VOLTAMP","EQ","14-Jun-2017","       1264.85","       1263.40","       1289.00","       1261.10","       1263.15","       1266.85","       1270.11","       8423","            10698176.25","        447","       6281","         74.57"
"VOLTAMP","EQ","15-Jun-2017","       1266.85","       1265.05","       1275.45","       1260.00","       1263.00","       1262.95","       1267.84","       3693","             4682119.45","        421","       2188","         59.25"
"VOLTAMP","EQ","16-Jun-2017","       1262.95","       1263.00","       1294.40","       1263.00","       1274.00","       1274.90","       1278.78","       5055","             6464236.25","        686","       1959","         38.75"
