"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"WALCHANNAG","EQ","02-Jan-2017","        144.90","        144.70","        147.50","        144.55","        146.05","        145.90","        145.94","      52051","             7596380.50","        950","      18014","         34.61"
"WALCHANNAG","EQ","03-Jan-2017","        145.90","        146.90","        151.35","        145.25","        148.75","        148.55","        148.55","     120212","            17857830.85","       2242","      35548","         29.57"
"WALCHANNAG","EQ","04-Jan-2017","        148.55","        148.50","        151.80","        148.50","        149.40","        149.35","        149.96","      94219","            14129246.65","       1751","      24681","         26.20"
"WALCHANNAG","EQ","05-Jan-2017","        149.35","        150.60","        152.95","        150.05","        151.10","        151.45","        151.64","      68936","            10453446.90","       1351","      24877","         36.09"
"WALCHANNAG","EQ","06-Jan-2017","        151.45","        152.45","        152.70","        149.20","        149.60","        149.60","        150.61","      61567","             9272835.30","       1082","      22100","         35.90"
"WALCHANNAG","EQ","09-Jan-2017","        149.60","        149.80","        159.35","        149.60","        159.00","        157.80","        156.01","     410082","            63976477.70","       4992","     131869","         32.16"
"WALCHANNAG","EQ","10-Jan-2017","        157.80","        161.00","        169.65","        161.00","        163.00","        163.35","        164.63","     718234","           118244695.25","       9645","     167800","         23.36"
"WALCHANNAG","EQ","11-Jan-2017","        163.35","        164.30","        164.30","        158.25","        158.60","        158.65","        160.37","     207838","            33331402.25","       3147","      62891","         30.26"
"WALCHANNAG","EQ","12-Jan-2017","        158.65","        159.40","        160.75","        156.50","        157.95","        157.40","        158.35","     140775","            22292050.15","       2297","      30297","         21.52"
"WALCHANNAG","EQ","13-Jan-2017","        157.40","        158.00","        159.70","        156.00","        156.00","        156.40","        157.34","     144093","            22671617.55","       1571","      29035","         20.15"
"WALCHANNAG","EQ","16-Jan-2017","        156.40","        156.80","        157.20","        154.00","        155.60","        155.25","        155.91","     133985","            20889646.25","       1550","      20795","         15.52"
"WALCHANNAG","EQ","17-Jan-2017","        155.25","        156.45","        158.35","        155.25","        155.80","        155.75","        156.34","     110811","            17323653.40","       1865","      30496","         27.52"
"WALCHANNAG","EQ","18-Jan-2017","        155.75","        156.80","        161.95","        155.95","        157.50","        158.25","        158.79","     203594","            32328537.80","       3295","      56858","         27.93"
"WALCHANNAG","EQ","19-Jan-2017","        158.25","        157.20","        159.50","        156.10","        157.20","        157.30","        157.90","     101644","            16049088.85","       2257","      29262","         28.79"
"WALCHANNAG","EQ","20-Jan-2017","        157.30","        157.20","        161.40","        155.30","        156.70","        156.45","        158.38","     187357","            29673562.25","       2926","      50965","         27.20"
"WALCHANNAG","EQ","23-Jan-2017","        156.45","        157.20","        161.40","        157.10","        159.65","        159.90","        159.46","     149471","            23835001.55","       2638","      44993","         30.10"
"WALCHANNAG","EQ","24-Jan-2017","        159.90","        159.70","        163.15","        157.90","        158.00","        158.65","        160.50","     166065","            26654164.35","       2163","      56889","         34.26"
"WALCHANNAG","EQ","25-Jan-2017","        158.65","        159.75","        159.75","        157.10","        157.45","        157.60","        158.44","      68049","            10781850.90","       1203","      25299","         37.18"
"WALCHANNAG","EQ","27-Jan-2017","        157.60","        157.95","        162.80","        157.40","        158.00","        158.45","        160.15","     201217","            32224352.75","       2438","      57390","         28.52"
"WALCHANNAG","EQ","30-Jan-2017","        158.45","        158.20","        162.90","        158.15","        159.00","        159.45","        160.85","     243836","            39221596.50","       3284","      73713","         30.23"
"WALCHANNAG","EQ","31-Jan-2017","        159.45","        157.05","        158.00","        152.70","        153.55","        153.15","        155.36","     189483","            29437517.90","       2438","      85877","         45.32"
"WALCHANNAG","EQ","01-Feb-2017","        153.15","        154.20","        156.85","        150.65","        153.80","        153.95","        154.02","     155793","            23996006.85","       2269","      37714","         24.21"
"WALCHANNAG","EQ","02-Feb-2017","        153.95","        153.65","        154.45","        151.10","        152.70","        152.45","        152.85","      94651","            14467470.95","       1399","      34055","         35.98"
"WALCHANNAG","EQ","03-Feb-2017","        152.45","        152.95","        156.55","        152.55","        154.00","        153.35","        154.27","     119332","            18409893.35","       1470","      38193","         32.01"
"WALCHANNAG","EQ","06-Feb-2017","        153.35","        154.15","        155.35","        147.20","        152.35","        152.60","        153.39","     125207","            19205237.45","       1740","      43905","         35.07"
"WALCHANNAG","EQ","07-Feb-2017","        152.60","        153.20","        153.50","        148.70","        149.15","        149.50","        151.34","      84889","            12847252.65","       1337","      41814","         49.26"
"WALCHANNAG","EQ","08-Feb-2017","        149.50","        150.00","        150.80","        149.00","        149.50","        149.50","        149.77","      83447","            12497729.80","       1088","      26645","         31.93"
"WALCHANNAG","EQ","09-Feb-2017","        149.50","        149.85","        151.40","        146.80","        148.30","        148.05","        148.76","     108818","            16187484.10","       1683","      46359","         42.60"
"WALCHANNAG","EQ","10-Feb-2017","        148.05","        149.20","        149.50","        147.40","        148.00","        147.80","        148.33","      52582","             7799529.40","        773","      22776","         43.32"
"WALCHANNAG","EQ","13-Feb-2017","        147.80","        148.45","        148.70","        141.60","        142.35","        142.40","        144.27","     129213","            18641625.80","       1853","      70986","         54.94"
"WALCHANNAG","EQ","14-Feb-2017","        142.40","        143.50","        145.90","        143.40","        144.80","        144.55","        144.77","     104855","            15179624.85","       1528","      29608","         28.24"
"WALCHANNAG","EQ","15-Feb-2017","        144.55","        147.30","        148.65","        142.50","        143.00","        143.45","        145.67","     105579","            15379722.30","       1743","      38643","         36.60"
"WALCHANNAG","EQ","16-Feb-2017","        143.45","        143.55","        144.10","        141.40","        143.00","        143.25","        142.91","      68968","             9856178.75","        991","      31182","         45.21"
"WALCHANNAG","EQ","17-Feb-2017","        143.25","        144.00","        144.80","        142.85","        143.35","        143.75","        143.88","      72083","            10371626.45","       1101","      23890","         33.14"
"WALCHANNAG","EQ","20-Feb-2017","        143.75","        144.35","        146.15","        143.10","        145.00","        144.60","        144.64","      60974","             8819342.30","       1271","      23512","         38.56"
"WALCHANNAG","EQ","21-Feb-2017","        144.60","        145.30","        153.05","        144.70","        150.20","        149.75","        149.59","     261363","            39098181.55","       3993","      92684","         35.46"
"WALCHANNAG","EQ","22-Feb-2017","        149.75","        150.60","        153.50","        148.40","        149.00","        149.25","        151.02","     315447","            47638131.60","       4440","      66999","         21.24"
