"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"WEBELSOLAR","EQ","02-Jan-2017","         42.40","         43.00","         43.70","         41.50","         43.15","         43.30","         42.94","      18688","              802376.15","        167","      11757","         62.91"
"WEBELSOLAR","EQ","03-Jan-2017","         43.30","         43.55","         44.90","         42.50","         43.30","         43.55","         44.08","      77746","             3426656.00","        439","      46938","         60.37"
"WEBELSOLAR","EQ","04-Jan-2017","         43.55","         43.80","         44.75","         43.00","         43.90","         43.85","         43.94","      28482","             1251558.55","        119","      20187","         70.88"
"WEBELSOLAR","EQ","05-Jan-2017","         43.85","         43.00","         44.35","         42.75","         42.90","         42.90","         43.07","      15765","              679012.95","        111","      10834","         68.72"
"WEBELSOLAR","EQ","06-Jan-2017","         42.90","         43.00","         44.00","         42.15","         42.80","         43.25","         43.57","      39340","             1713921.35","        174","      31185","         79.27"
"WEBELSOLAR","EQ","09-Jan-2017","         43.25","         43.80","         44.25","         42.25","         44.00","         43.55","         43.56","      22262","              969722.50","        158","      10899","         48.96"
"WEBELSOLAR","EQ","10-Jan-2017","         43.55","         44.25","         52.25","         44.25","         52.25","         52.25","         50.29","     685286","            34463223.55","       3823","     293196","         42.78"
"WEBELSOLAR","EQ","11-Jan-2017","         52.25","         53.45","         56.75","         52.00","         53.60","         54.35","         54.97","     883934","            48588266.00","       5895","     387245","         43.81"
"WEBELSOLAR","EQ","12-Jan-2017","         54.35","         53.65","         54.25","         49.45","         50.35","         50.25","         51.71","     292458","            15124120.00","       1798","     189929","         64.94"
"WEBELSOLAR","EQ","13-Jan-2017","         50.25","         50.70","         52.00","         48.15","         49.00","         49.10","         50.04","     112944","             5651261.05","        718","      72282","         64.00"
"WEBELSOLAR","EQ","16-Jan-2017","         49.10","         49.50","         52.90","         49.00","         51.00","         51.00","         51.03","     134894","             6883085.30","        919","      60293","         44.70"
"WEBELSOLAR","EQ","17-Jan-2017","         51.00","         50.80","         52.80","         49.70","         52.10","         51.95","         51.88","      96907","             5027450.35","        804","      50379","         51.99"
"WEBELSOLAR","EQ","18-Jan-2017","         51.95","         52.75","         59.00","         52.00","         54.80","         55.35","         55.84","     576321","            32183388.55","       3700","     303119","         52.60"
"WEBELSOLAR","EQ","19-Jan-2017","         55.35","         55.90","         58.35","         54.50","         56.60","         56.25","         56.92","     240720","            13702950.00","       1738","     155591","         64.64"
"WEBELSOLAR","EQ","20-Jan-2017","         56.25","         55.95","         58.20","         55.00","         55.25","         55.70","         56.76","     155268","             8812850.35","       1405","     112326","         72.34"
"WEBELSOLAR","EQ","23-Jan-2017","         55.70","         56.65","         56.90","         55.10","         55.50","         55.60","         56.09","      50840","             2851660.60","        529","      38044","         74.83"
"WEBELSOLAR","EQ","24-Jan-2017","         55.60","         56.15","         56.25","         53.25","         53.50","         54.00","         54.53","      53603","             2923010.95","        603","      44978","         83.91"
"WEBELSOLAR","EQ","25-Jan-2017","         54.00","         54.05","         55.30","         52.35","         53.30","         53.45","         53.45","      49590","             2650538.80","        539","      37717","         76.06"
"WEBELSOLAR","EQ","27-Jan-2017","         53.45","         53.80","         56.25","         52.10","         52.10","         52.65","         54.07","      57695","             3119509.10","        878","      22587","         39.15"
"WEBELSOLAR","EQ","30-Jan-2017","         52.65","         52.50","         54.25","         51.00","         53.00","         53.00","         52.76","      64832","             3420833.55","        812","      39571","         61.04"
"WEBELSOLAR","EQ","31-Jan-2017","         53.00","         53.55","         53.90","         51.65","         52.15","         52.15","         52.46","      29874","             1567279.60","        468","      20820","         69.69"
"WEBELSOLAR","EQ","01-Feb-2017","         52.15","         52.00","         53.85","         50.30","         51.00","         51.15","         51.89","     131119","             6803940.85","       1339","      62431","         47.61"
"WEBELSOLAR","EQ","02-Feb-2017","         51.15","         52.00","         53.45","         51.15","         53.45","         52.70","         52.81","      94835","             5008415.10","        903","      59804","         63.06"
"WEBELSOLAR","EQ","03-Feb-2017","         52.70","         53.00","         57.55","         52.15","         56.00","         55.75","         55.29","     203844","            11269737.50","       1285","     147715","         72.46"
"WEBELSOLAR","EQ","06-Feb-2017","         55.75","         56.80","         66.90","         56.80","         63.70","         63.55","         62.30","     955063","            59502045.50","       6224","     440913","         46.17"
"WEBELSOLAR","EQ","07-Feb-2017","         63.55","         63.55","         65.00","         61.20","         62.00","         62.00","         62.74","     176205","            11054512.60","       3482","      91706","         52.05"
"WEBELSOLAR","EQ","08-Feb-2017","         62.00","         62.70","         66.00","         61.35","         61.40","         61.60","         63.21","     391444","            24741379.10","       2234","     256501","         65.53"
"WEBELSOLAR","EQ","09-Feb-2017","         61.60","         62.00","         63.00","         60.50","         60.75","         60.90","         61.86","      81115","             5017382.40","        540","      53668","         66.16"
"WEBELSOLAR","EQ","10-Feb-2017","         60.90","         61.75","         62.00","         60.75","         60.90","         61.10","         61.50","      63571","             3909449.55","        393","      47037","         73.99"
"WEBELSOLAR","EQ","13-Feb-2017","         61.10","         61.25","         62.55","         59.00","         61.80","         61.95","         61.52","     188140","            11573715.50","       1150","     121545","         64.60"
