"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"WELSPUNIND","EQ","03-Apr-2017","         87.75","         87.75","         88.65","         86.50","         86.80","         87.10","         87.55","     455175","            39848758.45","       2541","     244576","         53.73"
"WELSPUNIND","EQ","05-Apr-2017","         87.10","         87.65","         87.65","         85.30","         85.50","         85.70","         86.12","     944422","            81332499.70","       9561","     736973","         78.03"
"WELSPUNIND","EQ","06-Apr-2017","         85.70","         86.25","         87.20","         85.05","         85.25","         85.35","         85.84","     539723","            46327558.00","       9912","     348551","         64.58"
"WELSPUNIND","EQ","07-Apr-2017","         85.35","         85.50","         86.50","         83.90","         83.90","         84.45","         85.00","     625429","            53162687.40","      10051","     401655","         64.22"
"WELSPUNIND","EQ","10-Apr-2017","         84.45","         90.00","         91.00","         86.50","         86.90","         87.00","         88.09","    2581724","           227422505.55","      24179","    1360046","         52.68"
"WELSPUNIND","EQ","11-Apr-2017","         87.00","         87.85","         88.70","         87.10","         87.95","         88.10","         88.07","    1082174","            95306849.10","       8491","     709918","         65.60"
"WELSPUNIND","EQ","12-Apr-2017","         88.10","         87.90","         88.00","         85.90","         87.90","         87.75","         87.48","     984182","            86093173.95","      15734","     697586","         70.88"
"WELSPUNIND","EQ","13-Apr-2017","         87.75","         87.85","         89.25","         86.90","         88.20","         88.25","         88.35","    2412132","           213121732.40","      22182","    1455682","         60.35"
"WELSPUNIND","EQ","17-Apr-2017","         88.25","         87.80","         91.40","         86.45","         91.00","         90.05","         88.76","    2463311","           218648847.80","      13309","    1673078","         67.92"
"WELSPUNIND","EQ","18-Apr-2017","         90.05","         91.00","         95.40","         90.45","         94.25","         93.70","         93.22","    3796792","           353945384.70","      25626","    2131343","         56.14"
"WELSPUNIND","EQ","19-Apr-2017","         93.70","         94.50","         95.90","         92.55","         93.50","         94.05","         94.82","    2146201","           203494057.50","      12623","    1139621","         53.10"
"WELSPUNIND","EQ","20-Apr-2017","         94.05","         95.00","         96.00","         94.05","         95.20","         95.30","         95.25","    2023723","           192759131.20","      14612","    1431134","         70.72"
"WELSPUNIND","EQ","21-Apr-2017","         95.30","         96.90","         96.90","         93.35","         94.10","         94.35","         94.96","     783124","            74365659.40","       6466","     450001","         57.46"
"WELSPUNIND","EQ","24-Apr-2017","         94.35","         94.00","         96.00","         93.55","         94.70","         94.70","         95.12","    1002058","            95314982.05","       9679","     518625","         51.76"
"WELSPUNIND","EQ","25-Apr-2017","         94.70","         95.95","         96.45","         90.40","         94.15","         94.10","         93.61","    2385996","           223364541.95","      14058","     777173","         32.57"
"WELSPUNIND","EQ","26-Apr-2017","         94.10","         94.00","         95.50","         91.65","         94.05","         94.45","         94.06","    4194079","           394483958.20","      16493","    3280848","         78.23"
"WELSPUNIND","EQ","27-Apr-2017","         94.45","         94.45","         94.45","         85.15","         94.40","         93.65","         92.56","     819102","            75815344.80","       4427","     468699","         57.22"
"WELSPUNIND","EQ","28-Apr-2017","         93.65","         93.10","         95.85","         93.10","         95.70","         95.35","         94.80","     788971","            74794828.55","      10183","     618252","         78.36"
"WELSPUNIND","EQ","02-May-2017","         95.35","         95.90","         98.50","         95.00","         98.30","         98.00","         96.88","    2116580","           205050087.05","      10380","    1679206","         79.34"
"WELSPUNIND","EQ","03-May-2017","         98.00","         98.95","         99.70","         96.15","         96.60","         97.30","         97.40","    1300977","           126716272.70","      15876","     832544","         63.99"
"WELSPUNIND","EQ","04-May-2017","         97.30","         97.80","         98.40","         95.75","         96.55","         96.95","         96.71","     904383","            87464602.20","       6261","     603700","         66.75"
"WELSPUNIND","EQ","05-May-2017","         96.95","         96.95","         98.25","         94.65","         94.70","         95.30","         96.86","    1126871","           109144851.70","       8491","     881231","         78.20"
"WELSPUNIND","EQ","08-May-2017","         95.30","         96.75","         96.75","         94.00","         94.30","         94.55","         95.28","     740413","            70550223.95","       5610","     576396","         77.85"
"WELSPUNIND","EQ","09-May-2017","         94.55","         96.00","         96.00","         92.20","         92.40","         93.20","         93.24","     889227","            82912087.80","      11147","     642983","         72.31"
"WELSPUNIND","EQ","10-May-2017","         93.20","         92.25","         93.95","         90.60","         91.00","         90.90","         91.75","     938797","            86129964.45","       9409","     660002","         70.30"
"WELSPUNIND","EQ","11-May-2017","         90.90","         91.95","         92.05","         89.75","         90.00","         90.05","         90.72","     897101","            81380869.70","      10794","     665623","         74.20"
"WELSPUNIND","EQ","12-May-2017","         90.05","         90.05","         91.00","         87.70","         89.10","         89.40","         88.97","    1242037","           110503918.50","       9074","     884078","         71.18"
"WELSPUNIND","EQ","15-May-2017","         89.40","         89.70","         93.90","         89.20","         90.00","         90.25","         90.94","    3056833","           277998324.85","      12247","    1939157","         63.44"
"WELSPUNIND","EQ","16-May-2017","         90.25","         90.90","         91.00","         90.00","         90.50","         90.65","         90.36","     792353","            71598203.40","       6460","     576788","         72.79"
"WELSPUNIND","EQ","17-May-2017","         90.65","         90.90","         91.55","         88.30","         88.40","         88.85","         89.91","    1886102","           169577027.65","      11102","    1507068","         79.90"
"WELSPUNIND","EQ","18-May-2017","         88.85","         88.70","         89.40","         86.30","         87.00","         86.90","         87.58","     582904","            51049999.95","       6843","     372116","         63.84"
"WELSPUNIND","EQ","19-May-2017","         86.90","         88.00","         88.00","         84.70","         84.80","         85.05","         86.12","     503081","            43326835.15","       3637","     344163","         68.41"
"WELSPUNIND","EQ","22-May-2017","         85.05","         85.85","         86.00","         81.35","         84.70","         83.70","         83.89","    2447619","           205332830.45","       5958","    2050154","         83.76"
"WELSPUNIND","EQ","23-May-2017","         83.70","         85.50","         85.65","         79.00","         83.15","         84.75","         82.76","    1212547","           100345988.50","       6234","     704405","         58.09"
"WELSPUNIND","EQ","24-May-2017","         84.75","         84.45","         84.45","         81.00","         83.10","         82.80","         82.42","    1220369","           100585178.45","      10011","     847135","         69.42"
"WELSPUNIND","EQ","25-May-2017","         82.80","         83.00","         84.00","         82.10","         82.90","         82.95","         82.85","     393982","            32639705.35","       3097","     230592","         58.53"
"WELSPUNIND","EQ","26-May-2017","         82.95","         84.00","         84.70","         82.55","         83.70","         84.10","         84.11","     385599","            32431999.15","       2628","     232070","         60.18"
"WELSPUNIND","EQ","29-May-2017","         84.10","         84.00","         84.20","         81.90","         81.90","         82.10","         82.75","     197875","            16375120.40","       1679","     125490","         63.42"
"WELSPUNIND","EQ","30-May-2017","         82.10","         82.15","         89.00","         80.40","         82.00","         82.60","         82.16","     416603","            34227466.40","       3428","     227116","         54.52"
"WELSPUNIND","EQ","31-May-2017","         82.60","         83.00","         83.00","         81.00","         81.30","         81.60","         81.84","     379930","            31094008.40","       4441","     252712","         66.52"
"WELSPUNIND","EQ","01-Jun-2017","         81.60","         82.70","         84.90","         81.75","         83.80","         84.05","         83.09","    1170875","            97287963.10","       3401","     941642","         80.42"
"WELSPUNIND","EQ","02-Jun-2017","         84.05","         84.85","         84.85","         83.10","         83.55","         83.80","         83.61","     688135","            57537844.80","       2842","     543284","         78.95"
"WELSPUNIND","EQ","05-Jun-2017","         83.80","         84.80","         85.45","         84.00","         85.15","         85.05","         84.93","     522429","            44372293.95","       3578","     418758","         80.16"
"WELSPUNIND","EQ","06-Jun-2017","         85.05","         85.00","         85.50","         83.10","         83.50","         83.60","         84.28","     209066","            17620992.10","       3478","     125232","         59.90"
"WELSPUNIND","EQ","07-Jun-2017","         83.60","         83.85","         84.25","         82.70","         83.10","         83.30","         83.53","    1058547","            88415174.55","       6360","     897511","         84.79"
"WELSPUNIND","EQ","08-Jun-2017","         83.30","         83.75","         83.80","         83.00","         83.10","         83.40","         83.41","     919932","            76727350.75","       4506","     839894","         91.30"
"WELSPUNIND","EQ","09-Jun-2017","         83.40","         83.50","         83.90","         82.40","         82.55","         82.70","         83.03","     246426","            20461054.30","       4709","     159773","         64.84"
"WELSPUNIND","EQ","12-Jun-2017","         82.70","         82.55","         84.00","         82.50","         82.80","         82.80","         83.12","     449756","            37385275.00","       6403","     280859","         62.45"
"WELSPUNIND","EQ","13-Jun-2017","         82.80","         84.00","         84.00","         82.00","         82.10","         82.55","         83.01","     235155","            19520636.65","       3739","     124636","         53.00"
"WELSPUNIND","EQ","14-Jun-2017","         82.55","         80.25","         82.00","         79.90","         80.50","         81.15","         80.67","    1048552","            84585771.55","       8071","     725049","         69.15"
"WELSPUNIND","EQ","15-Jun-2017","         81.15","         80.70","         81.15","         78.30","         78.90","         78.90","         79.26","    1245418","            98716833.75","      14421","     918248","         73.73"
"WELSPUNIND","EQ","16-Jun-2017","         78.90","         79.35","         82.90","         78.00","         78.55","         79.10","         80.73","    1446962","           116808855.70","      16294","     794797","         54.93"
"WELSPUNIND","EQ","19-Jun-2017","         79.10","         79.10","         81.20","         79.10","         80.65","         80.70","         80.44","     763254","            61398092.90","       6568","     500890","         65.63"
"WELSPUNIND","EQ","20-Jun-2017","         80.70","         80.70","         81.75","         80.05","         80.20","         80.70","         81.02","    1143838","            92671740.40","      17604","     786064","         68.72"
