"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"WINDMACHIN","EQ","03-Apr-2017","         64.60","         64.00","         71.90","         64.00","         68.55","         68.65","         69.07","     111718","             7716140.65","       1256","      62782","         56.20"
"WINDMACHIN","EQ","05-Apr-2017","         68.65","         69.45","         72.00","         68.70","         69.00","         69.75","         70.69","      42538","             3007000.95","        368","      34174","         80.34"
"WINDMACHIN","EQ","06-Apr-2017","         69.75","         69.05","         69.95","         65.20","         68.80","         69.35","         67.51","      47881","             3232225.30","        474","      29051","         60.67"
"WINDMACHIN","EQ","07-Apr-2017","         69.35","         68.80","         72.70","         68.00","         70.00","         69.65","         70.51","      23671","             1668984.55","        333","      13635","         57.60"
"WINDMACHIN","EQ","10-Apr-2017","         69.65","         69.50","         71.50","         68.80","         70.00","         70.00","         70.16","      38198","             2680155.85","        313","      28191","         73.80"
"WINDMACHIN","EQ","11-Apr-2017","         70.00","         70.00","         71.90","         68.60","         69.40","         69.10","         69.57","      22071","             1535559.65","        196","      16128","         73.07"
"WINDMACHIN","EQ","12-Apr-2017","         69.10","         68.00","         70.00","         66.60","         68.00","         68.15","         67.88","      25588","             1736908.75","        252","      20484","         80.05"
"WINDMACHIN","EQ","13-Apr-2017","         68.15","         68.15","         69.10","         65.60","         68.55","         68.70","         67.37","      40252","             2711618.50","        324","      23468","         58.30"
"WINDMACHIN","EQ","17-Apr-2017","         68.70","         68.50","         71.95","         67.60","         68.00","         67.95","         69.27","      15606","             1081066.85","        217","       9030","         57.86"
"WINDMACHIN","EQ","18-Apr-2017","         67.95","         69.00","         72.00","         67.55","         67.60","         68.00","         69.67","      25982","             1810288.85","        388","      12622","         48.58"
"WINDMACHIN","EQ","19-Apr-2017","         68.00","         70.45","         70.45","         66.00","         68.40","         67.15","         67.44","      29878","             2015079.40","        407","      18618","         62.31"
"WINDMACHIN","EQ","20-Apr-2017","         67.15","         66.30","         67.90","         66.20","         67.00","         67.35","         67.20","      17262","             1159970.85","        147","      12698","         73.56"
"WINDMACHIN","EQ","21-Apr-2017","         67.35","         67.05","         68.50","         63.55","         65.60","         66.00","         65.46","      54274","             3552699.60","        441","      35732","         65.84"
"WINDMACHIN","EQ","24-Apr-2017","         66.00","         65.50","         66.80","         64.05","         66.15","         66.15","         65.37","      24427","             1596765.10","        213","      14271","         58.42"
"WINDMACHIN","EQ","25-Apr-2017","         66.15","         65.50","         67.70","         64.30","         66.15","         66.05","         65.97","      21662","             1429123.55","        273","      11018","         50.86"
"WINDMACHIN","EQ","26-Apr-2017","         66.05","         66.50","         67.45","         64.90","         65.20","         65.30","         65.71","      15876","             1043256.85","        156","       9955","         62.70"
"WINDMACHIN","EQ","27-Apr-2017","         65.30","         65.00","         71.85","         64.65","         66.65","         66.30","         68.94","     109546","             7551730.05","       1487","      29821","         27.22"
"WINDMACHIN","EQ","28-Apr-2017","         66.30","         67.20","         68.50","         65.50","         67.70","         67.65","         67.29","      26531","             1785168.80","        320","      16727","         63.05"
"WINDMACHIN","EQ","02-May-2017","         67.65","         68.50","         69.90","         65.50","         66.00","         65.95","         66.60","      23469","             1562994.20","        265","      17556","         74.81"
"WINDMACHIN","EQ","03-May-2017","         65.95","         66.95","         68.90","         66.20","         67.00","         67.00","         67.86","      27182","             1844573.80","        241","      15086","         55.50"
"WINDMACHIN","EQ","04-May-2017","         67.00","         66.40","         68.60","         64.25","         65.25","         65.55","         66.03","      42402","             2799923.45","        355","      30771","         72.57"
"WINDMACHIN","EQ","05-May-2017","         65.55","         65.15","         65.45","         62.60","         63.00","         63.10","         63.75","      40297","             2568733.60","        519","      23980","         59.51"
"WINDMACHIN","EQ","08-May-2017","         63.10","         63.50","         65.25","         62.15","         62.50","         62.45","         62.90","      14199","              893116.20","        187","      10181","         71.70"
"WINDMACHIN","EQ","09-May-2017","         62.45","         62.40","         63.35","         61.35","         62.35","         61.95","         62.06","      21013","             1304060.20","        251","      14468","         68.85"
"WINDMACHIN","EQ","10-May-2017","         61.95","         61.55","         63.25","         61.30","         61.30","         61.55","         61.84","      22405","             1385489.00","        164","      20571","         91.81"
"WINDMACHIN","EQ","11-May-2017","         61.55","         63.00","         63.60","         61.50","         61.55","         61.55","         62.48","      17816","             1113222.45","        149","      13187","         74.02"
"WINDMACHIN","EQ","12-May-2017","         61.55","         61.10","         62.45","         58.20","         58.60","         58.95","         59.71","      47467","             2834036.10","        489","      35080","         73.90"
"WINDMACHIN","EQ","15-May-2017","         58.95","         58.60","         61.20","         58.25","         59.80","         59.40","         59.96","      11396","              683298.15","        215","       7055","         61.91"
"WINDMACHIN","EQ","16-May-2017","         59.40","         60.00","         61.25","         59.25","         59.50","         59.70","         60.08","      26078","             1566667.15","        142","      24035","         92.17"
"WINDMACHIN","EQ","17-May-2017","         59.70","         60.00","         68.65","         59.55","         66.00","         65.95","         65.43","     175271","            11467120.45","       2076","      76546","         43.67"
"WINDMACHIN","EQ","18-May-2017","         65.95","         65.70","         65.80","         60.20","         60.40","         60.35","         62.13","     150500","             9349968.45","       1157","     101154","         67.21"
"WINDMACHIN","EQ","19-May-2017","         60.35","         61.35","         63.70","         60.55","         62.65","         62.30","         62.43","      44515","             2778860.05","        383","      32678","         73.41"
"WINDMACHIN","EQ","22-May-2017","         62.30","         63.00","         63.85","         59.40","         60.00","         60.10","         60.86","      41337","             2515752.95","        323","      31592","         76.43"
