"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ZANDUREALT","EQ","03-Apr-2017","       1291.00","       1295.10","       1319.95","       1280.10","       1290.00","       1293.45","       1302.36","       4649","             6054660.70","       1084","       2117","         45.54"
"ZANDUREALT","EQ","05-Apr-2017","       1293.45","       1293.50","       1386.00","       1280.15","       1325.00","       1320.10","       1334.84","      12146","            16213018.35","       1867","       3638","         29.95"
"ZANDUREALT","EQ","06-Apr-2017","       1320.10","       1317.05","       1364.70","       1310.00","       1325.00","       1319.60","       1339.78","       6545","             8768841.60","       1118","       2245","         34.30"
"ZANDUREALT","EQ","07-Apr-2017","       1319.60","       1323.00","       1345.00","       1301.00","       1301.05","       1302.80","       1317.70","       2362","             3112416.70","        450","       1274","         53.94"
"ZANDUREALT","EQ","10-Apr-2017","       1302.80","       1318.80","       1319.90","       1292.05","       1299.90","       1297.70","       1304.40","       1217","             1587450.45","        271","        767","         63.02"
"ZANDUREALT","EQ","11-Apr-2017","       1297.70","       1300.00","       1332.00","       1296.00","       1299.15","       1300.45","       1311.01","       2005","             2628566.05","        478","       1092","         54.46"
"ZANDUREALT","EQ","12-Apr-2017","       1300.45","       1300.00","       1318.65","       1290.00","       1294.00","       1293.65","       1300.99","       1626","             2115417.60","        405","        637","         39.18"
"ZANDUREALT","EQ","13-Apr-2017","       1293.65","       1307.90","       1329.95","       1288.05","       1302.80","       1299.45","       1308.03","       1800","             2354446.35","        397","        751","         41.72"
"ZANDUREALT","EQ","17-Apr-2017","       1299.45","       1289.00","       1409.00","       1288.00","       1360.00","       1356.00","       1360.55","      27976","            38062829.90","       4231","       6697","         23.94"
"ZANDUREALT","EQ","18-Apr-2017","       1356.00","       1363.00","       1414.50","       1341.05","       1343.00","       1345.60","       1381.26","      10703","            14783677.30","       1607","       3502","         32.72"
"ZANDUREALT","EQ","19-Apr-2017","       1345.60","       1345.00","       1374.00","       1331.35","       1335.20","       1343.65","       1351.95","       2972","             4017995.65","        736","       1035","         34.83"
"ZANDUREALT","EQ","20-Apr-2017","       1343.65","       1349.80","       1459.00","       1349.80","       1402.00","       1406.90","       1421.11","      30873","            43873990.15","       4555","       8132","         26.34"
"ZANDUREALT","EQ","21-Apr-2017","       1406.90","       1410.00","       1440.05","       1384.55","       1409.80","       1402.10","       1413.20","       8773","            12398013.20","       1351","       3802","         43.34"
"ZANDUREALT","EQ","24-Apr-2017","       1402.10","       1412.00","       1432.00","       1406.20","       1415.10","       1418.45","       1421.46","       3479","             4945259.30","        486","       1687","         48.49"
"ZANDUREALT","EQ","25-Apr-2017","       1418.45","       1426.95","       1449.00","       1411.00","       1420.00","       1423.30","       1429.84","       5828","             8333118.45","        907","       2470","         42.38"
"ZANDUREALT","EQ","26-Apr-2017","       1423.30","       1429.90","       1430.00","       1375.00","       1381.00","       1385.00","       1399.13","       4168","             5831562.95","        700","       2466","         59.17"
"ZANDUREALT","EQ","27-Apr-2017","       1385.00","       1395.00","       1400.00","       1380.00","       1382.50","       1382.20","       1387.49","       1377","             1910579.95","        304","        673","         48.87"
"ZANDUREALT","EQ","28-Apr-2017","       1382.20","       1396.00","       1396.00","       1380.00","       1380.00","       1381.10","       1383.64","       1500","             2075455.10","        266","        758","         50.53"
"ZANDUREALT","EQ","02-May-2017","       1381.10","       1397.90","       1422.95","       1395.00","       1395.05","       1399.90","       1408.38","       1916","             2698450.50","        536","        935","         48.80"
"ZANDUREALT","EQ","03-May-2017","       1399.90","       1399.95","       1475.00","       1384.10","       1429.45","       1425.85","       1443.54","       9424","            13603896.50","       1743","       2443","         25.92"
"ZANDUREALT","EQ","04-May-2017","       1425.85","       1401.00","       1440.00","       1400.00","       1418.95","       1413.65","       1421.10","       4093","             5816547.25","        606","       2052","         50.13"
