"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ZEELEARN","EQ","03-Apr-2017","         48.20","         48.90","         50.45","         48.25","         48.30","         48.45","         48.89","    1684619","            82356702.55","       4317","     891815","         52.94"
"ZEELEARN","EQ","05-Apr-2017","         48.45","         48.85","         49.50","         48.10","         49.15","         48.90","         48.91","     399941","            19562759.75","       1642","     277634","         69.42"
"ZEELEARN","EQ","06-Apr-2017","         48.90","         48.70","         48.70","         47.10","         48.15","         48.10","         48.01","     369241","            17727554.40","       1468","     242223","         65.60"
"ZEELEARN","EQ","07-Apr-2017","         48.10","         48.60","         48.60","         47.00","         47.30","         47.20","         47.57","     880114","            41864316.25","       1675","     721508","         81.98"
"ZEELEARN","EQ","10-Apr-2017","         47.20","         47.25","         47.85","         46.65","         47.25","         46.90","         47.20","     340642","            16079666.70","       1527","     198851","         58.38"
"ZEELEARN","EQ","11-Apr-2017","         46.90","         47.25","         47.50","         46.35","         46.70","         46.75","         46.97","     281003","            13200105.75","       1338","     164318","         58.48"
"ZEELEARN","EQ","12-Apr-2017","         46.75","         47.00","         47.25","         45.05","         46.10","         46.00","         46.02","     289499","            13321921.90","       1435","     161563","         55.81"
"ZEELEARN","EQ","13-Apr-2017","         46.00","         46.25","         47.45","         45.95","         46.40","         46.50","         46.63","     211554","             9864320.70","       1190","     144047","         68.09"
"ZEELEARN","EQ","17-Apr-2017","         46.50","         46.95","         47.55","         45.30","         46.05","         46.40","         46.62","     241778","            11272736.45","       1270","     123134","         50.93"
"ZEELEARN","EQ","18-Apr-2017","         46.40","         46.45","         47.10","         45.40","         45.90","         45.65","         46.30","     288698","            13365709.40","       1163","     204485","         70.83"
"ZEELEARN","EQ","19-Apr-2017","         45.65","         45.95","         47.00","         45.65","         47.00","         46.90","         46.59","     178810","             8330611.10","       1139","      87362","         48.86"
"ZEELEARN","EQ","20-Apr-2017","         46.90","         47.60","         49.00","         47.15","         48.45","         48.50","         48.34","     691475","            33427149.85","       2775","     316134","         45.72"
"ZEELEARN","EQ","21-Apr-2017","         48.50","         48.25","         49.75","         45.90","         46.40","         46.80","         47.74","    1438938","            68698988.40","       5917","     653619","         45.42"
"ZEELEARN","EQ","24-Apr-2017","         46.80","         47.40","         48.65","         47.15","         48.10","         48.05","         48.06","     302047","            14517013.65","       1569","     217318","         71.95"
"ZEELEARN","EQ","25-Apr-2017","         48.05","         49.15","         49.60","         45.05","         46.90","         46.85","         48.46","    1536635","            74458705.35","       3884","     972255","         63.27"
"ZEELEARN","EQ","26-Apr-2017","         46.85","         49.60","         49.60","         46.70","         47.45","         47.45","         48.33","    1493005","            72157668.25","       6171","     873288","         58.49"
"ZEELEARN","EQ","27-Apr-2017","         47.45","         47.85","         48.55","         47.20","         47.50","         47.65","         47.90","     658711","            31554411.30","       3181","     419815","         63.73"
"ZEELEARN","EQ","28-Apr-2017","         47.65","         47.75","         48.05","         46.95","         47.45","         47.60","         47.60","     501487","            23869814.90","       2201","     346096","         69.01"
"ZEELEARN","EQ","02-May-2017","         47.60","         47.95","         48.50","         46.55","         47.05","         47.15","         47.48","     273380","            12978897.70","       1481","     154018","         56.34"
"ZEELEARN","EQ","03-May-2017","         47.15","         47.10","         47.75","         46.65","         46.70","         46.85","         46.98","     363526","            17077491.90","       1129","     301958","         83.06"
"ZEELEARN","EQ","04-May-2017","         46.85","         46.95","         47.45","         46.65","         46.80","         46.85","         46.97","     288862","            13568575.80","       1373","     210250","         72.79"
"ZEELEARN","EQ","05-May-2017","         46.85","         46.90","         47.35","         46.05","         46.30","         46.35","         46.68","     309855","            14463677.50","       1060","     238742","         77.05"
"ZEELEARN","EQ","08-May-2017","         46.35","         46.95","         47.90","         46.90","         47.05","         47.10","         47.37","     270015","            12791544.50","       1386","     189972","         70.36"
"ZEELEARN","EQ","09-May-2017","         47.10","         47.15","         47.70","         46.80","         46.85","         46.90","         47.14","     214584","            10116120.60","       1394","     139437","         64.98"
"ZEELEARN","EQ","10-May-2017","         46.90","         47.05","         47.55","         46.90","         47.15","         47.20","         47.38","     276792","            13114261.15","       1682","     215556","         77.88"
"ZEELEARN","EQ","11-May-2017","         47.20","         47.35","         48.30","         46.85","         46.95","         47.05","         47.35","     583082","            27607511.00","       1908","     435944","         74.77"
"ZEELEARN","EQ","12-May-2017","         47.05","         47.05","         47.25","         46.10","         46.25","         46.20","         46.38","     478212","            22179864.80","       1537","     379498","         79.36"
"ZEELEARN","EQ","15-May-2017","         46.20","         46.50","         46.80","         46.15","         46.15","         46.40","         46.58","     147715","             6880761.60","        950","     103211","         69.87"
"ZEELEARN","EQ","16-May-2017","         46.40","         46.30","         46.35","         45.70","         45.90","         45.85","         46.05","     227763","            10488151.50","       1097","     175377","         77.00"
"ZEELEARN","EQ","17-May-2017","         45.85","         45.85","         46.45","         45.70","         45.75","         46.20","         46.18","     245927","            11356294.25","       1370","     173407","         70.51"
"ZEELEARN","EQ","18-May-2017","         46.20","         45.90","         46.05","         44.45","         44.45","         44.85","         45.40","     223818","            10161672.90","       1244","     171032","         76.42"
"ZEELEARN","EQ","19-May-2017","         44.85","         45.00","         45.70","         43.85","         44.95","         44.95","         44.82","     351811","            15766960.85","       1811","     209364","         59.51"
"ZEELEARN","EQ","22-May-2017","         44.95","         44.90","         45.45","         43.10","         43.70","         43.60","         44.15","     246911","            10900848.35","       1574","     147718","         59.83"
"ZEELEARN","EQ","23-May-2017","         43.60","         43.40","         44.70","         42.00","         44.00","         44.00","         43.55","     277300","            12076081.60","       2354","     159785","         57.62"
"ZEELEARN","EQ","24-May-2017","         44.00","         44.20","         44.30","         41.70","         43.10","         42.80","         43.21","     214141","             9251979.15","       1116","     134395","         62.76"
"ZEELEARN","EQ","25-May-2017","         42.80","         43.10","         43.10","         41.85","         42.80","         42.70","         42.41","     191011","             8100899.40","       1084","     115420","         60.43"
"ZEELEARN","EQ","26-May-2017","         42.70","         42.80","         44.30","         42.80","         43.85","         44.00","         43.85","     177308","             7774180.65","       1169","     107820","         60.81"
"ZEELEARN","EQ","29-May-2017","         44.00","         44.45","         44.55","         43.55","         43.65","         43.75","         43.92","      96976","             4259188.45","        820","      55804","         57.54"
"ZEELEARN","EQ","30-May-2017","         43.75","         44.00","         44.05","         42.50","         43.55","         43.70","         43.44","     104425","             4536351.30","        780","      61124","         58.53"
"ZEELEARN","EQ","31-May-2017","         43.70","         44.00","         44.00","         42.75","         42.90","         42.90","         43.08","     148509","             6397498.50","        983","      95289","         64.16"
"ZEELEARN","EQ","01-Jun-2017","         42.90","         43.35","         43.35","         42.25","         42.85","         42.95","         42.80","     367282","            15719382.80","       1325","     264745","         72.08"
"ZEELEARN","EQ","02-Jun-2017","         42.95","         43.15","         43.60","         42.85","         42.95","         43.10","         43.18","     157831","             6814641.90","        796","     115282","         73.04"
"ZEELEARN","EQ","05-Jun-2017","         43.10","         43.00","         44.00","         42.90","         43.65","         43.55","         43.58","      97808","             4262642.30","        713","      64996","         66.45"
"ZEELEARN","EQ","06-Jun-2017","         43.55","         43.60","         43.85","         43.00","         43.30","         43.05","         43.40","     103186","             4478139.30","        709","      66218","         64.17"
"ZEELEARN","EQ","07-Jun-2017","         43.05","         43.35","         43.70","         43.15","         43.30","         43.25","         43.37","      62305","             2701909.80","        550","      39183","         62.89"
"ZEELEARN","EQ","08-Jun-2017","         43.25","         43.25","         43.75","         42.70","         42.95","         42.85","         43.23","     167157","             7225616.15","        880","     108476","         64.89"
"ZEELEARN","EQ","09-Jun-2017","         42.85","         42.70","         46.80","         42.50","         45.20","         45.25","         45.17","     611643","            27625987.25","       3972","     348892","         57.04"
"ZEELEARN","EQ","12-Jun-2017","         45.25","         45.30","         45.65","         44.90","         45.25","         45.35","         45.31","     165043","             7478773.40","       1042","      86659","         52.51"
"ZEELEARN","EQ","13-Jun-2017","         45.35","         44.35","         45.80","         44.35","         45.60","         45.50","         45.47","     118672","             5395908.45","        835","      81601","         68.76"
"ZEELEARN","EQ","14-Jun-2017","         45.50","         46.95","         46.95","         45.20","         45.50","         45.55","         45.69","      99665","             4553640.55","        726","      54724","         54.91"
"ZEELEARN","EQ","15-Jun-2017","         45.55","         45.50","         46.80","         42.80","         46.20","         46.20","         45.77","     198865","             9101153.20","       1146","     119071","         59.88"
"ZEELEARN","EQ","16-Jun-2017","         46.20","         46.25","         47.20","         45.20","         45.70","         45.80","         46.11","     209892","             9679155.65","       1270","     115915","         55.23"
"ZEELEARN","EQ","19-Jun-2017","         45.80","         46.90","         46.90","         45.00","         45.50","         45.15","         45.43","      96415","             4379700.50","        865","      55045","         57.09"
"ZEELEARN","EQ","20-Jun-2017","         45.15","         45.30","         46.10","         45.30","         45.90","         45.85","         45.68","     126684","             5787140.25","        714","      88610","         69.95"
"ZEELEARN","EQ","21-Jun-2017","         45.85","         46.10","         46.90","         45.10","         45.30","         45.25","         45.66","     181734","             8298013.95","        787","     129117","         71.05"
"ZEELEARN","EQ","22-Jun-2017","         45.25","         45.25","         47.15","         45.00","         45.15","         45.40","         45.95","     240054","            11030070.35","       1334","     106245","         44.26"
"ZEELEARN","EQ","23-Jun-2017","         45.40","         45.55","         45.55","         43.55","         43.70","         43.85","         44.40","     130906","             5811757.95","        908","      86195","         65.84"
"ZEELEARN","EQ","27-Jun-2017","         43.85","         44.15","         44.15","         42.25","         42.70","         42.75","         42.75","     130498","             5578901.60","        822","      90452","         69.31"
"ZEELEARN","EQ","28-Jun-2017","         42.75","         42.80","         42.95","         41.65","         42.60","         42.30","         42.16","     123554","             5208889.20","        873","      80742","         65.35"
"ZEELEARN","EQ","29-Jun-2017","         42.30","         42.05","         43.50","         42.05","         42.50","         42.45","         42.77","      55782","             2385556.35","        551","      32502","         58.27"
"ZEELEARN","EQ","30-Jun-2017","         42.45","         43.70","         43.95","         42.60","         43.20","         43.35","         43.09","     726723","            31311679.35","        889","     605900","         83.37"
