"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ZUARI","EQ","02-Jan-2017","        227.65","        237.50","        237.50","        229.20","        232.85","        232.20","        232.28","       9406","             2184814.35","        290","       5362","         57.01"
"ZUARI","EQ","03-Jan-2017","        232.20","        234.95","        240.00","        230.00","        236.10","        237.60","        236.64","      31078","             7354144.65","        948","      19644","         63.21"
"ZUARI","EQ","04-Jan-2017","        237.60","        240.00","        247.00","        231.70","        238.00","        240.20","        238.81","     114334","            27304548.65","       5811","      63392","         55.44"
"ZUARI","EQ","05-Jan-2017","        240.20","        241.30","        246.80","        236.20","        238.00","        239.90","        241.44","      80003","            19315814.15","       2738","      37047","         46.31"
"ZUARI","EQ","06-Jan-2017","        239.90","        240.20","        244.80","        234.00","        239.00","        239.90","        241.21","      83889","            20234497.60","       1997","      54767","         65.29"
"ZUARI","EQ","09-Jan-2017","        239.90","        243.00","        245.40","        238.05","        244.40","        243.00","        241.60","      94892","            22926104.15","       1575","      74431","         78.44"
"ZUARI","EQ","10-Jan-2017","        243.00","        247.50","        260.50","        241.00","        255.00","        253.60","        252.46","     296851","            74942752.60","       8455","     147854","         49.81"
"ZUARI","EQ","11-Jan-2017","        253.60","        253.00","        261.00","        253.00","        258.00","        259.15","        258.37","     145986","            37717784.20","       3370","      95697","         65.55"
"ZUARI","EQ","12-Jan-2017","        259.15","        259.15","        261.35","        250.00","        252.90","        251.80","        255.06","      90974","            23203497.10","       3069","      55969","         61.52"
"ZUARI","EQ","13-Jan-2017","        251.80","        252.75","        258.90","        247.00","        254.10","        254.50","        253.57","      99247","            25166479.05","       2692","      59086","         59.53"
"ZUARI","EQ","16-Jan-2017","        254.50","        256.00","        269.00","        251.00","        262.10","        262.70","        262.55","     175597","            46103456.90","       3560","     102783","         58.53"
"ZUARI","EQ","17-Jan-2017","        262.70","        265.00","        265.00","        255.55","        261.45","        260.40","        260.56","     114494","            29832256.50","       3191","      67548","         59.00"
"ZUARI","EQ","18-Jan-2017","        260.40","        260.45","        284.80","        260.45","        284.50","        281.35","        272.71","     629637","           171705254.40","      16985","     312530","         49.64"
"ZUARI","EQ","19-Jan-2017","        281.35","        278.00","        337.60","        273.80","        337.60","        337.60","        319.04","    1442187","           460121316.40","      27665","     429566","         29.79"
"ZUARI","EQ","20-Jan-2017","        337.60","        333.10","        352.00","        313.00","        318.50","        318.10","        333.18","    1570564","           523284494.50","      35068","     210961","         13.43"
"ZUARI","EQ","23-Jan-2017","        318.10","        316.90","        333.40","        315.15","        328.00","        327.10","        327.25","     354607","           116044666.70","       7934","      60532","         17.07"
"ZUARI","EQ","24-Jan-2017","        327.10","        329.85","        368.95","        322.85","        356.00","        355.95","        353.13","    1516185","           535411164.65","      38584","     345523","         22.79"
"ZUARI","EQ","25-Jan-2017","        355.95","        356.00","        383.45","        354.10","        355.00","        356.50","        370.91","    1260427","           467506090.75","      28989","     334121","         26.51"
"ZUARI","EQ","27-Jan-2017","        356.50","        359.90","        363.85","        337.60","        338.20","        340.70","        348.17","     339639","           118251080.75","       8993","     121624","         35.81"
"ZUARI","EQ","30-Jan-2017","        340.70","        348.70","        356.45","        335.20","        337.95","        338.25","        344.52","     393612","           135607781.05","       8942","     117554","         29.87"
"ZUARI","EQ","31-Jan-2017","        338.25","        341.55","        342.95","        323.40","        338.80","        335.90","        331.95","     272711","            90527536.50","       5280","     100025","         36.68"
"ZUARI","EQ","01-Feb-2017","        335.90","        340.00","        348.00","        328.00","        331.00","        332.15","        337.94","     198386","            67042040.55","       4521","      57263","         28.86"
"ZUARI","EQ","02-Feb-2017","        332.15","        334.85","        343.30","        328.70","        333.05","        332.45","        335.89","     127745","            42908459.35","       3393","      39322","         30.78"
"ZUARI","EQ","03-Feb-2017","        332.45","        336.00","        338.00","        320.20","        322.00","        324.05","        329.73","     115452","            38068488.60","       2728","      51224","         44.37"
"ZUARI","EQ","06-Feb-2017","        324.05","        328.50","        334.80","        319.70","        327.00","        327.20","        329.05","     188509","            62028212.15","       3926","      64611","         34.27"
"ZUARI","EQ","07-Feb-2017","        327.20","        332.00","        333.00","        323.00","        323.00","        324.45","        327.37","      66924","            21908800.95","       1725","      27898","         41.69"
"ZUARI","EQ","08-Feb-2017","        324.45","        326.80","        326.95","        318.70","        321.00","        321.90","        321.92","      46947","            15113011.70","       1234","      24255","         51.66"
"ZUARI","EQ","09-Feb-2017","        321.90","        324.50","        329.65","        312.45","        319.55","        318.65","        323.05","     148205","            47877259.60","       2955","      33714","         22.75"
"ZUARI","EQ","10-Feb-2017","        318.65","        321.80","        348.65","        320.95","        338.45","        338.40","        340.04","     641695","           218203101.55","      15471","     123336","         19.22"
