"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ZYLOG","EQ","03-Jul-2017","          3.95","          3.95","          4.05","          3.80","          3.90","          3.85","          3.88","      23459","               90922.00","         78","      15105","         64.39"
"ZYLOG","EQ","04-Jul-2017","          3.85","          3.95","          4.00","          3.55","          3.65","          3.65","          3.68","     102354","              376638.80","        200","      82237","         80.35"
"ZYLOG","EQ","05-Jul-2017","          3.65","          3.70","          3.80","          3.60","          3.65","          3.65","          3.67","      70383","              258267.90","        115","      57709","         81.99"
"ZYLOG","EQ","06-Jul-2017","          3.65","          3.65","          3.75","          3.50","          3.60","          3.60","          3.61","      64910","              234081.35","        141","      53624","         82.61"
"ZYLOG","EQ","07-Jul-2017","          3.60","          3.60","          3.70","          3.50","          3.65","          3.60","          3.59","      59159","              212293.20","        127","      48179","         81.44"
"ZYLOG","EQ","10-Jul-2017","          3.60","          3.95","          3.95","          3.45","          3.60","          3.65","          3.73","      19119","               71298.10","         70","      15449","         80.80"
"ZYLOG","EQ","11-Jul-2017","          3.65","          3.75","          3.75","          3.55","          3.60","          3.60","          3.62","      93504","              338405.35","        106","      86222","         92.21"
"ZYLOG","EQ","12-Jul-2017","          3.60","          3.70","          3.70","          3.55","          3.60","          3.55","          3.61","      15527","               56109.25","         58","      14791","         95.26"
"ZYLOG","EQ","13-Jul-2017","          3.55","          3.55","          3.70","          3.45","          3.50","          3.50","          3.50","      90703","              317895.50","        128","      87468","         96.43"
"ZYLOG","EQ","14-Jul-2017","          3.50","          3.45","          3.50","          3.45","          3.45","          3.45","          3.47","      19906","               69068.60","         55","      15838","         79.56"
"ZYLOG","EQ","17-Jul-2017","          3.45","          3.75","          3.75","          3.45","          3.60","          3.55","          3.54","     130923","              462968.00","        302","      72140","         55.10"
"ZYLOG","EQ","18-Jul-2017","          3.55","          3.55","          3.60","          3.45","          3.45","          3.45","          3.49","      37502","              130966.10","         65","      31367","         83.64"
"ZYLOG","EQ","19-Jul-2017","          3.45","          3.45","          3.55","          3.30","          3.35","          3.40","          3.40","      58909","              200406.80","        119","      43127","         73.21"
