"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"KWALITY","EQ","03-Jul-2017","        147.65","        148.00","        155.10","        144.20","        153.40","        154.10","        149.95","    3208344","           481096135.50","      11073","     653957","         20.38"
"KWALITY","EQ","04-Jul-2017","        154.10","        154.00","        159.35","        153.65","        153.95","        155.60","        156.73","    4587232","           718970249.80","      11017","     767082","         16.72"
"KWALITY","EQ","05-Jul-2017","        155.60","        154.45","        158.90","        154.05","        156.00","        157.45","        157.33","    1467963","           230949040.05","       6503","     566813","         38.61"
"KWALITY","EQ","06-Jul-2017","        157.45","        157.40","        159.65","        154.10","        154.80","        154.95","        157.01","    2094364","           328844272.60","       7244","     996425","         47.58"
"KWALITY","EQ","07-Jul-2017","        154.95","        154.85","        155.50","        148.00","        149.00","        151.10","        152.12","    2498145","           380023415.75","       6875","     651534","         26.08"
"KWALITY","EQ","10-Jul-2017","        151.10","        148.75","        152.00","        148.75","        150.45","        150.85","        150.74","      93920","            14157705.15","       1196","      56579","         60.24"
"KWALITY","EQ","11-Jul-2017","        150.85","        150.80","        153.00","        148.00","        148.35","        148.70","        150.82","    2465536","           371863342.60","       8002","     413209","         16.76"
"KWALITY","EQ","12-Jul-2017","        148.70","        148.95","        152.50","        148.90","        149.60","        150.15","        150.52","    1203575","           181157717.95","       7597","     405805","         33.72"
"KWALITY","EQ","13-Jul-2017","        150.15","        150.80","        153.15","        149.80","        151.50","        151.65","        151.76","    2074940","           314889974.65","       6197","    1139123","         54.90"
"KWALITY","EQ","14-Jul-2017","        151.65","        150.55","        154.50","        149.45","        151.75","        151.85","        152.34","    1156156","           176130190.30","       8708","     459145","         39.71"
"KWALITY","EQ","17-Jul-2017","        151.85","        151.10","        152.50","        148.10","        148.70","        148.65","        149.59","     530404","            79344414.65","       3786","     250444","         47.22"
"KWALITY","EQ","18-Jul-2017","        148.65","        148.50","        149.40","        146.05","        146.90","        147.20","        148.22","     950040","           140817533.15","       4558","     535281","         56.34"
"KWALITY","EQ","19-Jul-2017","        147.20","        147.45","        149.60","        146.50","        146.95","        146.75","        147.71","     556632","            82217611.65","       5013","     277285","         49.81"
"KWALITY","EQ","20-Jul-2017","        146.75","        147.10","        148.50","        146.30","        146.75","        146.65","        147.68","     508874","            75147998.50","       3528","     243902","         47.93"
"KWALITY","EQ","21-Jul-2017","        146.65","        146.85","        147.50","        143.40","        144.60","        144.60","        145.52","     315834","            45959979.85","       3888","     153188","         48.50"
"KWALITY","EQ","24-Jul-2017","        144.60","        144.85","        150.55","        144.40","        146.00","        146.65","        148.24","    1259674","           186733658.90","       5896","     453978","         36.04"
"KWALITY","EQ","25-Jul-2017","        146.65","        146.15","        148.80","        145.60","        145.90","        145.95","        147.08","     609116","            89591360.75","       7091","     331017","         54.34"
"KWALITY","EQ","26-Jul-2017","        145.95","        146.10","        151.90","        145.15","        149.80","        149.35","        149.34","    1433353","           214056009.60","       9130","     739473","         51.59"
"KWALITY","EQ","27-Jul-2017","        149.35","        149.00","        153.90","        147.35","        152.65","        151.75","        152.23","    2051820","           312349459.70","       8349","     773811","         37.71"
"KWALITY","EQ","28-Jul-2017","        151.75","        151.05","        153.20","        148.10","        148.65","        149.15","        151.15","     928254","           140307204.35","       6072","     407078","         43.85"
"KWALITY","EQ","31-Jul-2017","        149.15","        150.00","        152.30","        144.75","        145.60","        145.75","        148.43","     478801","            71069680.70","       4929","     221398","         46.24"
"KWALITY","EQ","01-Aug-2017","        145.75","        146.70","        148.50","        143.05","        144.25","        144.00","        145.05","    1540698","           223485845.90","       7859","     867925","         56.33"
"KWALITY","EQ","02-Aug-2017","        144.00","        144.00","        145.55","        137.05","        137.85","        137.75","        140.51","     876589","           123169347.80","       7580","     540045","         61.61"
"KWALITY","EQ","03-Aug-2017","        137.75","        138.00","        138.95","        132.35","        132.95","        133.35","        135.81","     806394","           109517923.00","       6542","     515604","         63.94"
"KWALITY","EQ","04-Aug-2017","        133.35","        133.50","        137.75","        125.80","        136.85","        134.15","        132.26","    2413165","           319154956.70","      13756","     836888","         34.68"
"KWALITY","EQ","07-Aug-2017","        134.15","        136.80","        141.80","        135.85","        139.10","        139.25","        139.41","     680849","            94915742.30","       5423","     374865","         55.06"
"KWALITY","EQ","08-Aug-2017","        139.25","        140.40","        140.40","        135.00","        136.45","        136.15","        137.83","     692833","            95494443.85","       5276","     142972","         20.64"
"KWALITY","EQ","09-Aug-2017","        136.15","        135.05","        141.40","        133.05","        136.90","        139.30","        137.71","     908589","           125125601.35","       9084","     321456","         35.38"
"KWALITY","EQ","10-Aug-2017","        139.30","        138.35","        142.40","        134.40","        136.00","        135.25","        138.70","    1087513","           150842264.50","       8041","     464327","         42.70"
"KWALITY","EQ","11-Aug-2017","        135.25","        132.60","        147.00","        130.00","        137.35","        139.85","        141.15","    2229302","           314661590.05","      15486","     740086","         33.20"
"KWALITY","EQ","14-Aug-2017","        139.85","        133.35","        145.10","        133.35","        135.00","        136.75","        139.38","    2303286","           321028872.05","      11742","     700705","         30.42"
"KWALITY","EQ","16-Aug-2017","        136.75","        136.45","        139.60","        133.50","        136.00","        136.60","        136.31","    2421327","           330057388.45","      11249","     416329","         17.19"
"KWALITY","EQ","17-Aug-2017","        136.60","        137.30","        143.00","        135.20","        136.10","        136.15","        138.55","    1655819","           229410366.15","       7997","     584486","         35.30"
"KWALITY","EQ","18-Aug-2017","        136.15","        135.40","        137.20","        132.35","        135.55","        135.60","        135.16","     682223","            92206573.85","       8448","     106720","         15.64"
"KWALITY","EQ","21-Aug-2017","        135.60","        136.00","        144.00","        135.95","        142.40","        141.50","        140.31","    1445516","           202815268.00","       9316","     548754","         37.96"
"KWALITY","EQ","22-Aug-2017","        141.50","        142.45","        143.35","        138.50","        139.35","        139.30","        141.11","     950566","           134133021.75","       5920","     271972","         28.61"
"KWALITY","EQ","23-Aug-2017","        139.30","        140.00","        145.50","        139.90","        142.85","        143.15","        142.14","    1274006","           181086263.80","       6432","     405482","         31.83"
"KWALITY","EQ","24-Aug-2017","        143.15","        143.00","        149.90","        143.00","        147.80","        147.50","        147.70","    2117992","           312828665.20","      10009","     819724","         38.70"
"KWALITY","EQ","28-Aug-2017","        147.50","        147.10","        154.45","        147.00","        153.00","        153.00","        151.12","    1822247","           275370067.60","      11538","     865667","         47.51"
"KWALITY","EQ","29-Aug-2017","        153.00","        155.00","        155.80","        150.60","        152.00","        152.35","        152.43","    3075529","           468795714.65","      11213","    1490418","         48.46"
"KWALITY","EQ","30-Aug-2017","        152.35","        153.45","        154.00","        148.75","        150.75","        150.00","        150.80","    1074536","           162041211.95","       5556","     224374","         20.88"
"KWALITY","EQ","31-Aug-2017","        150.00","        150.40","        153.20","        147.50","        148.20","        148.85","        149.74","    1530860","           229225004.85","       8040","     476435","         31.12"
"KWALITY","EQ","01-Sep-2017","        148.85","        148.70","        149.45","        140.60","        140.95","        143.25","        144.85","    2215445","           320903363.35","       8670","    1092175","         49.30"
"KWALITY","EQ","04-Sep-2017","        143.25","        141.20","        141.20","        114.60","        114.60","        114.60","        129.71","    2519072","           326756909.80","      17335","    1696263","         67.34"
"KWALITY","EQ","05-Sep-2017","        114.60","         98.00","        125.75","         95.20","        120.60","        120.75","        114.86","   25933664","          2978630821.20","     133514","    3520866","         13.58"
"KWALITY","EQ","06-Sep-2017","        120.75","        121.00","        127.80","        120.75","        122.95","        122.50","        124.67","    6622348","           825588076.85","      36800","    1578318","         23.83"
"KWALITY","EQ","07-Sep-2017","        122.50","        125.00","        126.20","        119.15","        121.70","        121.00","        122.59","    2205288","           270340703.65","      17134","     812971","         36.86"
"KWALITY","EQ","08-Sep-2017","        121.00","        122.30","        122.95","        117.00","        119.30","        119.25","        119.51","    2097285","           250655794.55","      19087","    1185857","         56.54"
"KWALITY","EQ","11-Sep-2017","        119.25","        121.00","        121.70","        117.80","        118.95","        118.55","        119.08","     842193","           100285604.20","      12502","     401728","         47.70"
"KWALITY","EQ","12-Sep-2017","        118.55","        119.95","        119.95","        110.50","        112.50","        112.15","        114.16","    1986363","           226772559.20","      14236","     975450","         49.11"
"KWALITY","EQ","13-Sep-2017","        112.15","        113.30","        116.90","        113.00","        114.60","        114.15","        115.05","    1313441","           151111208.05","      24122","     628677","         47.86"
"KWALITY","EQ","14-Sep-2017","        114.15","        114.20","        121.95","        114.15","        120.45","        120.45","        119.63","    2918790","           349182347.20","      37891","     876747","         30.04"
"KWALITY","EQ","15-Sep-2017","        120.45","        120.00","        122.50","        115.05","        116.10","        116.70","        119.03","    2538640","           302181388.10","      19000","    1265720","         49.86"
"KWALITY","EQ","18-Sep-2017","        116.70","        117.85","        120.00","        116.80","        117.15","        117.30","        118.00","     950736","           112187642.85","       7745","     424670","         44.67"
"KWALITY","EQ","19-Sep-2017","        117.30","        117.55","        119.00","        116.10","        116.90","        116.95","        117.75","    1282990","           151067618.10","      10530","     532842","         41.53"
